,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.5999999999999996,Location.HOME,WASHINGTON_WIZARDS,29,0,563,0,1,0,0,0,0,0,3,0,0,0,1,-0.8
1,2016-10-29,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.5,Location.AWAY,PHILADELPHIA_76ERS,22,3,1345,1,6,0,1,1,2,1,9,1,2,2,2,3.9
2,2016-10-31,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.2,Location.HOME,SACRAMENTO_KINGS,25,5,790,1,1,1,1,2,2,0,1,2,0,0,1,5.0
3,2016-11-02,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.7,Location.HOME,LOS_ANGELES_LAKERS,13,11,830,3,6,1,2,4,4,1,0,1,0,0,2,6.2
4,2016-11-04,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.4,Location.AWAY,WASHINGTON_WIZARDS,29,0,358,0,2,0,0,0,0,1,1,0,0,1,0,-0.1
5,2016-11-08,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.9,Location.AWAY,CLEVELAND_CAVALIERS,5,0,230,0,1,0,1,0,0,0,2,1,0,0,0,0.2
6,2016-11-09,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.HOME,CHICAGO_BULLS,4,2,698,0,1,0,0,2,2,1,1,0,0,1,0,3.0
7,2016-11-12,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.799999999999997,Location.HOME,PHILADELPHIA_76ERS,22,13,1109,5,7,1,2,2,2,4,5,2,0,1,0,15.3
8,2016-11-15,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,MIAMI_HEAT,15,0,223,0,1,0,1,0,0,1,0,0,0,1,1,-0.3
9,2016-11-16,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.9,Location.HOME,MILWAUKEE_BUCKS,16,6,888,2,4,0,1,2,2,1,1,1,0,2,0,6.3
10,2016-11-18,humphkr01,Kris Humphries,367,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,CHARLOTTE_HORNETS,3,3,269,1,2,1,1,0,0,0,2,1,0,0,1,2.3
