,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-24,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.399999999999999,Location.AWAY,DETROIT_PISTONS,8,14,1527,5,8,2,3,2,2,0,2,0,0,0,2,9.0
1,2019-10-26,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.1,Location.HOME,ORLANDO_MAGIC,21,6,1321,3,5,0,1,0,0,0,3,1,0,1,0,4.4
2,2019-10-28,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.299999999999997,Location.HOME,PHILADELPHIA_76ERS,22,14,1813,4,8,2,4,4,7,0,9,1,1,0,4,8.8
3,2019-10-29,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.600000000000001,Location.AWAY,MIAMI_HEAT,15,4,1676,2,8,0,3,0,0,0,3,2,2,0,2,-0.5
4,2019-10-31,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.1,Location.HOME,MIAMI_HEAT,15,4,1703,1,9,0,5,2,2,2,1,1,1,1,3,-0.8
5,2019-11-05,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.1,Location.HOME,SAN_ANTONIO_SPURS,26,16,2170,6,13,2,6,2,2,2,6,1,0,0,0,12.4
6,2019-11-06,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.3,Location.HOME,CHICAGO_BULLS,4,4,1600,1,7,0,2,2,2,0,4,3,0,0,1,1.0
7,2019-11-08,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,SACRAMENTO_KINGS,25,4,1332,2,7,0,2,0,0,0,2,2,0,0,1,0.5
8,2019-11-10,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,14,2338,5,14,4,9,0,0,1,4,2,0,0,1,6.9
9,2019-11-12,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.2,Location.AWAY,DENVER_NUGGETS,7,12,2419,4,9,2,3,2,4,0,6,2,0,1,0,9.2
10,2019-11-14,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.6,Location.AWAY,PHOENIX_SUNS,23,14,2034,5,15,2,6,2,2,1,2,0,6,0,3,9.0
11,2019-11-16,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,12,1543,5,14,1,5,1,3,2,0,1,1,0,2,2.5
12,2019-11-17,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.9,Location.AWAY,LOS_ANGELES_LAKERS,13,11,2032,4,9,2,3,1,3,0,2,3,0,0,0,7.8
13,2019-11-20,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],42.2,Location.HOME,MILWAUKEE_BUCKS,16,27,1712,8,12,3,3,8,9,0,11,2,0,0,1,23.5
14,2019-11-22,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.4,Location.AWAY,DETROIT_PISTONS,8,18,2117,7,17,1,5,3,3,0,2,4,0,1,1,11.2
15,2019-11-23,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.200000000000003,Location.HOME,TORONTO_RAPTORS,27,26,2093,10,17,6,10,0,0,0,1,4,0,0,4,16.0
16,2019-11-25,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.600000000000001,Location.HOME,MINNESOTA_TIMBERWOLVES,17,7,2236,3,10,1,4,0,0,0,3,2,0,1,5,-2.0
17,2019-11-27,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.5,Location.AWAY,MILWAUKEE_BUCKS,16,10,2120,2,11,2,6,4,4,1,4,1,0,0,2,2.1
18,2019-11-29,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.AWAY,INDIANA_PACERS,11,7,2444,3,8,1,4,0,0,0,3,2,0,0,5,-1.3
19,2019-11-30,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.5,Location.AWAY,HOUSTON_ROCKETS,10,14,1743,5,15,3,9,1,1,1,4,1,1,0,0,7.1
20,2019-12-02,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.3,Location.HOME,GOLDEN_STATE_WARRIORS,9,18,1899,6,14,2,6,4,4,1,3,1,1,0,1,12.5
21,2019-12-08,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.1,Location.AWAY,CHARLOTTE_HORNETS,3,10,1671,3,9,1,6,3,3,0,3,5,1,0,1,8.1
22,2019-12-10,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.3,Location.AWAY,MIAMI_HEAT,15,28,2416,11,17,5,10,1,4,0,4,3,0,1,0,22.5
23,2019-12-11,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.9,Location.AWAY,CHICAGO_BULLS,4,6,1434,2,9,2,5,0,0,1,1,1,0,1,0,2.5
24,2019-12-13,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.8,Location.HOME,INDIANA_PACERS,11,21,2218,7,16,0,4,7,9,1,3,2,2,0,1,15.0
25,2019-12-15,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.2,Location.HOME,LOS_ANGELES_LAKERS,13,8,2210,2,10,2,6,2,2,1,5,2,1,1,4,1.1
26,2019-12-17,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.0,Location.AWAY,NEW_YORK_KNICKS,19,19,1883,8,19,0,5,3,4,0,5,4,1,0,0,11.8
27,2019-12-19,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.HOME,UTAH_JAZZ,28,5,1381,2,6,1,1,0,0,0,2,0,0,0,1,-0.4
28,2019-12-21,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.0,Location.AWAY,BROOKLYN_NETS,2,14,2298,5,12,2,6,2,2,0,5,2,1,0,0,10.3
29,2019-12-23,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.1,Location.AWAY,CLEVELAND_CAVALIERS,5,23,2360,10,19,1,7,2,4,1,2,1,0,1,1,14.2
30,2019-12-27,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.5,Location.HOME,MILWAUKEE_BUCKS,16,5,1362,2,8,1,4,0,0,0,0,1,2,0,3,-0.9
31,2019-12-28,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.AWAY,CHICAGO_BULLS,4,6,1812,2,9,2,4,0,0,0,3,3,0,0,4,-0.9
32,2019-12-30,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.2,Location.AWAY,ORLANDO_MAGIC,21,16,2104,6,14,3,6,1,1,1,5,0,1,0,3,8.4
33,2020-01-03,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.2,Location.AWAY,BOSTON_CELTICS,1,11,1605,5,8,1,2,0,0,0,1,0,0,0,1,4.7
34,2020-01-04,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.3999999999999999,Location.HOME,INDIANA_PACERS,11,0,1810,0,3,0,2,0,0,0,2,0,0,0,2,-3.9
35,2020-01-06,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.1,Location.HOME,DENVER_NUGGETS,7,16,2217,5,11,4,8,2,2,0,3,3,1,0,1,12.5
36,2020-01-08,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,HOUSTON_ROCKETS,10,5,1542,2,8,1,5,0,0,0,2,2,0,0,2,-1.8
37,2020-01-10,huntede01,De'Andre Hunter,368,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.0,Location.AWAY,WASHINGTON_WIZARDS,29,13,1819,5,9,1,3,2,3,0,5,2,2,0,1,11.8
