,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.6,Location.HOME,MIAMI_HEAT,15,14,2176,6,17,2,4,0,0,2,6,0,0,1,0,7.2
1,2016-10-28,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.AWAY,DETROIT_PISTONS,8,4,1159,2,6,0,0,0,0,2,1,0,0,1,1,2.0
2,2016-10-29,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.9,Location.AWAY,CLEVELAND_CAVALIERS,5,19,1843,7,12,0,0,5,7,3,4,1,1,0,1,15.0
3,2016-11-01,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.8,Location.AWAY,PHILADELPHIA_76ERS,22,21,1933,8,12,1,2,4,4,2,2,0,0,2,0,18.0
4,2016-11-03,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.6,Location.HOME,SACRAMENTO_KINGS,25,17,1957,6,13,1,6,4,4,1,2,0,0,1,0,11.5
5,2016-11-05,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.4,Location.HOME,WASHINGTON_WIZARDS,29,11,1257,5,13,1,2,0,0,2,5,0,0,0,0,6.0
6,2016-11-07,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.9,Location.AWAY,CHICAGO_BULLS,4,7,1531,3,6,1,2,0,0,0,7,3,1,1,2,6.7
7,2016-11-09,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,11,1613,4,8,1,1,2,3,1,1,0,0,2,0,7.4
8,2016-11-11,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.HOME,UTAH_JAZZ,28,8,1841,3,12,2,4,0,0,2,6,0,0,1,4,0.3
9,2016-11-13,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],51.8,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,31,2207,13,19,2,2,3,3,3,6,0,0,4,2,26.0
10,2016-11-14,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.6,Location.AWAY,INDIANA_PACERS,11,6,1683,3,13,0,4,0,0,3,10,2,0,0,2,2.2
11,2016-11-16,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.1,Location.HOME,NEW_ORLEANS_PELICANS,18,16,1773,7,13,2,4,0,0,2,6,1,0,0,3,9.4
12,2016-11-19,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.3,Location.HOME,DALLAS_MAVERICKS,6,15,1874,6,12,2,3,1,2,3,6,1,1,3,4,11.1
13,2016-11-21,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],45.3,Location.AWAY,MILWAUKEE_BUCKS,16,21,2236,6,11,3,4,6,6,2,7,1,2,3,3,19.8
14,2016-11-23,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.HOME,PHOENIX_SUNS,23,5,1913,2,9,1,3,0,0,2,2,0,0,3,2,0.4
15,2016-11-25,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],44.6,Location.HOME,WASHINGTON_WIZARDS,29,19,1884,8,13,2,4,1,1,2,6,2,1,4,2,18.3
16,2016-11-27,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.7,Location.HOME,MILWAUKEE_BUCKS,16,19,1963,8,17,1,4,2,2,0,6,1,0,2,0,13.4
17,2016-11-29,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.4,Location.AWAY,SAN_ANTONIO_SPURS,26,18,2018,7,11,2,4,2,2,1,6,2,2,1,0,18.9
18,2016-12-01,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,1907,4,10,0,4,3,4,2,6,0,0,3,0,9.3
19,2016-12-02,ibakase01,Serge Ibaka,372,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.3,Location.AWAY,PHILADELPHIA_76ERS,22,16,1504,6,12,1,5,3,4,1,3,1,1,1,0,12.4
