,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.6,Location.HOME,HOUSTON_ROCKETS,10,9,1420,4,6,1,2,0,0,0,3,0,0,0,1,6.3
1,2016-10-28,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.AWAY,UTAH_JAZZ,28,2,251,1,2,0,1,0,0,0,0,0,0,0,0,0.6
2,2016-10-30,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,9,1251,3,10,0,3,3,4,1,4,2,1,0,1,5.7
3,2016-11-01,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.1,Location.AWAY,INDIANA_PACERS,11,2,879,1,4,0,2,0,0,0,3,1,0,0,1,-0.6
4,2016-11-02,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.AWAY,ATLANTA_HAWKS,0,3,1297,1,2,1,1,0,0,0,2,2,0,1,2,1.9
5,2016-11-04,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,12,1635,2,8,0,4,8,9,2,4,3,2,0,2,10.7
6,2016-11-06,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.9,Location.HOME,PHOENIX_SUNS,23,9,1502,2,7,1,2,4,6,0,2,1,1,1,0,6.7
7,2016-11-08,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.3,Location.HOME,DALLAS_MAVERICKS,6,5,1571,2,5,1,2,0,0,0,4,1,1,1,1,4.5
8,2016-11-10,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.2,Location.AWAY,SACRAMENTO_KINGS,25,4,1665,2,5,0,1,0,2,1,5,2,0,0,2,1.3
9,2016-11-12,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,10,1333,4,7,0,0,2,3,0,0,4,1,0,0,9.7
10,2016-11-13,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,10,1594,3,5,1,2,3,4,0,1,1,1,1,1,7.4
11,2016-11-15,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.6,Location.HOME,BROOKLYN_NETS,2,8,1457,2,5,0,1,4,4,0,3,0,0,2,1,6.2
12,2016-11-18,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.HOME,SAN_ANTONIO_SPURS,26,4,1634,1,9,0,3,2,2,1,4,2,1,0,1,0.6
13,2016-11-20,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.3,Location.HOME,CHICAGO_BULLS,4,7,1227,3,6,0,0,1,2,1,3,3,0,0,1,5.5
14,2016-11-22,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.899999999999999,Location.HOME,OKLAHOMA_CITY_THUNDER,20,11,1505,4,6,3,3,0,0,0,2,3,0,0,4,6.7
15,2016-11-23,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,16,2064,6,12,2,4,2,2,0,3,1,0,0,3,8.6
16,2016-11-25,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.799999999999997,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,2319,3,18,0,4,2,2,1,8,2,2,1,3,0.4
17,2016-11-27,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.600000000000001,Location.HOME,ATLANTA_HAWKS,0,7,1716,3,10,1,2,0,0,0,8,0,0,0,1,1.4
18,2016-11-29,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,9,1767,4,10,1,3,0,1,0,3,5,2,1,1,8.9
19,2016-11-30,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.1,Location.AWAY,CHICAGO_BULLS,4,8,2469,1,9,0,2,6,8,0,3,3,2,1,1,4.8
20,2016-12-02,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.2,Location.AWAY,TORONTO_RAPTORS,27,17,2126,8,16,1,5,0,0,1,5,2,0,0,1,10.4
21,2016-12-03,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,9,2353,2,5,1,2,4,4,1,4,1,0,3,5,6.0
22,2016-12-05,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.HOME,UTAH_JAZZ,28,4,1512,1,6,0,1,2,2,0,2,2,0,1,1,0.7
23,2016-12-07,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.9,Location.AWAY,HOUSTON_ROCKETS,10,12,1983,5,13,2,4,0,2,3,4,1,1,1,5,3.2
24,2016-12-09,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.9,Location.HOME,PHOENIX_SUNS,23,9,1840,3,8,1,2,2,4,2,5,3,0,0,0,8.4
25,2016-12-11,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,NEW_YORK_KNICKS,19,3,1540,1,8,1,3,0,0,0,2,2,0,0,0,-2.6
26,2016-12-12,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.AWAY,SACRAMENTO_KINGS,25,5,1566,2,7,0,1,1,2,1,4,2,0,0,0,3.0
27,2016-12-14,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.7,Location.AWAY,BROOKLYN_NETS,2,9,1536,3,9,0,2,3,6,0,1,1,0,0,0,3.7
28,2016-12-16,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.1,Location.AWAY,PHILADELPHIA_76ERS,22,2,1243,1,8,0,2,0,0,1,2,1,0,0,2,-3.6
29,2016-12-17,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.5,Location.AWAY,CLEVELAND_CAVALIERS,5,9,2448,4,10,1,5,0,0,2,8,9,0,0,2,11.3
30,2016-12-20,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.3,Location.AWAY,CHARLOTTE_HORNETS,3,4,1706,2,4,0,1,0,0,1,3,3,0,0,0,4.5
31,2016-12-22,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.600000000000001,Location.AWAY,MIAMI_HEAT,15,4,2070,2,7,0,2,0,2,4,4,2,0,0,1,2.3
32,2016-12-23,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.6,Location.AWAY,ORLANDO_MAGIC,21,9,1396,3,9,0,2,3,3,1,2,2,0,0,1,4.0
33,2016-12-25,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,10,1651,3,8,0,1,4,5,1,5,0,0,0,1,5.2
34,2016-12-27,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,UTAH_JAZZ,28,5,1867,2,5,0,0,1,2,0,2,2,0,0,2,0.3
35,2016-12-29,ingrabr01,Brandon Ingram,377,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.7,Location.HOME,DALLAS_MAVERICKS,6,3,1899,1,5,0,1,1,2,1,5,1,0,0,0,1.2
