,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-21,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.4,Location.AWAY,CLEVELAND_CAVALIERS,5,1,324,0,3,0,0,1,2,0,2,0,0,0,1,-2.3
1,2017-10-27,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.4,Location.HOME,SAN_ANTONIO_SPURS,26,4,425,2,3,0,0,0,0,0,2,0,1,0,2,1.9
2,2017-11-03,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.7,Location.HOME,CHICAGO_BULLS,4,2,439,1,2,0,0,0,0,1,0,1,0,0,0,2.4
3,2017-11-05,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.0,Location.HOME,BOSTON_CELTICS,1,2,181,1,1,0,0,0,1,0,0,2,0,0,0,2.3
4,2017-11-08,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,NEW_YORK_KNICKS,19,0,111,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
5,2017-12-01,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,209,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
6,2017-12-04,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.7,Location.AWAY,CHARLOTTE_HORNETS,3,0,359,0,1,0,0,0,0,0,1,1,0,0,0,-0.1
7,2017-12-06,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,ATLANTA_HAWKS,0,0,386,0,2,0,0,0,0,0,1,0,0,0,0,-1.1
8,2017-12-08,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.HOME,DENVER_NUGGETS,7,2,981,1,3,0,1,0,0,0,3,0,1,0,0,1.8
9,2017-12-09,iwundwe01,Wesley Iwundu,380,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.6,Location.AWAY,ATLANTA_HAWKS,0,7,1568,3,9,1,3,0,0,1,2,2,0,0,0,3.8
