,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-25,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],13.0,Location.AWAY,DALLAS_MAVERICKS,6,6,1517,2,3,0,1,2,2,0,0,4,1,0,2,4.9
1,2017-03-01,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.HOME,DETROIT_PISTONS,8,0,468,0,0,0,0,0,0,0,0,1,1,0,1,0.7
2,2017-10-24,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],9.4,Location.AWAY,BOSTON_CELTICS,1,4,1057,2,5,0,0,0,0,0,2,2,0,0,0,2.5
3,2017-10-27,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],25.9,Location.HOME,BROOKLYN_NETS,2,8,1530,3,7,1,1,1,2,1,6,5,1,0,1,9.1
4,2017-10-29,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],23.1,Location.AWAY,CLEVELAND_CAVALIERS,5,2,2011,1,8,0,2,0,0,0,3,9,1,1,2,2.9
5,2017-10-30,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],28.6,Location.HOME,DENVER_NUGGETS,7,6,1938,3,5,0,0,0,0,0,3,10,2,0,2,11.2
6,2017-11-01,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],8.4,Location.HOME,HOUSTON_ROCKETS,10,4,1214,2,9,0,1,0,0,0,2,2,0,0,1,-0.9
7,2017-11-03,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],20.4,Location.HOME,PHOENIX_SUNS,23,2,1779,0,3,0,1,2,2,0,7,8,0,0,2,5.2
8,2017-11-05,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],19.1,Location.HOME,INDIANA_PACERS,11,8,1454,4,6,0,2,0,0,1,2,3,1,0,0,8.2
9,2017-11-07,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],14.7,Location.HOME,CHARLOTTE_HORNETS,3,6,1346,3,7,0,1,0,0,0,1,5,0,0,0,5.7
10,2017-11-08,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],11.100000000000001,Location.AWAY,ORLANDO_MAGIC,21,6,1502,3,4,0,0,0,0,1,2,5,0,0,6,2.0
11,2017-11-11,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],14.399999999999999,Location.HOME,SACRAMENTO_KINGS,25,5,1491,2,3,1,1,0,0,0,2,6,0,0,2,6.1
12,2017-11-13,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],8.9,Location.HOME,CLEVELAND_CAVALIERS,5,2,1422,1,5,0,1,0,0,0,2,5,0,0,3,-0.8
13,2017-11-15,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],13.7,Location.HOME,UTAH_JAZZ,28,7,1681,3,5,1,1,0,0,0,1,5,0,0,2,5.7
14,2017-11-17,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],22.3,Location.AWAY,TORONTO_RAPTORS,27,8,1644,4,7,0,0,0,0,2,2,7,0,0,1,10.6
15,2017-11-20,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],25.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,11,1495,4,7,2,4,1,1,0,2,7,1,0,1,12.8
16,2017-11-22,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],13.8,Location.HOME,TORONTO_RAPTORS,27,2,1909,1,6,0,2,0,0,0,4,2,2,0,2,0.4
17,2017-11-24,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],33.8,Location.AWAY,ATLANTA_HAWKS,0,10,1967,4,8,1,3,1,1,0,4,14,0,0,2,15.0
18,2017-11-25,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],29.0,Location.AWAY,HOUSTON_ROCKETS,10,10,1951,5,10,0,2,0,0,0,5,8,1,0,2,10.7
19,2017-11-27,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],11.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,1234,2,7,1,1,0,0,0,3,3,0,0,2,1.9
20,2017-11-29,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],18.1,Location.HOME,MIAMI_HEAT,15,2,1439,1,3,0,1,0,0,0,3,7,1,0,1,5.3
21,2017-12-03,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],21.3,Location.HOME,ORLANDO_MAGIC,21,9,1661,4,10,1,1,0,0,0,4,7,0,0,3,5.9
22,2017-12-04,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],11.9,Location.AWAY,INDIANA_PACERS,11,2,1017,1,3,0,0,0,0,0,2,5,0,0,0,4.0
23,2017-12-06,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],31.200000000000003,Location.HOME,MEMPHIS_GRIZZLIES,14,10,1626,3,5,0,0,4,6,0,6,10,0,0,1,13.5
24,2017-12-09,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],15.600000000000001,Location.AWAY,CHICAGO_BULLS,4,6,1709,3,7,0,1,0,0,1,2,4,1,0,3,4.4
25,2017-12-10,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],25.6,Location.HOME,ATLANTA_HAWKS,0,19,1567,7,11,0,2,5,7,1,2,4,0,0,3,13.2
26,2017-12-12,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],23.2,Location.HOME,LOS_ANGELES_LAKERS,13,3,1552,1,6,0,1,1,2,0,6,10,0,0,2,5.6
27,2017-12-14,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],15.899999999999999,Location.AWAY,BROOKLYN_NETS,2,8,1346,3,8,2,2,0,0,1,1,3,1,0,2,5.7
28,2017-12-16,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],38.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,12,2095,3,5,1,2,5,6,2,6,7,3,0,3,16.6
29,2017-12-18,jackja01,Jarrett Jack,381,[<Position.POINT_GUARD: 'POINT GUARD'>],21.7,Location.AWAY,CHARLOTTE_HORNETS,3,12,1479,5,10,0,2,2,2,0,1,7,0,0,2,9.4
