,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],29.5,Location.AWAY,INDIANA_PACERS,11,10,1518,2,6,0,1,6,6,2,3,1,3,1,0,12.5
1,2018-10-19,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],42.4,Location.HOME,ATLANTA_HAWKS,0,24,1656,8,12,2,4,6,9,1,6,2,1,2,2,19.9
2,2018-10-22,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.9,Location.AWAY,UTAH_JAZZ,28,11,1632,5,12,0,4,1,2,1,6,1,1,0,0,6.8
3,2018-10-24,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.4,Location.AWAY,SACRAMENTO_KINGS,25,14,1827,6,16,0,3,2,2,4,3,2,1,2,2,8.3
4,2018-10-27,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.9,Location.HOME,PHOENIX_SUNS,23,6,895,2,5,0,1,2,2,0,2,1,1,1,1,3.3
5,2018-10-30,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.1,Location.HOME,WASHINGTON_WIZARDS,29,4,603,2,3,0,0,0,0,0,3,1,0,0,2,0.7
6,2018-11-02,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.7,Location.AWAY,UTAH_JAZZ,28,13,1225,6,9,1,2,0,0,1,0,1,1,1,3,7.2
7,2018-11-04,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.1,Location.AWAY,PHOENIX_SUNS,23,4,1351,1,2,0,1,2,2,2,1,1,0,1,0,4.9
8,2018-11-05,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,15,1940,6,16,0,3,3,6,2,4,2,0,5,2,9.3
9,2018-11-07,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],43.4,Location.HOME,DENVER_NUGGETS,7,20,1968,7,15,2,5,4,6,3,4,0,3,3,3,16.1
10,2018-11-10,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.7,Location.HOME,PHILADELPHIA_76ERS,22,7,1835,2,8,0,2,3,4,0,1,1,0,1,0,2.7
11,2018-11-12,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.7,Location.HOME,UTAH_JAZZ,28,10,1649,4,9,0,1,2,2,5,6,3,1,5,4,12.0
12,2018-11-14,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.9,Location.AWAY,MILWAUKEE_BUCKS,16,13,934,5,8,1,1,2,3,0,2,1,2,0,0,10.3
13,2018-11-16,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],51.2,Location.HOME,SACRAMENTO_KINGS,25,27,1889,11,16,1,1,4,6,2,4,0,4,2,1,24.4
14,2018-11-18,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,13,1124,6,10,1,2,0,0,1,1,1,0,3,3,8.0
15,2018-11-19,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.6,Location.HOME,DALLAS_MAVERICKS,6,13,2178,6,13,0,3,1,1,0,3,2,2,4,2,10.2
16,2018-11-21,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.AWAY,SAN_ANTONIO_SPURS,26,9,745,3,4,2,2,1,2,0,1,1,0,0,1,5.0
17,2018-11-23,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,20,2098,8,15,1,3,3,5,1,6,3,0,3,3,14.0
18,2018-11-25,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],47.7,Location.HOME,NEW_YORK_KNICKS,19,16,1784,6,6,4,4,0,0,0,6,3,0,7,1,20.0
19,2018-11-27,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.HOME,TORONTO_RAPTORS,27,4,1125,1,4,0,0,2,2,0,2,0,0,1,3,-2.1
20,2018-11-30,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],47.6,Location.AWAY,BROOKLYN_NETS,2,36,2593,13,22,3,7,7,7,3,5,2,0,0,1,28.2
21,2018-12-02,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.6,Location.AWAY,PHILADELPHIA_76ERS,22,17,1405,5,10,1,4,6,6,1,2,0,1,3,2,12.4
22,2018-12-05,jacksja02,Jaren Jackson,385,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,13,1274,5,10,1,4,2,2,1,5,0,1,1,0,9.5
