,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.4,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,11,1921,4,10,1,2,2,4,0,2,0,0,0,0,5.0
1,2017-10-20,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.0,Location.HOME,LOS_ANGELES_LAKERS,13,12,1392,4,10,2,4,2,5,0,0,0,1,0,1,4.6
2,2017-10-21,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,12,1739,3,10,2,5,4,8,0,1,1,4,0,2,5.2
3,2017-10-23,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.5,Location.HOME,SACRAMENTO_KINGS,25,15,1437,6,8,1,3,2,2,0,5,1,2,0,3,12.6
4,2017-10-25,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.7,Location.HOME,UTAH_JAZZ,28,4,1227,2,8,0,2,0,0,0,6,1,1,0,1,0.1
5,2017-10-28,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,10,1358,3,11,1,3,3,4,3,3,0,3,0,0,7.9
6,2017-10-31,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.7,Location.AWAY,BROOKLYN_NETS,2,8,1403,4,14,0,2,0,0,0,6,1,0,0,1,0.1
7,2017-11-01,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.9,Location.AWAY,WASHINGTON_WIZARDS,29,7,760,2,3,0,1,3,4,1,1,1,0,0,1,4.0
8,2017-11-03,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.9,Location.AWAY,NEW_YORK_KNICKS,19,13,1757,5,11,2,5,1,2,1,1,1,1,0,0,7.6
9,2017-11-05,jacksjo02,Josh Jackson,386,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.8,Location.AWAY,SAN_ANTONIO_SPURS,26,12,1375,5,9,2,3,0,2,0,4,2,2,0,5,5.7
