,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.4,Location.HOME,HOUSTON_ROCKETS,10,5,1166,2,5,1,2,0,0,1,1,0,0,0,0,2.9
1,2017-10-20,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.8,Location.AWAY,DALLAS_MAVERICKS,6,2,1032,1,4,0,2,0,0,1,3,0,0,0,1,-0.2
2,2017-10-21,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.2,Location.AWAY,DENVER_NUGGETS,7,5,1176,2,5,1,3,0,0,0,1,0,0,0,2,-0.2
3,2017-10-23,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.2,Location.AWAY,PHOENIX_SUNS,23,10,1046,4,6,1,2,1,1,1,0,0,0,0,1,7.1
4,2017-10-26,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.7,Location.HOME,NEW_ORLEANS_PELICANS,18,7,932,3,4,1,2,0,0,0,1,1,0,0,0,6.4
5,2017-10-29,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.5,Location.HOME,WASHINGTON_WIZARDS,29,6,755,2,4,1,1,1,2,0,0,1,0,1,0,4.6
6,2017-10-31,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.0,Location.AWAY,INDIANA_PACERS,11,5,1045,2,5,1,2,0,0,0,0,0,1,0,1,1.9
7,2017-11-01,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.7,Location.AWAY,BOSTON_CELTICS,1,5,1167,2,5,0,2,1,2,1,0,1,0,0,0,2.9
8,2017-11-04,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.6,Location.AWAY,DETROIT_PISTONS,8,3,974,1,4,1,3,0,0,0,3,0,0,0,1,0.1
9,2017-11-07,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,16,1827,7,14,2,6,0,0,0,4,0,0,0,0,9.0
10,2017-11-09,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.HOME,PHILADELPHIA_76ERS,22,19,1774,7,12,2,4,3,3,0,1,2,0,0,1,13.7
11,2017-11-11,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.800000000000001,Location.AWAY,NEW_YORK_KNICKS,19,4,1519,2,10,0,4,0,0,2,2,0,0,0,2,-2.2
12,2017-11-13,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.2,Location.AWAY,WASHINGTON_WIZARDS,29,5,1561,2,9,1,3,0,0,1,0,2,1,0,2,0.2
13,2017-11-15,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.8,Location.AWAY,ATLANTA_HAWKS,0,8,1553,3,12,2,7,0,2,0,4,0,1,1,2,0.1
14,2017-11-20,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.0,Location.HOME,DENVER_NUGGETS,7,7,563,3,5,1,2,0,0,0,0,0,0,0,0,4.3
15,2017-11-22,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,2017-11-28,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,MILWAUKEE_BUCKS,16,0,433,0,2,0,1,0,0,0,1,0,0,0,0,-1.1
17,2017-12-10,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.5,Location.HOME,TORONTO_RAPTORS,27,3,1997,1,7,1,3,0,0,2,3,3,0,1,0,2.8
18,2017-12-14,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,765,2,6,1,4,0,0,0,0,1,0,0,0,2.3
19,2017-12-17,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.6,Location.AWAY,TORONTO_RAPTORS,27,2,818,1,4,0,3,0,0,0,3,0,1,0,1,0.1
20,2017-12-19,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.AWAY,PHILADELPHIA_76ERS,22,3,1248,1,4,1,3,0,0,0,2,2,1,0,0,3.2
21,2017-12-20,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.2,Location.AWAY,BROOKLYN_NETS,2,6,1229,2,4,1,2,1,1,0,1,0,1,0,1,3.5
22,2017-12-23,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,SAN_ANTONIO_SPURS,26,0,512,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
23,2017-12-26,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,9,1337,4,7,1,4,0,0,0,4,2,0,2,0,8.5
24,2017-12-27,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.9,Location.HOME,CLEVELAND_CAVALIERS,5,3,517,1,1,1,1,0,0,0,2,1,0,0,0,3.2
25,2017-12-31,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.7,Location.HOME,MEMPHIS_GRIZZLIES,14,7,642,2,4,1,2,2,2,0,1,1,1,0,0,7.0
26,2018-01-02,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.7,Location.HOME,CHARLOTTE_HORNETS,3,0,381,0,2,0,0,0,0,0,1,1,0,0,0,-0.4
27,2018-01-13,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,2,386,1,1,0,0,0,0,0,1,0,0,0,1,1.0
28,2018-01-15,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,3,1466,1,5,1,4,0,0,0,1,2,4,0,1,4.2
29,2018-01-17,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.9,Location.HOME,UTAH_JAZZ,28,0,735,0,3,0,1,0,0,0,2,1,1,0,0,-0.6
30,2018-01-19,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,3,1128,1,3,1,3,0,2,0,1,0,0,0,1,-0.2
31,2018-01-22,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.9,Location.AWAY,CHARLOTTE_HORNETS,3,4,1198,2,6,0,1,0,0,0,2,1,0,0,0,1.1
32,2018-01-23,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.6,Location.AWAY,ORLANDO_MAGIC,21,4,1482,2,4,0,2,0,0,0,8,0,0,0,1,3.0
33,2018-01-25,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.6,Location.AWAY,MIAMI_HEAT,15,8,1156,4,5,0,0,0,0,1,2,0,0,1,0,7.7
34,2018-01-28,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.0,Location.AWAY,SAN_ANTONIO_SPURS,26,14,1798,6,10,2,4,0,0,1,4,2,0,0,1,11.3
35,2018-01-30,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.6,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,1062,2,4,0,0,1,1,1,2,2,1,0,0,5.9
36,2018-02-02,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.1,Location.HOME,GOLDEN_STATE_WARRIORS,9,17,2027,7,13,2,4,1,1,0,3,1,0,0,0,11.9
37,2018-02-03,jacksju01,Justin Jackson,387,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.0,Location.HOME,DALLAS_MAVERICKS,6,4,1432,2,4,0,2,0,0,1,4,0,1,0,1,3.9
