,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-25,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,154,1,1,0,0,0,0,0,0,0,0,0,0,1.7
1,2019-10-26,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.AWAY,UTAH_JAZZ,28,5,445,2,6,0,2,1,2,0,1,0,0,1,0,2.2
2,2019-11-03,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,NEW_YORK_KNICKS,19,0,116,0,0,0,0,0,2,0,1,1,1,0,0,1.2
3,2019-11-19,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.HOME,PHOENIX_SUNS,23,2,203,1,2,0,1,0,0,0,0,0,0,1,0,1.7
4,2019-11-22,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.1,Location.AWAY,BROOKLYN_NETS,2,14,1959,6,14,2,4,0,2,0,3,3,1,0,2,7.4
5,2019-11-24,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.7,Location.AWAY,WASHINGTON_WIZARDS,29,5,971,2,3,1,2,0,0,0,1,1,0,0,0,3.5
6,2019-11-25,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.4,Location.AWAY,BOSTON_CELTICS,1,0,829,0,0,0,0,0,0,0,2,0,0,1,0,0.5
7,2019-11-27,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.9,Location.AWAY,PHILADELPHIA_76ERS,22,6,1148,3,6,0,1,0,0,0,2,1,0,1,0,4.6
8,2019-11-30,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.4,Location.HOME,DENVER_NUGGETS,7,6,1532,3,9,0,3,0,0,1,6,2,2,1,0,7.1
9,2019-12-02,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.8,Location.HOME,CHICAGO_BULLS,4,0,591,0,0,0,0,0,0,1,0,0,0,0,3,-3.1
10,2019-12-04,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,460,0,3,0,1,0,0,0,2,1,0,1,0,-0.5
11,2019-12-15,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,164,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
12,2019-12-20,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.6,Location.AWAY,INDIANA_PACERS,11,14,1433,5,11,3,5,1,3,1,2,2,0,1,1,9.9
13,2019-12-26,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],-1.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
14,2019-12-28,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.4,Location.HOME,PHOENIX_SUNS,23,4,525,2,5,0,2,0,0,0,2,0,1,1,0,3.2
15,2019-12-31,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,1,56,0,0,0,0,1,2,1,0,0,0,0,0,1.3
16,2020-01-02,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2020-01-04,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,NEW_ORLEANS_PELICANS,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,2020-01-06,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,198,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
19,2020-01-07,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.AWAY,PHOENIX_SUNS,23,5,374,2,3,1,1,0,0,0,0,1,0,0,0,4.4
20,2020-01-10,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,MILWAUKEE_BUCKS,16,0,179,0,1,0,0,0,0,0,0,1,0,0,0,0.0
21,2020-01-13,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.2,Location.HOME,ORLANDO_MAGIC,21,0,189,0,1,0,1,0,0,0,1,0,0,1,0,-0.1
22,2020-01-18,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.7,Location.AWAY,UTAH_JAZZ,28,3,666,1,3,1,1,0,0,0,1,1,0,0,1,0.9
23,2020-01-20,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MIAMI_HEAT,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,2020-01-22,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,DETROIT_PISTONS,8,1,92,0,0,0,0,1,2,0,0,0,1,0,0,1.6
25,2020-01-24,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,CHICAGO_BULLS,4,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,2020-01-29,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,233,1,2,0,0,2,2,2,0,1,0,0,0,5.1
27,2020-01-30,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,4,138,0,2,0,1,4,4,0,0,0,0,0,0,2.6
28,2020-02-01,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,2020-02-08,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,SAN_ANTONIO_SPURS,26,2,83,1,1,0,0,0,0,0,0,0,0,0,0,1.3
30,2020-02-12,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.5,Location.AWAY,DALLAS_MAVERICKS,6,7,121,3,3,1,1,0,2,0,0,1,0,0,0,6.0
31,2020-02-20,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,2020-02-27,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,2020-03-07,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0.0
34,2020-08-09,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,HOUSTON_ROCKETS,10,0,276,0,2,0,2,0,0,0,0,1,0,0,0,-1.1
35,2020-08-13,jamesju01,Justin James,390,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.9,Location.AWAY,LOS_ANGELES_LAKERS,13,4,572,2,4,0,1,0,0,0,2,1,0,0,0,3.3
