,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],16.2,Location.HOME,DALLAS_MAVERICKS,6,7,654,3,6,0,0,1,1,1,5,0,0,1,1,5.5
1,2016-10-28,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],7.4,Location.AWAY,BROOKLYN_NETS,2,2,719,1,5,0,0,0,0,0,2,2,0,1,3,-2.2
2,2016-10-29,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],12.6,Location.AWAY,CHICAGO_BULLS,4,6,871,3,5,0,0,0,0,1,2,2,0,0,0,5.6
3,2016-11-01,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],12.9,Location.HOME,LOS_ANGELES_LAKERS,13,4,821,2,6,0,0,0,0,2,5,1,0,0,1,1.6
4,2016-11-03,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],16.4,Location.AWAY,MILWAUKEE_BUCKS,16,5,1143,1,8,0,1,3,4,3,4,0,0,1,0,2.6
5,2016-11-05,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],23.2,Location.HOME,CHICAGO_BULLS,4,4,1043,2,7,0,0,0,0,1,5,4,0,2,0,5.9
6,2016-11-07,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],28.5,Location.AWAY,CHARLOTTE_HORNETS,3,12,1164,6,12,0,0,0,1,4,6,1,1,0,0,11.1
7,2016-11-09,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],31.4,Location.HOME,PHILADELPHIA_76ERS,22,18,1221,9,12,0,0,0,0,2,5,0,2,0,1,16.3
8,2016-11-11,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],15.600000000000001,Location.AWAY,PHILADELPHIA_76ERS,22,10,1348,4,9,0,0,2,3,0,3,2,0,0,1,4.6
9,2016-11-12,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],12.6,Location.HOME,BOSTON_CELTICS,1,10,1019,5,9,0,0,0,0,0,3,0,0,0,1,5.6
10,2016-11-14,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,ORLANDO_MAGIC,21,0,300,0,0,0,0,0,0,0,1,0,0,0,0,-0.1
11,2016-11-16,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,CLEVELAND_CAVALIERS,5,2,424,1,4,0,0,0,0,0,1,0,0,0,0,-0.1
12,2016-11-18,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],11.4,Location.HOME,PHOENIX_SUNS,23,6,340,3,4,0,0,0,0,1,1,0,0,1,0,6.1
13,2016-11-20,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],7.5,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,869,1,5,0,0,0,0,3,2,1,0,0,2,-1.3
14,2016-11-21,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],14.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,4,1253,2,4,0,0,0,0,0,6,2,0,0,0,3.2
15,2016-11-23,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,ATLANTA_HAWKS,0,2,756,1,3,0,0,0,0,0,1,0,0,0,0,-0.2
16,2016-11-25,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],20.1,Location.HOME,BROOKLYN_NETS,2,16,1129,8,14,0,0,0,0,1,2,1,0,0,1,9.2
17,2016-11-27,jeffeal01,Al Jefferson,393,[<Position.CENTER: 'CENTER'>],28.6,Location.HOME,LOS_ANGELES_CLIPPERS,12,16,1272,8,17,0,0,0,0,3,5,2,0,0,0,11.1
