,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.7,Location.HOME,BROOKLYN_NETS,2,4,1129,1,8,0,5,2,2,0,1,3,4,0,1,3.8
1,2016-10-27,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.AWAY,CHICAGO_BULLS,4,4,578,1,3,1,1,1,2,0,1,0,0,0,0,1.4
2,2016-10-29,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.9,Location.AWAY,CHARLOTTE_HORNETS,3,3,1111,1,1,1,1,0,0,0,2,1,0,0,2,0.8
3,2016-11-02,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.2,Location.HOME,CHICAGO_BULLS,4,6,1339,2,5,0,0,2,2,1,5,2,1,0,0,6.3
4,2016-11-03,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.AWAY,CLEVELAND_CAVALIERS,5,4,804,2,6,0,0,0,0,1,0,0,0,0,0,0.5
5,2016-11-06,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.600000000000001,Location.HOME,DENVER_NUGGETS,7,7,1092,3,6,1,2,0,0,3,0,0,1,1,1,5.6
6,2016-11-09,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.4,Location.AWAY,WASHINGTON_WIZARDS,29,3,692,1,2,1,2,0,0,0,2,0,0,1,0,3.3
7,2016-11-11,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.5,Location.HOME,NEW_YORK_KNICKS,19,5,1252,2,4,0,1,1,2,3,2,1,1,1,0,7.3
8,2016-11-12,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.0,Location.AWAY,INDIANA_PACERS,11,0,1259,0,4,0,2,0,0,0,5,0,0,2,1,-1.3
9,2016-11-14,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,1141,2,6,0,3,0,0,0,2,0,0,0,0,0.4
10,2016-11-16,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.4,Location.HOME,DALLAS_MAVERICKS,6,5,1419,2,3,1,2,0,0,1,6,0,0,0,0,5.8
11,2016-11-18,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.9,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,902,1,1,0,0,0,0,0,2,1,2,0,2,2.2
12,2016-11-19,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.AWAY,DETROIT_PISTONS,8,9,1062,3,4,3,3,0,0,1,5,1,0,0,1,7.7
13,2016-11-21,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,5,1114,2,3,1,2,0,0,0,3,0,1,0,0,4.8
14,2016-11-23,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.2,Location.AWAY,BROOKLYN_NETS,2,10,990,4,4,1,1,1,1,1,0,0,1,0,1,8.7
15,2016-11-25,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.HOME,SAN_ANTONIO_SPURS,26,7,675,3,4,1,1,0,0,0,3,0,0,0,0,6.3
16,2016-11-28,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.8,Location.AWAY,MIAMI_HEAT,15,7,1245,3,3,1,1,0,0,1,3,0,0,0,0,7.3
17,2016-11-30,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.3,Location.HOME,DETROIT_PISTONS,8,4,879,2,2,0,0,0,0,1,3,1,0,0,0,5.7
18,2016-12-02,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.299999999999997,Location.HOME,SACRAMENTO_KINGS,25,5,1021,2,5,1,1,0,0,1,8,1,0,0,2,3.7
19,2016-12-03,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.7,Location.AWAY,PHILADELPHIA_76ERS,22,5,984,2,4,1,2,0,0,1,5,1,0,0,1,3.7
20,2016-12-05,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.0,Location.AWAY,HOUSTON_ROCKETS,10,6,1262,2,5,2,3,0,0,3,2,0,1,1,1,6.3
21,2016-12-07,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.AWAY,ORLANDO_MAGIC,21,0,840,0,2,0,2,0,0,1,3,4,0,0,1,2.0
22,2016-12-09,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.HOME,TORONTO_RAPTORS,27,8,1041,3,5,2,4,0,0,2,1,0,0,0,0,6.6
23,2016-12-11,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,691,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
24,2016-12-14,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.5,Location.AWAY,SAN_ANTONIO_SPURS,26,6,912,2,6,0,3,2,2,0,0,1,1,0,0,4.3
25,2016-12-16,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.1,Location.HOME,CHARLOTTE_HORNETS,3,9,1474,4,8,1,5,0,0,1,2,3,2,0,0,9.2
26,2016-12-18,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.1,Location.AWAY,MIAMI_HEAT,15,4,1383,2,7,0,2,0,0,2,1,1,0,0,0,0.3
27,2016-12-20,jerebjo01,Jonas Jerebko,399,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,713,0,0,0,0,0,0,1,0,0,0,0,0,-0.5
