,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-03-03,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.399999999999999,Location.AWAY,CHICAGO_BULLS,4,11,1134,4,4,3,3,0,0,0,2,0,1,0,1,10.4
1,2019-03-04,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.AWAY,MIAMI_HEAT,15,6,818,3,7,0,1,0,0,2,3,0,1,0,0,5.6
2,2019-03-06,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2019-03-09,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.19999999999999996,Location.HOME,BROOKLYN_NETS,2,0,339,0,2,0,2,0,0,0,1,0,0,0,1,-3.3
4,2019-03-13,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,MEMPHIS_GRIZZLIES,14,2,219,0,2,0,0,2,2,0,0,0,0,0,0,0.6
5,2019-03-19,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,HOUSTON_ROCKETS,10,2,45,1,1,0,0,0,0,0,0,0,0,0,0,1.7
6,2019-04-10,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,2,363,1,2,0,1,0,0,0,0,0,0,0,0,0.6
7,2019-12-04,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,PHOENIX_SUNS,23,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2020-01-08,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,WASHINGTON_WIZARDS,29,2,335,1,1,0,0,0,0,0,0,0,0,0,0,1.7
9,2020-01-15,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.1,Location.AWAY,LOS_ANGELES_LAKERS,13,9,1362,4,10,1,4,0,0,1,2,1,2,0,3,4.6
10,2020-01-16,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.7,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,410,0,3,0,1,0,0,0,1,1,0,0,0,-1.1
11,2020-01-26,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,70,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
12,2020-01-27,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.4,Location.AWAY,MIAMI_HEAT,15,2,151,0,1,0,1,2,2,0,2,0,0,0,0,1.9
13,2020-02-03,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,CHARLOTTE_HORNETS,3,0,245,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
14,2020-02-05,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,BOSTON_CELTICS,1,0,46,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
15,2020-08-11,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.9,Location.HOME,BROOKLYN_NETS,2,8,1153,2,8,0,1,4,4,2,5,1,1,0,2,5.4
16,2020-08-13,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.HOME,NEW_ORLEANS_PELICANS,18,9,1026,2,6,2,2,3,4,0,2,0,0,0,1,4.0
17,2020-08-22,johnsbj01,B.J. Johnson,403,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.HOME,MILWAUKEE_BUCKS,16,3,213,1,2,1,1,0,0,0,2,0,0,0,0,2.6
