,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-23,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,172,0,1,0,0,0,0,1,1,0,0,0,1,-0.7
1,2017-03-16,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.AWAY,DENVER_NUGGETS,7,2,221,1,3,0,0,0,0,0,1,1,1,1,0,3.0
2,2017-04-10,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.0,Location.HOME,HOUSTON_ROCKETS,10,2,160,1,3,0,0,0,0,0,0,0,1,0,0,1.3
3,2017-10-21,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.3,Location.HOME,PHOENIX_SUNS,23,6,370,2,2,0,0,2,2,0,4,1,0,0,1,5.1
4,2017-10-30,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,4,391,2,3,0,0,0,0,0,2,0,0,0,0,2.9
5,2017-11-01,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.HOME,DALLAS_MAVERICKS,6,0,306,0,1,0,0,0,0,0,0,0,1,0,1,-1.9
6,2017-11-07,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.AWAY,SAN_ANTONIO_SPURS,26,2,122,1,1,0,0,0,0,1,1,0,0,0,0,2.7
7,2017-11-11,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2017-11-30,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.HOME,UTAH_JAZZ,28,0,194,0,0,0,0,0,0,0,0,0,0,1,0,0.7
9,2017-12-02,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.2,Location.AWAY,DALLAS_MAVERICKS,6,0,308,0,1,0,1,0,0,0,1,0,3,0,1,1.6
10,2017-12-15,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.AWAY,WASHINGTON_WIZARDS,29,2,353,1,2,0,0,0,0,0,2,0,1,0,1,1.6
11,2017-12-18,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.AWAY,SAN_ANTONIO_SPURS,26,2,232,1,1,0,0,0,0,1,1,0,1,1,0,4.4
12,2018-02-24,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.6,Location.AWAY,MIAMI_HEAT,15,0,294,0,2,0,0,0,0,1,2,0,1,0,0,0.9
13,2018-02-26,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.AWAY,BOSTON_CELTICS,1,4,110,2,2,0,0,0,0,0,1,0,0,0,0,3.3
14,2018-03-02,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.HOME,DENVER_NUGGETS,7,6,704,3,6,0,0,0,0,1,2,0,0,0,1,2.5
15,2018-03-03,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.8,Location.AWAY,ORLANDO_MAGIC,21,2,540,1,8,0,0,0,0,2,2,0,1,1,0,-0.7
16,2018-03-09,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2018-03-10,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.AWAY,DALLAS_MAVERICKS,6,4,330,2,3,0,0,0,0,1,0,0,0,0,0,3.4
18,2018-03-12,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,MILWAUKEE_BUCKS,16,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,2018-03-21,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.3,Location.AWAY,PHILADELPHIA_76ERS,22,9,653,4,6,0,0,1,1,2,2,1,0,1,0,9.8
20,2018-03-22,johnsbr02,Brice Johnson,404,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.4,Location.AWAY,CHARLOTTE_HORNETS,3,2,834,1,4,0,0,0,2,0,2,0,1,2,0,1.8
