,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-26,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.199999999999999,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,519,1,3,1,3,1,2,1,0,0,1,0,1,1.8
1,2019-10-28,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.8,Location.HOME,UTAH_JAZZ,28,3,762,1,3,1,3,0,0,0,4,0,0,0,0,0.9
2,2019-10-30,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,12,863,5,6,2,3,0,0,0,3,0,1,0,2,8.9
3,2019-11-02,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.7,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,1043,2,7,1,5,0,0,0,1,1,0,0,0,1.1
4,2019-11-04,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.HOME,PHILADELPHIA_76ERS,22,2,570,1,3,0,1,0,0,0,0,0,0,0,0,0.3
5,2019-11-07,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.1,Location.HOME,MIAMI_HEAT,15,7,1154,2,5,1,2,2,2,1,2,1,0,0,0,5.9
6,2019-11-10,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.2,Location.HOME,BROOKLYN_NETS,2,15,1176,6,10,3,5,0,0,2,4,2,1,2,1,15.8
7,2019-11-12,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.3,Location.HOME,LOS_ANGELES_LAKERS,13,11,1627,3,9,3,8,2,2,1,3,1,0,0,1,5.6
8,2019-11-14,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.3,Location.HOME,ATLANTA_HAWKS,0,15,1223,3,8,3,6,6,6,0,4,1,0,0,1,11.5
9,2019-11-18,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.5,Location.HOME,BOSTON_CELTICS,1,8,1430,3,10,2,7,0,0,3,2,1,0,1,2,3.5
10,2019-11-19,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.8,Location.AWAY,SACRAMENTO_KINGS,25,18,1577,7,13,4,9,0,0,2,2,2,1,1,0,15.6
11,2019-11-21,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.0,Location.HOME,NEW_ORLEANS_PELICANS,18,14,1157,4,6,3,4,3,3,0,0,0,2,0,0,12.2
12,2019-11-23,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,1269,1,8,1,4,0,0,0,3,0,2,0,0,0.7
13,2019-11-24,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.5,Location.AWAY,DENVER_NUGGETS,7,6,1319,2,7,2,6,0,0,0,0,1,0,0,1,1.2
14,2019-11-27,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.3,Location.HOME,WASHINGTON_WIZARDS,29,17,1897,6,10,3,7,2,2,1,3,1,1,1,1,14.6
15,2019-11-29,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.3,Location.HOME,DALLAS_MAVERICKS,6,2,808,1,5,0,2,0,0,2,2,1,0,0,0,1.2
16,2019-12-02,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.AWAY,CHARLOTTE_HORNETS,3,4,637,2,4,0,2,0,0,1,1,1,0,0,1,2.7
17,2019-12-04,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.AWAY,ORLANDO_MAGIC,21,12,1495,4,9,4,6,0,0,0,1,1,1,0,1,6.7
18,2019-12-05,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.700000000000003,Location.AWAY,NEW_ORLEANS_PELICANS,18,18,1862,7,12,4,8,0,0,3,3,1,1,1,1,15.6
19,2019-12-07,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.3,Location.AWAY,HOUSTON_ROCKETS,10,6,1264,2,7,2,6,0,0,2,2,1,1,1,1,4.1
20,2019-12-09,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.0,Location.HOME,MINNESOTA_TIMBERWOLVES,17,10,1578,4,8,2,6,0,0,2,3,2,0,0,0,9.7
21,2019-12-11,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19.5,Location.HOME,MEMPHIS_GRIZZLIES,14,11,1451,3,8,2,5,3,4,2,3,1,1,0,2,7.8
22,2019-12-14,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.8,Location.HOME,SAN_ANTONIO_SPURS,26,9,1959,3,7,2,5,1,2,0,4,2,0,0,1,6.1
23,2019-12-16,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,13,1767,5,8,3,6,0,1,1,2,3,1,0,0,13.0
24,2019-12-20,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,1042,1,5,1,4,1,1,1,2,1,1,0,1,2.9
25,2019-12-21,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.9,Location.HOME,HOUSTON_ROCKETS,10,9,1370,3,9,3,8,0,0,0,2,1,1,0,0,5.4
26,2019-12-23,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.9,Location.HOME,DENVER_NUGGETS,7,11,1121,3,6,3,5,2,4,2,5,1,0,0,0,10.4
27,2019-12-27,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,5,2005,2,7,1,5,0,0,1,3,3,0,1,0,4.5
28,2019-12-28,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,SACRAMENTO_KINGS,25,3,856,1,3,1,3,0,0,1,2,0,0,0,1,1.2
29,2019-12-30,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,9,1081,3,3,3,3,0,0,0,1,0,0,0,1,7.0
30,2020-01-01,johnsca02,Cameron Johnson,405,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.6,Location.AWAY,LOS_ANGELES_LAKERS,13,2,853,1,4,0,3,0,0,1,2,2,0,0,0,1.5
