,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-11-22,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,PHILADELPHIA_76ERS,22,0,139,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
1,2020-01-04,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.4,Location.AWAY,MILWAUKEE_BUCKS,16,2,261,1,3,0,0,0,0,0,2,0,0,0,0,0.9
2,2020-02-01,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.HOME,CHARLOTTE_HORNETS,3,2,117,1,1,0,0,0,0,0,1,0,0,0,0,2.0
3,2020-02-04,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2020-02-23,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.1,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,9,786,4,10,0,1,1,2,2,1,3,0,0,1,5.2
5,2020-03-03,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.5,Location.AWAY,CHARLOTTE_HORNETS,3,7,905,3,4,1,2,0,0,0,0,1,1,1,1,6.8
6,2020-03-06,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.0,Location.AWAY,BROOKLYN_NETS,2,13,1260,4,6,1,2,4,6,0,5,0,1,0,1,9.9
7,2020-03-08,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.3,Location.AWAY,CLEVELAND_CAVALIERS,5,6,1042,2,3,0,0,2,2,1,3,1,2,0,0,8.2
8,2020-03-10,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.9,Location.HOME,DALLAS_MAVERICKS,6,2,800,1,3,0,0,0,0,2,0,1,1,0,0,2.6
9,2020-07-31,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.HOME,SACRAMENTO_KINGS,25,8,1801,3,7,2,4,0,2,1,5,2,1,0,0,7.7
10,2020-08-02,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,9,1526,4,6,1,2,0,2,2,4,0,1,0,1,7.4
11,2020-08-03,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.1,Location.AWAY,PHILADELPHIA_76ERS,22,15,1298,4,6,1,1,6,7,0,3,1,0,0,0,12.8
12,2020-08-05,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.2,Location.HOME,DENVER_NUGGETS,7,20,1570,7,10,2,2,4,4,1,5,2,1,0,0,19.6
13,2020-08-07,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.5,Location.HOME,UTAH_JAZZ,28,4,1424,1,2,0,1,2,2,0,5,1,3,1,2,6.1
14,2020-08-09,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,9,1537,2,3,1,1,4,4,0,1,0,2,0,2,6.0
15,2020-08-11,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.7,Location.HOME,HOUSTON_ROCKETS,10,24,1537,8,12,3,3,5,5,1,10,3,0,0,2,22.2
16,2020-08-13,johnske04,Keldon Johnson,409,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.4,Location.AWAY,UTAH_JAZZ,28,24,1811,8,12,1,3,7,8,0,2,0,1,0,3,15.4
