,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-12-10,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],-2.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,542,0,0,0,0,0,0,0,0,0,0,0,2,-2.8
1,2017-01-22,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],3.2,Location.AWAY,ORLANDO_MAGIC,21,0,444,0,1,0,0,0,0,0,1,0,1,0,1,-1.2
2,2017-02-01,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],8.4,Location.HOME,CHARLOTTE_HORNETS,3,4,247,1,1,0,0,2,2,1,1,0,0,1,1,4.0
3,2017-02-08,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,CHICAGO_BULLS,4,2,228,1,1,0,0,0,0,1,1,0,0,0,0,2.3
4,2017-02-10,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,104,0,0,0,0,0,0,1,0,0,0,0,0,0.7
5,2017-02-11,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],2.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,112,0,1,0,0,0,2,1,1,0,0,0,0,-0.9
6,2017-02-13,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],7.199999999999999,Location.AWAY,DENVER_NUGGETS,7,4,720,2,3,0,0,0,0,0,1,0,0,1,1,2.3
7,2017-02-15,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],3.4,Location.HOME,SACRAMENTO_KINGS,25,1,330,0,0,0,0,1,2,2,0,0,0,0,0,1.6
8,2017-03-11,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],10.0,Location.AWAY,SAN_ANTONIO_SPURS,26,4,1230,2,6,0,0,0,2,3,2,0,0,0,0,1.3
9,2017-04-12,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],17.4,Location.HOME,LOS_ANGELES_LAKERS,13,4,1148,2,3,0,0,0,2,0,7,0,0,2,1,3.2
10,2017-12-20,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,MEMPHIS_GRIZZLIES,14,0,108,0,0,0,0,0,0,1,0,0,0,0,0,0.3
11,2018-02-02,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,2018-02-03,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],2.0,Location.AWAY,DENVER_NUGGETS,7,0,269,0,0,0,0,0,0,0,0,0,0,1,1,-1.5
13,2018-03-09,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,2018-03-14,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,79,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
15,2018-03-25,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],10.8,Location.HOME,UTAH_JAZZ,28,6,720,3,4,0,0,0,0,2,2,0,0,0,0,6.0
16,2018-03-27,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],-1.0,Location.HOME,INDIANA_PACERS,11,0,310,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
17,2018-03-29,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,MILWAUKEE_BUCKS,16,2,309,0,0,0,0,2,2,0,1,0,0,0,0,2.3
18,2018-03-31,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],4.4,Location.AWAY,SACRAMENTO_KINGS,25,2,279,1,2,0,0,0,0,1,1,0,0,0,0,2.0
19,2018-04-01,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,PHOENIX_SUNS,23,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,2018-04-03,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],12.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,824,4,4,0,0,0,2,0,2,0,0,1,1,4.7
21,2018-04-05,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],8.7,Location.AWAY,INDIANA_PACERS,11,7,720,3,4,0,0,1,1,0,1,1,0,0,1,5.4
22,2018-04-07,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],0.0,Location.HOME,NEW_ORLEANS_PELICANS,18,0,284,0,2,0,0,0,0,0,0,0,0,0,0,-1.4
23,2018-04-08,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],5.7,Location.AWAY,PHOENIX_SUNS,23,0,515,0,1,0,0,0,0,0,1,1,0,1,0,-0.2
24,2018-04-10,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],5.4,Location.AWAY,UTAH_JAZZ,28,0,591,0,5,0,0,0,0,1,1,0,1,0,0,-1.9
25,2018-10-16,jonesda03,Damian Jones,416,[<Position.CENTER: 'CENTER'>],25.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,12,1593,6,7,0,0,0,0,2,1,2,0,3,2,11.1
