,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-19,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,PHILADELPHIA_76ERS,22,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2016-12-15,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.HOME,SAN_ANTONIO_SPURS,26,3,170,1,1,0,0,1,1,0,0,0,0,0,0,2.3
2,2017-01-30,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,MEMPHIS_GRIZZLIES,14,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2017-02-04,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.HOME,MILWAUKEE_BUCKS,16,0,188,0,1,0,0,0,0,0,0,0,0,1,0,0.0
4,2017-02-08,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2017-02-11,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.7,Location.AWAY,HOUSTON_ROCKETS,10,2,283,1,2,0,0,0,0,1,0,1,0,0,0,2.4
6,2017-02-15,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,LOS_ANGELES_LAKERS,13,6,229,3,3,0,0,0,0,1,1,0,0,0,0,6.1
7,2017-02-24,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.AWAY,CHICAGO_BULLS,4,6,851,2,4,0,0,2,2,1,1,2,0,0,1,5.4
8,2017-02-26,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.0,Location.AWAY,MILWAUKEE_BUCKS,16,2,618,1,1,0,0,0,0,0,0,0,1,1,3,0.0
9,2017-02-28,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,8,612,4,4,0,0,0,0,0,2,0,0,0,0,5.8
10,2017-03-02,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.0,Location.HOME,CHARLOTTE_HORNETS,3,8,1295,3,4,0,0,2,2,0,0,0,2,2,0,9.0
11,2017-03-03,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.7,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,900,3,3,0,0,0,0,1,0,1,0,0,0,4.9
12,2017-03-05,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.0,Location.HOME,BOSTON_CELTICS,1,0,729,0,0,0,0,0,0,0,0,0,0,2,0,0.2
13,2017-03-07,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.4,Location.HOME,WASHINGTON_WIZARDS,29,6,1346,3,3,0,0,0,0,0,2,0,0,2,0,5.5
14,2017-03-09,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.4,Location.HOME,LOS_ANGELES_LAKERS,13,5,601,2,2,0,0,1,2,1,1,0,0,1,0,5.3
15,2017-03-11,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.9,Location.AWAY,DALLAS_MAVERICKS,6,2,1561,1,3,0,1,0,0,1,6,1,0,0,1,0.9
16,2017-03-12,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,4,1513,1,2,0,0,2,2,0,3,1,0,0,0,3.0
17,2017-03-15,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.HOME,SACRAMENTO_KINGS,25,0,200,0,0,0,0,0,0,0,2,0,0,1,0,1.3
18,2017-03-17,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,ORLANDO_MAGIC,21,6,992,3,6,0,0,0,0,2,0,0,0,0,0,4.4
19,2017-03-19,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.0,Location.AWAY,DETROIT_PISTONS,8,3,1582,1,9,0,0,1,3,3,2,0,0,1,0,-0.7
20,2017-03-21,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.2,Location.AWAY,MIAMI_HEAT,15,6,1079,2,4,0,0,2,2,0,1,0,0,0,0,3.1
21,2017-03-23,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.800000000000001,Location.AWAY,BROOKLYN_NETS,2,4,1300,1,4,0,1,2,4,2,2,0,0,0,2,-0.8
22,2017-03-24,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.8,Location.AWAY,BOSTON_CELTICS,1,7,1908,2,3,0,0,3,4,2,2,0,1,0,0,5.9
23,2017-03-26,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.9,Location.AWAY,CHARLOTTE_HORNETS,3,2,1215,1,2,0,0,0,0,1,1,1,0,0,1,1.3
24,2017-03-28,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.6,Location.AWAY,ATLANTA_HAWKS,0,13,2068,6,11,1,2,0,2,2,1,0,1,0,0,9.2
25,2017-03-30,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,10,1163,4,5,0,0,2,2,3,1,0,1,0,0,11.1
26,2017-04-01,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,4,1530,2,4,0,0,0,0,2,4,0,2,0,0,4.6
27,2017-04-02,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.1,Location.HOME,HOUSTON_ROCKETS,10,10,2031,5,8,0,1,0,0,5,3,1,2,1,2,10.6
28,2017-04-05,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,9,1278,4,8,0,2,1,2,3,2,0,0,0,0,7.3
29,2017-04-07,jonesde02,Derrick Jones,417,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,11,1269,4,4,0,0,3,4,3,1,0,0,1,0,11.7
