,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-28,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,CLEVELAND_CAVALIERS,5,0,176,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
1,2017-11-15,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,TORONTO_RAPTORS,27,2,130,0,0,0,0,2,2,0,0,0,0,0,0,2.0
2,2017-11-17,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.2,Location.AWAY,DENVER_NUGGETS,7,3,303,1,2,1,1,0,0,0,1,0,0,0,0,1.9
3,2017-12-11,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.AWAY,HOUSTON_ROCKETS,10,0,548,0,1,0,0,0,0,0,1,0,0,0,0,-0.8
4,2018-01-22,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,WASHINGTON_WIZARDS,29,2,188,1,1,0,0,0,0,0,0,0,0,0,0,1.7
5,2018-02-05,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2018-02-08,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,1,408,0,1,0,1,1,2,0,1,0,1,0,0,1.2
7,2018-02-11,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.5,Location.AWAY,HOUSTON_ROCKETS,10,8,1369,3,7,1,2,1,1,1,9,1,0,0,2,5.6
8,2018-02-13,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,SACRAMENTO_KINGS,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
9,2018-03-17,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.9,Location.AWAY,BROOKLYN_NETS,2,16,1766,6,15,2,3,2,3,6,1,1,1,0,0,11.7
10,2018-03-22,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.6,Location.HOME,UTAH_JAZZ,28,4,926,2,4,0,2,0,0,1,2,0,0,0,1,1.5
11,2018-03-27,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,288,0,2,0,1,0,0,0,0,0,0,0,0,-1.4
12,2018-03-28,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.AWAY,LOS_ANGELES_LAKERS,13,3,318,1,2,1,1,0,0,0,0,0,0,0,0,2.0
13,2018-04-04,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.4,Location.AWAY,ORLANDO_MAGIC,21,16,1630,6,15,2,7,2,3,1,6,0,0,1,3,6.1
14,2018-04-06,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.AWAY,DETROIT_PISTONS,8,4,730,1,3,1,2,1,4,0,2,0,1,0,0,2.7
15,2018-04-10,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.0,Location.HOME,PHOENIX_SUNS,23,15,2099,5,14,2,6,3,4,4,1,2,2,0,1,10.3
16,2018-12-03,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,BROOKLYN_NETS,2,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2018-12-05,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,185,1,2,0,0,0,0,0,1,0,0,0,0,1.3
18,2018-12-07,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.2,Location.HOME,SACRAMENTO_KINGS,25,0,278,0,1,0,0,0,0,0,1,2,0,0,0,1.0
19,2018-12-08,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.6,Location.HOME,WASHINGTON_WIZARDS,29,12,849,4,4,4,4,0,0,0,3,0,1,1,0,12.6
20,2018-12-10,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5999999999999996,Location.AWAY,MILWAUKEE_BUCKS,16,1,1117,0,4,0,3,1,2,0,3,0,0,0,1,-3.1
21,2018-12-12,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.HOME,NEW_YORK_KNICKS,19,4,336,1,3,0,0,2,2,1,1,0,0,0,0,2.5
22,2018-12-23,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,CHICAGO_BULLS,4,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,2018-12-26,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,796,2,4,0,2,1,2,1,2,0,1,0,0,3.7
24,2018-12-28,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.3,Location.AWAY,MIAMI_HEAT,15,4,1357,1,6,0,2,2,2,3,1,1,1,0,1,2.5
25,2018-12-29,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.9,Location.AWAY,ATLANTA_HAWKS,0,7,1021,2,4,0,0,3,5,3,4,1,0,0,0,7.0
26,2019-01-02,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.7,Location.HOME,MIAMI_HEAT,15,9,893,2,5,1,3,4,4,0,1,1,0,0,1,5.9
27,2019-01-04,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.2,Location.HOME,UTAH_JAZZ,28,3,771,1,2,1,1,0,0,0,1,0,0,0,0,0.7
28,2019-01-05,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.0,Location.HOME,NEW_ORLEANS_PELICANS,18,15,1669,7,13,1,4,0,2,2,3,0,3,0,4,8.8
29,2019-01-08,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.HOME,INDIANA_PACERS,11,2,928,1,4,0,2,0,0,1,0,0,0,0,0,-0.5
30,2019-01-09,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.5,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,1104,1,4,0,2,3,4,0,0,1,3,0,1,4.1
31,2019-01-11,jonesja04,Jalen Jones,419,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.9,Location.AWAY,HOUSTON_ROCKETS,10,12,1220,3,6,3,5,3,4,0,2,1,0,1,0,9.4
