,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],15.8,Location.HOME,DETROIT_PISTONS,8,6,1296,3,6,0,0,0,0,2,2,2,1,0,1,6.0
1,2016-10-28,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],10.7,Location.HOME,CLEVELAND_CAVALIERS,5,8,1243,4,7,0,0,0,0,0,1,1,1,0,3,3.7
2,2016-10-31,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],17.6,Location.HOME,DENVER_NUGGETS,7,6,1416,3,8,0,1,0,0,1,2,4,1,0,1,4.5
3,2016-11-02,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],16.7,Location.AWAY,WASHINGTON_WIZARDS,29,4,1019,2,4,0,1,0,0,0,1,3,3,0,2,5.4
4,2016-11-04,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],10.3,Location.HOME,MIAMI_HEAT,15,2,767,1,4,0,2,0,0,0,4,3,0,0,1,1.5
5,2016-11-06,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],12.2,Location.HOME,SACRAMENTO_KINGS,25,8,1021,2,7,1,2,3,4,0,1,2,0,0,0,5.2
6,2016-11-09,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],15.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,6,1169,2,4,1,1,1,2,0,0,2,2,0,0,6.2
7,2016-11-11,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],20.8,Location.AWAY,CHARLOTTE_HORNETS,3,12,1513,4,8,2,3,2,2,0,4,2,0,1,2,8.5
8,2016-11-12,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],3.7,Location.HOME,NEW_YORK_KNICKS,19,1,1212,0,3,0,1,1,2,0,1,3,0,0,3,-3.3
9,2016-11-15,josepco01,Cory Joseph,424,[<Position.POINT_GUARD: 'POINT GUARD'>],13.2,Location.AWAY,CLEVELAND_CAVALIERS,5,9,1100,4,7,0,1,1,2,0,1,2,0,0,0,6.6
