,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],37.4,Location.AWAY,PHILADELPHIA_76ERS,22,17,1440,7,14,0,0,3,4,5,7,0,1,1,0,15.7
1,2016-10-28,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],4.4,Location.HOME,PHOENIX_SUNS,23,4,736,1,4,0,0,2,4,1,1,0,0,0,2,-1.4
2,2016-10-30,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],21.2,Location.HOME,LOS_ANGELES_LAKERS,13,16,1316,8,11,0,1,0,0,1,5,0,0,0,2,10.9
3,2016-11-02,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],21.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,6,1417,3,11,0,1,0,0,3,9,0,1,0,2,2.9
4,2016-11-03,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],-1.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,208,0,1,0,0,0,0,0,0,0,0,0,1,-1.7
5,2016-11-05,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],36.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,20,1239,9,14,0,1,2,4,3,7,1,1,1,3,15.8
6,2016-11-07,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],38.5,Location.HOME,MIAMI_HEAT,15,24,1248,10,12,0,0,4,4,4,6,1,0,1,2,22.8
7,2016-11-09,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],5.0,Location.HOME,TORONTO_RAPTORS,27,8,1130,3,3,0,0,2,2,0,0,0,0,0,3,2.9
8,2016-11-11,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],29.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,13,1255,6,11,0,1,1,1,3,8,0,1,0,0,12.0
9,2016-11-13,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],30.6,Location.HOME,ORLANDO_MAGIC,21,16,1417,7,13,0,2,2,2,4,4,0,1,1,1,13.6
10,2016-11-14,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],18.1,Location.AWAY,DETROIT_PISTONS,8,10,1007,4,9,0,2,2,2,2,1,1,0,1,0,8.4
11,2016-11-16,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],23.9,Location.HOME,HOUSTON_ROCKETS,10,8,871,3,6,0,0,2,2,1,6,1,0,2,0,8.4
12,2016-11-18,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],16.6,Location.HOME,BROOKLYN_NETS,2,13,791,3,4,1,1,6,6,0,3,0,0,1,3,9.2
13,2016-11-20,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],35.3,Location.HOME,INDIANA_PACERS,11,16,1529,5,9,1,2,5,6,0,4,3,1,3,2,14.5
14,2016-11-22,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],17.0,Location.AWAY,LOS_ANGELES_LAKERS,13,10,1143,4,8,0,0,2,2,3,2,2,0,0,2,7.3
15,2016-11-23,kanteen01,Enes Kanter,427,[<Position.CENTER: 'CENTER'>],22.9,Location.AWAY,SACRAMENTO_KINGS,25,10,1262,3,9,0,1,4,4,2,5,1,1,0,0,8.7
