,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.8,Location.AWAY,BOSTON_CELTICS,1,13,1334,5,13,1,6,2,2,1,3,2,0,0,2,6.9
1,2016-10-28,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.5,Location.HOME,INDIANA_PACERS,11,18,1522,7,11,4,4,0,0,1,4,1,1,0,2,14.3
2,2016-10-29,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.5,Location.AWAY,MILWAUKEE_BUCKS,16,15,1429,5,9,1,2,4,5,0,0,1,1,0,1,9.8
3,2016-10-31,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.4,Location.HOME,CHICAGO_BULLS,4,13,1509,3,13,0,6,7,7,0,2,0,1,0,1,5.3
4,2016-11-02,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],43.5,Location.HOME,DETROIT_PISTONS,8,24,1691,8,12,4,4,4,4,0,10,3,2,0,3,22.1
5,2016-11-04,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.8,Location.HOME,CHARLOTTE_HORNETS,3,19,1950,5,15,2,7,7,10,0,4,4,2,0,2,12.5
6,2016-11-08,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.5,Location.HOME,MINNESOTA_TIMBERWOLVES,17,14,1669,4,7,0,2,6,6,0,5,3,1,0,6,8.5
7,2016-11-09,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.3,Location.AWAY,NEW_YORK_KNICKS,19,7,1697,2,9,1,4,2,4,0,4,5,0,0,4,0.2
8,2016-11-12,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.8,Location.AWAY,PHOENIX_SUNS,23,19,1900,7,16,3,8,2,3,0,9,4,1,0,4,11.9
9,2016-11-14,kilpase01,Sean Kilpatrick,432,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,14,1093,5,17,2,7,2,2,2,3,1,1,0,5,3.1
