,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-21,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.AWAY,HOUSTON_ROCKETS,10,5,720,2,3,0,1,1,2,0,1,1,1,0,0,4.9
1,2017-10-23,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,377,1,1,0,0,0,0,0,2,0,1,0,0,3.3
2,2017-10-26,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.3,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,710,2,8,1,5,1,2,2,2,1,0,1,0,4.2
3,2017-10-30,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.0,Location.AWAY,UTAH_JAZZ,28,1,130,0,0,0,0,1,2,0,0,0,0,0,0,0.6
4,2017-11-01,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,11,1234,4,4,1,1,2,2,1,2,0,2,0,0,12.3
5,2017-11-04,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,4,1329,2,4,0,2,0,0,1,2,2,0,0,1,2.9
6,2017-11-11,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,CLEVELAND_CAVALIERS,5,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2017-11-12,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,504,1,3,0,0,0,0,1,0,0,0,0,0,1.0
8,2017-11-14,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.2,Location.HOME,SAN_ANTONIO_SPURS,26,5,1251,2,5,0,2,1,1,0,1,0,0,1,0,2.9
9,2017-11-17,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.5999999999999996,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,1631,0,3,0,2,0,0,1,2,0,0,0,1,-2.6
10,2017-11-18,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.5,Location.HOME,MILWAUKEE_BUCKS,16,5,591,2,3,0,0,1,1,0,0,1,0,0,1,2.2
11,2017-11-20,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.8,Location.HOME,BOSTON_CELTICS,1,0,908,0,1,0,1,0,0,2,2,0,0,0,0,0.1
12,2017-11-22,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,763,3,4,0,0,0,0,0,3,0,0,0,0,5.3
13,2017-11-25,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,7,1252,3,6,1,2,0,0,2,3,0,0,0,2,3.9
14,2017-11-27,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.0,Location.AWAY,SAN_ANTONIO_SPURS,26,5,777,2,2,1,1,0,0,1,4,0,0,0,0,5.9
15,2017-11-29,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.4,Location.HOME,BROOKLYN_NETS,2,16,1357,7,11,2,4,0,0,3,4,0,0,1,1,12.1
16,2017-12-02,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.1,Location.HOME,LOS_ANGELES_CLIPPERS,12,3,1381,1,4,0,2,1,2,4,4,1,0,0,1,2.7
17,2017-12-04,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.5,Location.HOME,DENVER_NUGGETS,7,2,1146,1,1,0,0,0,0,1,4,1,0,1,0,3.4
18,2017-12-06,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.5,Location.AWAY,BOSTON_CELTICS,1,13,1711,5,8,1,2,2,3,1,4,1,1,5,1,15.1
19,2017-12-08,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.0,Location.AWAY,MILWAUKEE_BUCKS,16,7,1412,3,6,0,1,1,2,2,3,0,0,1,0,5.0
20,2017-12-10,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,16,2053,6,9,3,5,1,2,1,4,1,0,1,0,13.8
21,2017-12-12,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.8,Location.HOME,SAN_ANTONIO_SPURS,26,5,1816,2,5,1,3,0,0,1,3,0,0,0,0,3.1
22,2017-12-14,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,4,1710,1,2,0,1,2,2,1,2,2,0,0,0,4.5
23,2017-12-16,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.6,Location.AWAY,SAN_ANTONIO_SPURS,26,21,2056,9,10,3,4,0,0,0,3,0,0,3,0,20.2
24,2017-12-18,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.6,Location.HOME,PHOENIX_SUNS,23,6,1793,3,10,0,3,0,0,3,5,4,2,1,0,9.3
25,2017-12-20,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.8,Location.HOME,DETROIT_PISTONS,8,2,1147,1,4,0,1,0,0,1,3,0,0,1,1,0.5
26,2017-12-22,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,MIAMI_HEAT,15,0,480,0,1,0,1,0,0,1,0,0,0,0,0,-0.4
27,2017-12-23,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.4,Location.AWAY,ATLANTA_HAWKS,0,8,1167,3,5,0,1,2,2,2,0,0,0,1,1,6.8
28,2017-12-26,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],48.6,Location.HOME,TORONTO_RAPTORS,27,15,1500,6,9,2,4,1,1,2,6,2,2,5,0,20.0
29,2017-12-27,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.0,Location.AWAY,INDIANA_PACERS,11,5,1073,2,7,1,3,0,0,2,3,2,0,0,1,3.6
30,2017-12-29,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,NEW_ORLEANS_PELICANS,18,3,1265,1,4,0,1,1,2,0,1,0,0,0,1,-1.7
31,2017-12-31,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,7,897,3,5,0,0,1,1,3,2,0,0,0,0,6.6
32,2018-01-03,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,5,954,2,6,1,3,0,0,0,1,0,0,1,0,1.8
33,2018-01-05,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.1,Location.HOME,CHICAGO_BULLS,4,8,1371,4,7,0,1,0,0,1,2,3,0,0,0,6.9
34,2018-01-07,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.8,Location.HOME,NEW_YORK_KNICKS,19,0,1145,0,3,0,2,0,0,3,1,0,1,1,0,1.2
35,2018-01-09,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.HOME,ORLANDO_MAGIC,21,2,274,1,2,0,1,0,0,0,1,0,1,0,0,1.9
36,2018-01-10,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.AWAY,CHARLOTTE_HORNETS,3,4,735,2,7,0,2,0,0,0,1,1,2,0,2,-0.7
37,2018-01-13,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,2018-01-16,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.9,Location.AWAY,DENVER_NUGGETS,7,3,1019,1,4,0,1,1,2,0,2,1,0,2,2,-0.7
39,2018-01-20,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,10,981,4,6,2,3,0,0,1,0,3,1,0,0,10.8
40,2018-01-22,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.3,Location.HOME,WASHINGTON_WIZARDS,29,3,1032,1,4,0,2,1,2,0,4,1,0,2,0,3.1
41,2018-01-24,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.7,Location.HOME,HOUSTON_ROCKETS,10,2,523,1,2,0,1,0,0,0,1,1,0,0,0,1.2
42,2018-01-26,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,7,1558,2,6,1,2,2,2,1,4,2,2,1,0,8.8
43,2018-01-27,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],32.3,Location.AWAY,DENVER_NUGGETS,7,8,2078,2,6,2,5,2,2,2,2,3,3,2,0,12.3
44,2018-01-29,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.0,Location.HOME,MIAMI_HEAT,15,9,902,4,6,1,1,0,0,0,0,0,0,0,1,5.0
45,2018-01-31,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.7,Location.AWAY,PHOENIX_SUNS,23,2,833,1,4,0,1,0,0,5,1,1,0,2,0,5.5
46,2018-02-03,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,SACRAMENTO_KINGS,25,0,64,0,0,0,0,0,0,0,1,0,0,0,0,-0.1
47,2018-02-05,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,3,1159,1,4,1,3,0,0,1,2,1,1,0,0,3.2
48,2018-02-08,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,1203,1,6,0,3,0,0,2,3,0,0,1,1,-0.6
49,2018-02-10,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.8,Location.HOME,LOS_ANGELES_LAKERS,13,9,841,4,8,0,1,1,2,2,2,0,0,1,0,6.1
50,2018-02-11,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.600000000000001,Location.AWAY,HOUSTON_ROCKETS,10,10,1222,5,7,0,2,0,0,0,3,2,0,0,2,5.4
51,2018-02-13,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,SACRAMENTO_KINGS,25,0,136,0,0,0,0,0,0,0,1,0,0,0,0,-0.5
52,2018-02-23,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.7,Location.AWAY,LOS_ANGELES_LAKERS,13,2,862,1,4,0,1,0,0,0,1,1,0,0,0,-0.6
53,2018-02-26,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,INDIANA_PACERS,11,0,272,0,2,0,1,0,0,1,0,0,0,0,0,-1.1
54,2018-03-02,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.AWAY,CHICAGO_BULLS,4,4,272,1,1,0,0,2,2,1,1,1,0,0,1,4.0
55,2018-03-04,klebima01,Maxi Kleber,435,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,NEW_ORLEANS_PELICANS,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
