,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.7,Location.HOME,SACRAMENTO_KINGS,25,7,1549,1,8,0,3,5,6,0,1,5,0,0,2,2.8
1,2016-10-28,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.200000000000003,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,19,2127,7,18,1,6,4,4,1,5,2,1,0,5,8.4
2,2016-10-30,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,9,1538,3,12,1,3,2,2,1,0,3,2,0,3,2.4
3,2016-10-31,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,18,1885,6,13,2,4,4,4,0,0,0,0,0,2,8.5
4,2016-11-02,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,16,1932,6,17,1,4,3,3,1,3,3,0,0,1,8.0
5,2016-11-04,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,10,1386,4,10,1,3,1,1,0,1,1,1,0,2,4.2
6,2016-11-06,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.0,Location.AWAY,LOS_ANGELES_LAKERS,13,2,1048,1,8,0,2,0,0,0,0,4,0,0,1,-2.6
7,2016-11-08,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,11,1151,5,10,1,3,0,0,0,4,6,1,0,5,6.6
8,2016-11-09,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.7,Location.HOME,DETROIT_PISTONS,8,14,1014,5,9,1,2,3,3,0,1,3,0,0,3,9.1
9,2016-11-12,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.799999999999997,Location.HOME,BROOKLYN_NETS,2,6,1338,2,13,0,4,2,2,2,7,4,0,0,2,1.6
10,2016-11-13,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,1515,3,8,1,3,3,4,0,2,3,1,0,1,6.7
11,2016-11-16,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],44.8,Location.AWAY,DENVER_NUGGETS,7,32,1688,12,20,3,5,5,7,1,3,4,1,0,1,26.0
12,2016-11-18,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.5,Location.AWAY,INDIANA_PACERS,11,17,1296,6,14,3,5,2,2,0,0,5,1,0,2,10.5
13,2016-11-19,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.4,Location.AWAY,PHILADELPHIA_76ERS,22,12,1248,3,9,1,2,5,6,1,1,2,1,0,0,9.5
14,2016-11-21,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.7,Location.AWAY,WASHINGTON_WIZARDS,29,4,1692,2,7,0,2,0,0,0,6,3,0,0,4,-0.2
15,2016-11-23,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.5,Location.AWAY,ORLANDO_MAGIC,21,12,1500,5,10,2,5,0,0,0,0,3,0,0,3,5.3
16,2016-11-25,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,15,1654,5,12,1,5,4,4,1,3,1,1,0,0,11.1
17,2016-11-27,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.4,Location.HOME,DENVER_NUGGETS,7,11,1037,2,10,0,0,7,10,1,1,0,0,0,3,0.8
18,2016-11-30,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.0,Location.HOME,ATLANTA_HAWKS,0,23,1844,6,18,3,3,8,9,1,4,2,1,0,3,13.7
19,2016-12-03,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,14,1341,6,12,0,3,2,2,0,1,2,0,0,3,5.9
20,2016-12-06,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.9,Location.AWAY,UTAH_JAZZ,28,15,1627,6,18,0,2,3,5,4,3,5,0,0,1,9.8
21,2016-12-07,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.1,Location.HOME,INDIANA_PACERS,11,10,1492,3,10,2,5,2,2,1,2,3,1,0,1,7.2
22,2016-12-09,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.4,Location.AWAY,LOS_ANGELES_LAKERS,13,14,1369,5,11,1,3,3,3,1,1,4,1,0,0,12.7
23,2016-12-11,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.4,Location.HOME,NEW_ORLEANS_PELICANS,18,7,947,3,6,0,1,1,2,0,2,2,1,0,1,5.2
24,2016-12-13,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.9,Location.HOME,NEW_YORK_KNICKS,19,14,1207,4,11,2,5,4,6,0,2,3,0,0,2,7.8
25,2016-12-15,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.2,Location.HOME,SAN_ANTONIO_SPURS,26,11,1313,2,7,0,1,7,8,0,1,2,3,0,1,9.4
26,2016-12-17,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,8,1226,3,10,1,2,1,1,0,1,2,0,0,1,1.7
27,2016-12-19,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.4,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,21,1731,8,13,0,2,5,5,0,2,4,0,0,3,13.9
28,2016-12-21,knighbr03,Brandon Knight,436,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.0,Location.HOME,HOUSTON_ROCKETS,10,17,1555,5,10,2,2,5,6,1,4,2,2,1,2,14.4
