,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-11-11,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,2,180,1,2,0,1,0,0,1,1,0,0,0,0,1.6
1,2017-11-20,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2017-11-22,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,129,0,0,0,0,2,2,0,0,0,0,0,0,2.0
3,2017-11-25,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.HOME,ORLANDO_MAGIC,21,0,90,0,2,0,1,0,0,0,1,1,1,0,0,0.6
4,2017-11-27,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,CLEVELAND_CAVALIERS,5,0,278,0,2,0,2,0,0,0,0,0,0,0,0,-1.4
5,2017-12-10,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.1,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,1188,2,6,1,4,0,0,1,2,1,0,0,1,1.4
6,2018-03-22,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.AWAY,ORLANDO_MAGIC,21,3,720,1,5,1,3,0,0,0,0,1,0,0,1,-0.4
7,2018-03-24,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,3,627,1,3,1,1,0,2,0,1,0,0,1,0,0.7
8,2018-03-26,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,DENVER_NUGGETS,7,0,95,0,0,0,0,0,0,0,1,0,0,0,0,0.3
9,2018-03-30,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,ATLANTA_HAWKS,0,0,289,0,1,0,1,0,0,0,1,0,0,0,0,-0.8
10,2018-04-01,korkmfu01,Furkan Korkmaz,439,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,CHARLOTTE_HORNETS,3,3,189,1,1,1,1,0,0,0,0,0,0,0,0,2.7
