,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],7.300000000000001,Location.AWAY,PHOENIX_SUNS,23,2,803,1,6,0,0,0,1,0,4,1,0,0,1,-1.7
1,2016-10-27,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],20.9,Location.HOME,SAN_ANTONIO_SPURS,26,8,1418,4,7,0,0,0,0,2,5,3,1,0,3,6.9
2,2016-10-29,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],10.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1190,2,5,0,0,0,0,3,4,0,0,0,2,1.4
3,2016-10-31,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],26.1,Location.AWAY,ATLANTA_HAWKS,0,4,1487,2,5,0,0,0,0,1,7,3,2,2,4,4.0
4,2016-11-01,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],18.799999999999997,Location.AWAY,MIAMI_HEAT,15,6,1504,3,4,0,1,0,0,2,7,0,0,1,1,6.8
5,2016-11-03,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],14.9,Location.AWAY,ORLANDO_MAGIC,21,2,1228,1,3,0,0,0,0,1,6,1,1,0,0,3.7
6,2016-11-05,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],12.9,Location.AWAY,MILWAUKEE_BUCKS,16,4,799,2,4,0,0,0,0,4,3,1,0,0,1,4.6
7,2016-11-06,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],23.2,Location.AWAY,TORONTO_RAPTORS,27,13,1520,6,8,0,0,1,2,2,4,0,0,1,0,11.9
8,2016-11-08,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],13.4,Location.HOME,NEW_ORLEANS_PELICANS,18,6,1386,3,7,0,0,0,0,2,5,0,0,0,1,3.0
9,2016-11-10,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],11.1,Location.HOME,LOS_ANGELES_LAKERS,13,4,1169,2,2,0,0,0,0,1,2,1,0,1,1,4.3
10,2016-11-11,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],16.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,10,1125,4,7,0,0,2,4,3,3,0,0,0,1,6.7
11,2016-11-16,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],8.5,Location.HOME,SAN_ANTONIO_SPURS,26,1,904,0,4,0,0,1,2,1,4,1,0,0,0,0.0
12,2016-11-18,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,LOS_ANGELES_CLIPPERS,12,0,529,0,1,0,0,0,0,0,1,0,0,0,0,-1.2
13,2016-11-20,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],26.2,Location.HOME,TORONTO_RAPTORS,27,8,1563,3,6,0,0,2,5,0,6,0,1,3,1,7.3
14,2016-11-23,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],24.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,995,4,7,0,0,1,1,4,6,0,1,0,0,9.7
15,2016-11-25,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],18.0,Location.HOME,HOUSTON_ROCKETS,10,10,1054,5,5,0,0,0,0,2,3,0,0,1,1,9.3
16,2016-11-27,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],6.4,Location.AWAY,BROOKLYN_NETS,2,6,1575,3,5,0,0,0,0,1,1,0,0,0,2,1.5
17,2016-11-28,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],14.4,Location.AWAY,WASHINGTON_WIZARDS,29,4,1511,1,3,0,0,2,2,4,3,0,1,0,1,5.6
18,2016-12-02,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],2.5999999999999996,Location.AWAY,BOSTON_CELTICS,1,0,567,0,0,0,0,0,0,0,3,0,0,0,1,-0.1
19,2016-12-04,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],18.2,Location.AWAY,NEW_YORK_KNICKS,19,2,1145,1,7,0,0,0,0,5,6,0,0,1,0,2.7
20,2016-12-07,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],15.8,Location.AWAY,DALLAS_MAVERICKS,6,8,1026,4,4,0,0,0,0,1,3,0,1,0,0,8.6
21,2016-12-09,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],8.1,Location.HOME,NEW_YORK_KNICKS,19,4,832,2,2,0,0,0,0,0,3,1,0,0,1,2.8
22,2016-12-10,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],8.2,Location.AWAY,UTAH_JAZZ,28,4,801,2,4,0,0,0,0,1,0,0,0,1,0,3.0
23,2016-12-12,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],30.4,Location.HOME,LOS_ANGELES_LAKERS,13,10,1909,5,7,0,0,0,0,4,3,0,3,1,0,14.1
24,2016-12-14,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],24.9,Location.AWAY,HOUSTON_ROCKETS,10,10,1510,5,11,0,0,0,0,5,2,1,0,2,1,8.3
25,2016-12-16,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],42.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,16,1785,7,11,0,0,2,6,7,6,2,0,3,1,16.7
26,2016-12-18,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],19.799999999999997,Location.AWAY,DALLAS_MAVERICKS,6,6,1355,3,3,0,0,0,0,2,7,0,2,0,3,6.0
27,2016-12-20,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],1.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,812,1,2,0,0,0,0,0,0,0,0,0,1,-0.8
28,2016-12-21,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],8.3,Location.AWAY,UTAH_JAZZ,28,2,726,1,1,0,0,0,0,1,3,1,0,0,0,3.2
29,2016-12-23,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],19.8,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,12,1263,6,8,0,0,0,0,2,2,0,1,0,0,10.6
30,2016-12-26,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],17.1,Location.HOME,PHILADELPHIA_76ERS,22,6,897,3,3,0,0,0,2,0,3,1,2,0,0,5.9
31,2016-12-28,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],20.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,1405,3,3,0,0,0,0,3,7,0,0,1,1,8.6
32,2016-12-31,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],14.6,Location.HOME,MEMPHIS_GRIZZLIES,14,0,1194,0,4,0,0,0,0,2,6,0,0,2,1,0.8
33,2017-01-03,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],30.5,Location.AWAY,DENVER_NUGGETS,7,18,1728,8,9,0,0,2,3,1,4,1,2,0,1,16.9
34,2017-01-04,koufoko01,Kosta Koufos,442,[<Position.CENTER: 'CENTER'>],18.8,Location.HOME,MIAMI_HEAT,15,6,912,2,2,0,0,2,2,1,3,2,1,1,1,8.7
