,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-17,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.7,Location.AWAY,DETROIT_PISTONS,8,3,637,1,2,1,2,0,0,0,1,1,0,0,1,1.2
1,2018-10-19,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.0,Location.HOME,NEW_YORK_KNICKS,19,11,1039,3,8,1,3,4,4,2,3,0,0,0,2,6.9
2,2018-10-20,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.2,Location.AWAY,INDIANA_PACERS,11,12,896,5,9,2,5,0,0,2,4,0,0,0,2,7.9
3,2018-11-04,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.4,Location.HOME,PHILADELPHIA_76ERS,22,2,189,1,2,0,1,0,0,1,1,0,0,0,0,2.0
4,2018-11-10,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,7,497,3,4,1,1,0,0,1,1,0,0,0,0,6.4
5,2018-11-14,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.4,Location.HOME,MIAMI_HEAT,15,2,428,1,2,0,0,0,0,0,2,0,1,0,0,2.2
6,2018-11-16,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.6,Location.AWAY,WASHINGTON_WIZARDS,29,9,1247,4,8,1,2,0,0,1,2,0,0,0,0,6.3
7,2018-12-01,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.0,Location.AWAY,WASHINGTON_WIZARDS,29,8,859,2,7,0,4,4,4,1,4,0,0,0,1,2.8
8,2018-12-03,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.HOME,CLEVELAND_CAVALIERS,5,12,838,6,10,0,2,0,0,2,2,0,1,0,1,8.6
9,2018-12-07,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.6,Location.HOME,TORONTO_RAPTORS,27,6,814,3,6,0,2,0,0,1,2,0,1,0,1,3.1
10,2018-12-08,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.2,Location.AWAY,NEW_YORK_KNICKS,19,0,758,0,3,0,2,0,0,0,1,0,0,1,0,-3.1
11,2018-12-12,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.AWAY,PHILADELPHIA_76ERS,22,13,1149,4,6,1,1,4,5,0,1,0,3,0,2,10.1
12,2018-12-14,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.7,Location.HOME,WASHINGTON_WIZARDS,29,15,1789,5,6,1,1,4,4,1,5,1,0,0,0,15.3
13,2018-12-16,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.HOME,ATLANTA_HAWKS,0,11,1704,4,9,1,5,2,2,1,5,4,0,0,3,7.9
14,2018-12-18,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.2,Location.HOME,LOS_ANGELES_LAKERS,13,3,1023,1,5,1,3,0,0,0,1,0,0,1,0,-0.7
15,2018-12-19,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.8,Location.AWAY,CHICAGO_BULLS,4,8,1393,3,5,0,2,2,2,1,3,0,1,1,0,8.2
16,2018-12-21,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.6,Location.HOME,INDIANA_PACERS,11,24,2062,6,11,4,5,8,10,0,3,0,1,1,0,18.9
17,2018-12-23,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.0,Location.HOME,PHOENIX_SUNS,23,16,1979,7,15,0,1,2,2,3,7,2,0,1,2,11.8
18,2018-12-26,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.9,Location.HOME,CHARLOTTE_HORNETS,3,13,2326,6,9,1,3,0,0,2,10,3,3,1,3,14.3
19,2018-12-28,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.6,Location.AWAY,CHARLOTTE_HORNETS,3,5,1219,2,6,0,3,1,2,1,2,0,0,1,1,1.0
20,2018-12-29,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.2,Location.AWAY,MILWAUKEE_BUCKS,16,2,1322,0,5,0,3,2,2,0,1,2,0,0,3,-3.6
21,2019-01-02,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.899999999999999,Location.HOME,NEW_ORLEANS_PELICANS,18,10,1567,4,7,2,3,0,0,1,1,1,0,1,1,6.9
22,2019-01-04,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,789,2,7,0,3,1,1,0,1,0,1,0,1,0.8
23,2019-01-06,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.5,Location.AWAY,CHICAGO_BULLS,4,6,1197,2,6,2,4,0,0,0,5,1,1,0,1,4.8
24,2019-01-07,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.7,Location.AWAY,BOSTON_CELTICS,1,24,1693,8,15,5,8,3,3,0,1,1,0,0,1,15.9
25,2019-01-09,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.8,Location.HOME,ATLANTA_HAWKS,0,11,1742,5,9,1,2,0,0,2,2,2,1,1,2,7.8
26,2019-01-11,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],4.6,Location.AWAY,TORONTO_RAPTORS,27,4,1321,1,3,0,1,2,2,1,2,0,0,0,3,0.6
27,2019-01-14,kurucro01,Rodions Kurucs,443,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.3,Location.HOME,BOSTON_CELTICS,1,19,1993,7,11,2,4,3,3,3,1,1,2,0,1,17.0
