,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-19,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.3,Location.HOME,LOS_ANGELES_CLIPPERS,12,8,1122,4,8,0,2,0,2,2,2,1,2,0,0,7.1
1,2017-10-20,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.6,Location.AWAY,PHOENIX_SUNS,23,15,1704,6,7,1,2,2,3,0,3,2,0,0,0,14.4
2,2017-10-22,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.200000000000003,Location.HOME,NEW_ORLEANS_PELICANS,18,20,1826,7,13,2,6,4,4,1,5,2,1,0,2,15.1
3,2017-10-25,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.600000000000001,Location.HOME,WASHINGTON_WIZARDS,29,15,2027,6,15,1,6,2,2,0,3,0,0,0,3,4.4
4,2017-10-27,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.5,Location.HOME,TORONTO_RAPTORS,27,15,1920,7,14,1,5,0,0,2,8,1,0,0,4,7.7
5,2017-10-28,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.1,Location.AWAY,UTAH_JAZZ,28,9,1336,4,10,1,3,0,0,1,2,3,1,0,0,7.6
6,2017-10-31,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.7,Location.HOME,DETROIT_PISTONS,8,16,1199,6,8,4,4,0,0,2,4,3,0,0,0,17.1
7,2017-11-02,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,22,1714,10,17,1,5,1,2,1,2,0,0,1,2,12.5
8,2017-11-03,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.1,Location.HOME,BROOKLYN_NETS,2,21,2340,8,11,1,3,4,4,0,13,1,1,0,1,20.3
9,2017-11-05,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.9,Location.HOME,MEMPHIS_GRIZZLIES,14,13,2271,5,9,1,3,2,2,1,11,1,0,0,1,12.4
10,2017-11-08,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.7,Location.AWAY,BOSTON_CELTICS,1,10,2048,4,10,0,2,2,2,2,4,1,0,0,3,2.9
11,2017-11-09,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.299999999999997,Location.AWAY,WASHINGTON_WIZARDS,29,13,2099,4,14,0,2,5,6,5,4,1,0,0,5,3.6
12,2017-11-11,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.7,Location.AWAY,MILWAUKEE_BUCKS,16,21,2500,8,17,1,4,4,5,3,8,1,1,1,2,15.6
13,2017-11-13,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.2,Location.AWAY,PHOENIX_SUNS,23,11,2014,4,12,3,6,0,0,0,6,2,0,0,1,6.4
14,2017-11-15,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.9,Location.HOME,PHILADELPHIA_76ERS,22,24,1847,9,18,1,4,5,6,4,3,1,0,0,2,16.2
15,2017-11-17,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.5,Location.HOME,PHOENIX_SUNS,23,30,2307,11,23,2,7,6,7,2,8,1,0,0,3,19.0
16,2017-11-19,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.1,Location.HOME,DENVER_NUGGETS,7,17,1540,7,11,3,4,0,2,1,2,3,1,0,3,11.9
17,2017-11-21,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.1,Location.HOME,CHICAGO_BULLS,4,22,2395,7,15,4,7,4,7,1,2,5,0,0,2,14.3
18,2017-11-22,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.4,Location.AWAY,SACRAMENTO_KINGS,25,17,2133,7,17,3,7,0,0,0,2,0,1,0,2,5.9
19,2017-11-27,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,15,1176,5,7,3,5,2,2,1,1,3,0,0,3,11.4
20,2017-12-02,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.0,Location.AWAY,DENVER_NUGGETS,7,13,1614,5,13,1,4,2,2,2,8,2,0,0,3,6.9
21,2017-12-03,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40.4,Location.HOME,HOUSTON_ROCKETS,10,22,1657,8,16,3,7,3,5,3,9,0,1,1,2,17.3
22,2017-12-07,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,PHILADELPHIA_76ERS,22,3,1134,1,7,1,3,0,0,0,2,1,0,0,1,-1.6
23,2017-12-09,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.8,Location.AWAY,CHARLOTTE_HORNETS,3,12,1916,6,11,0,3,0,0,3,11,2,0,1,0,14.2
24,2017-12-12,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.7,Location.AWAY,NEW_YORK_KNICKS,19,19,1774,8,17,3,6,0,0,3,3,1,0,2,0,13.8
25,2017-12-14,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.9,Location.AWAY,CLEVELAND_CAVALIERS,5,20,1854,8,16,1,5,3,3,3,4,1,0,0,4,10.8
26,2017-12-18,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,25,2392,10,16,4,6,1,1,1,5,3,0,1,2,19.6
27,2017-12-20,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],55.4,Location.AWAY,HOUSTON_ROCKETS,10,38,2391,12,17,7,10,7,10,1,6,4,0,1,0,35.3
28,2017-12-22,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],51.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,27,2578,9,15,3,6,6,8,3,11,1,2,1,3,23.9
29,2017-12-23,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,18,2098,6,19,2,6,4,5,3,4,3,1,0,3,8.5
30,2017-12-25,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],47.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,31,2468,8,18,6,11,9,13,1,2,4,2,1,2,24.8
31,2017-12-27,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.1,Location.HOME,MEMPHIS_GRIZZLIES,14,9,2063,4,24,1,11,0,0,2,6,1,2,0,1,-2.9
32,2017-12-29,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.0,Location.HOME,LOS_ANGELES_CLIPPERS,12,13,2209,6,14,1,7,0,1,1,4,2,0,0,1,6.3
33,2017-12-31,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.5,Location.AWAY,HOUSTON_ROCKETS,10,23,2571,7,20,5,10,4,4,1,4,3,0,2,1,14.6
34,2018-01-01,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.699999999999999,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,6,1100,2,7,2,4,0,1,0,1,1,0,0,1,0.7
35,2018-01-03,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.1,Location.HOME,OKLAHOMA_CITY_THUNDER,20,18,1683,7,14,3,6,1,3,0,3,1,0,2,4,8.4
36,2018-01-05,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.9,Location.HOME,CHARLOTTE_HORNETS,3,4,1530,2,14,0,6,0,0,0,2,1,0,2,3,-6.5
37,2018-01-07,kuzmaky01,Kyle Kuzma,444,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.7,Location.HOME,ATLANTA_HAWKS,0,14,1467,6,12,0,3,2,3,0,6,3,0,1,3,7.6
