,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-05,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,MILWAUKEE_BUCKS,16,8,923,3,5,0,0,2,3,3,0,0,0,0,0,7.4
1,2016-12-14,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,HOUSTON_ROCKETS,10,2,393,1,2,0,0,0,0,1,0,0,0,0,0,1.7
2,2016-12-18,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.AWAY,DALLAS_MAVERICKS,6,0,131,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
3,2016-12-31,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.4000000000000004,Location.HOME,MEMPHIS_GRIZZLIES,14,2,196,1,1,0,0,0,0,0,2,0,0,0,1,1.3
4,2017-01-20,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,3,352,1,1,0,0,1,2,1,2,0,1,0,0,4.6
5,2017-01-31,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.AWAY,HOUSTON_ROCKETS,10,3,508,0,2,0,0,3,4,2,1,0,1,0,0,3.9
6,2017-02-08,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.HOME,BOSTON_CELTICS,1,2,63,0,0,0,0,2,2,0,0,0,0,0,0,2.0
7,2017-02-15,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,574,0,2,0,0,0,0,0,0,1,0,0,1,-2.1
8,2017-02-23,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.6,Location.HOME,DENVER_NUGGETS,7,12,838,5,7,0,0,2,2,2,1,2,1,0,1,11.4
9,2017-02-25,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27.1,Location.HOME,CHARLOTTE_HORNETS,3,8,1365,4,10,0,1,0,0,3,10,1,1,0,1,8.0
10,2017-02-27,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,833,2,4,0,0,0,0,2,4,0,0,1,0,4.5
11,2017-03-01,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.0,Location.HOME,BROOKLYN_NETS,2,10,914,4,5,0,0,2,2,3,2,0,1,1,2,9.3
12,2017-03-05,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,115,0,0,0,0,0,0,0,0,0,0,0,0,-0.8
13,2017-03-06,labissk01,Skal Labissière,446,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.4,Location.AWAY,DENVER_NUGGETS,7,10,1193,4,8,0,0,2,2,3,4,0,0,0,2,6.5
