,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-30,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,MILWAUKEE_BUCKS,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2019-12-18,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,DALLAS_MAVERICKS,6,0,312,0,0,0,0,0,0,0,0,1,0,0,0,0.7
2,2019-12-20,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.HOME,DETROIT_PISTONS,8,6,1075,3,5,0,1,0,0,0,0,0,2,0,1,3.9
3,2019-12-22,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.HOME,CHARLOTTE_HORNETS,3,8,1390,3,6,2,3,0,0,3,1,0,0,1,0,6.9
4,2019-12-25,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.4,Location.AWAY,TORONTO_RAPTORS,27,2,1229,1,4,0,3,0,0,1,1,0,1,0,1,0.2
5,2019-12-27,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.2,Location.HOME,CLEVELAND_CAVALIERS,5,3,911,0,1,0,0,3,4,0,1,0,0,1,0,2.9
6,2019-12-28,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,TORONTO_RAPTORS,27,0,221,0,2,0,2,0,0,0,0,0,0,0,0,-1.4
7,2019-12-31,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,CHARLOTTE_HORNETS,3,2,140,0,0,0,0,2,2,0,0,0,0,0,0,2.0
8,2020-01-03,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,ATLANTA_HAWKS,0,0,242,0,0,0,0,0,0,0,1,1,0,0,0,1.0
9,2020-01-13,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,CHICAGO_BULLS,4,2,120,0,0,0,0,2,2,0,0,0,0,0,0,2.0
10,2020-01-15,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.6,Location.HOME,DETROIT_PISTONS,8,2,697,1,2,0,0,0,0,1,2,0,0,0,0,1.9
11,2020-01-20,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.HOME,LOS_ANGELES_LAKERS,13,4,274,2,2,0,0,0,0,0,0,0,0,0,0,3.4
12,2020-01-30,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,2,209,1,2,0,1,0,0,0,0,0,0,0,1,0.0
13,2020-02-01,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.7,Location.HOME,PHILADELPHIA_76ERS,22,1,218,0,0,0,0,1,2,0,1,1,0,0,0,1.6
14,2020-02-05,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.2,Location.HOME,ORLANDO_MAGIC,21,6,1680,3,4,0,0,0,0,0,1,0,1,1,2,3.2
15,2020-02-07,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.0,Location.HOME,ATLANTA_HAWKS,0,16,1725,5,11,2,5,4,6,1,4,0,1,3,0,13.3
16,2020-02-09,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,330,0,0,0,0,0,0,0,0,0,0,0,0,-1.2
17,2020-02-11,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,HOUSTON_ROCKETS,10,0,259,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
18,2020-02-21,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,1141,0,3,0,1,2,3,0,1,0,0,0,0,-1.8
19,2020-02-23,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.AWAY,LOS_ANGELES_LAKERS,13,5,924,2,5,1,2,0,2,0,0,0,0,0,0,0.7
20,2020-02-25,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,786,0,3,0,2,0,0,1,0,1,1,0,2,-1.7
21,2020-02-29,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.4,Location.HOME,HOUSTON_ROCKETS,10,0,666,0,1,0,0,0,0,1,1,0,0,0,0,-0.5
22,2020-03-03,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.5,Location.HOME,BROOKLYN_NETS,2,2,429,1,2,0,1,0,0,0,0,1,1,0,0,2.7
23,2020-03-04,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.3,Location.AWAY,CLEVELAND_CAVALIERS,5,0,807,0,3,0,1,0,0,3,1,1,0,0,0,0.2
24,2020-03-06,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,308,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
25,2020-03-08,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,1191,2,3,0,0,2,2,2,3,0,1,0,2,5.6
26,2020-03-10,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,INDIANA_PACERS,11,0,586,0,4,0,1,0,0,1,0,0,0,0,0,-2.5
27,2020-08-04,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,MIAMI_HEAT,15,0,224,0,0,0,0,0,0,0,1,0,0,0,0,0.3
28,2020-08-05,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.6,Location.HOME,BROOKLYN_NETS,2,4,1547,1,3,0,1,2,2,1,2,2,0,2,0,6.0
29,2020-08-07,langfro01,Romeo Langford,448,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.7000000000000002,Location.AWAY,TORONTO_RAPTORS,27,0,569,0,4,0,2,0,0,0,1,1,0,0,1,-3.2
