,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,221,0,0,0,0,0,0,0,0,2,0,0,1,0.0
1,2016-10-29,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],16.8,Location.HOME,NEW_ORLEANS_PELICANS,18,7,1315,2,5,0,3,3,3,0,4,4,0,0,1,6.5
2,2016-10-30,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,MIAMI_HEAT,15,0,51,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
3,2016-11-01,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,2016-11-04,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],1.7000000000000002,Location.AWAY,UTAH_JAZZ,28,2,1102,0,6,0,4,2,2,0,1,1,0,0,3,-5.4
5,2016-11-05,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],18.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,11,1316,4,5,3,4,0,0,1,1,5,0,0,2,11.2
6,2016-11-09,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],7.0,Location.HOME,HOUSTON_ROCKETS,10,5,860,2,5,1,2,0,0,0,0,0,1,0,1,2.3
7,2016-11-18,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,2016-11-26,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,2016-11-30,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],7.199999999999999,Location.AWAY,DALLAS_MAVERICKS,6,7,1129,3,6,1,3,0,0,0,1,0,0,0,1,2.5
10,2016-12-02,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],16.7,Location.HOME,WASHINGTON_WIZARDS,29,7,1214,2,5,1,3,2,2,0,1,3,2,0,2,5.5
11,2016-12-05,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],9.5,Location.AWAY,MILWAUKEE_BUCKS,16,3,524,1,3,1,2,0,0,0,0,5,0,0,1,3.0
12,2016-12-06,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],10.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,10,1265,4,5,2,3,0,0,0,0,2,0,0,3,4.9
13,2016-12-10,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],11.0,Location.HOME,BROOKLYN_NETS,2,3,720,1,4,1,2,0,0,0,0,4,0,1,1,3.1
14,2016-12-14,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,BOSTON_CELTICS,1,0,26,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
15,2016-12-15,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],5.5,Location.AWAY,PHOENIX_SUNS,23,4,170,1,1,0,0,2,2,0,0,1,0,0,0,4.4
16,2016-12-18,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],1.7000000000000002,Location.HOME,NEW_ORLEANS_PELICANS,18,0,262,0,1,0,0,0,0,0,1,1,0,0,1,-0.7
17,2016-12-23,laproni01,Nicolás Laprovíttola,449,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,0,138,0,1,0,1,0,0,0,0,0,1,0,1,-0.7
