,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.6,Location.AWAY,CLEVELAND_CAVALIERS,5,0,1177,0,5,0,2,0,0,1,2,0,0,1,2,-3.9
1,2016-10-29,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.1,Location.HOME,MEMPHIS_GRIZZLIES,14,16,2017,6,11,2,4,2,2,0,3,1,1,0,0,12.9
2,2016-11-01,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.4,Location.AWAY,DETROIT_PISTONS,8,7,1730,3,7,1,3,0,0,0,2,2,0,0,2,2.5
3,2016-11-02,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.5,Location.HOME,HOUSTON_ROCKETS,10,16,1675,7,12,2,4,0,0,0,0,1,2,1,1,11.6
4,2016-11-04,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.4,Location.AWAY,CHICAGO_BULLS,4,17,2435,8,10,1,1,0,0,0,2,4,0,0,0,15.4
5,2016-11-06,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.2,Location.HOME,UTAH_JAZZ,28,10,2187,3,8,2,2,2,2,1,5,0,3,0,2,7.6
6,2016-11-09,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.1,Location.HOME,BROOKLYN_NETS,2,13,1862,5,10,0,3,3,4,0,3,1,0,0,0,9.2
7,2016-11-11,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,BOSTON_CELTICS,1,1,1308,0,4,0,1,1,1,1,0,1,0,1,1,-1.9
8,2016-11-12,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.5,Location.AWAY,TORONTO_RAPTORS,27,10,2026,4,7,2,3,0,0,0,5,1,0,1,3,5.0
9,2016-11-14,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.4,Location.HOME,DALLAS_MAVERICKS,6,7,1925,3,7,1,3,0,0,0,2,2,1,0,1,4.9
10,2016-11-16,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.3,Location.HOME,DETROIT_PISTONS,8,5,1714,2,12,1,3,0,0,2,2,3,3,0,0,4.1
11,2016-11-17,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.6,Location.AWAY,WASHINGTON_WIZARDS,29,4,1391,2,9,0,1,0,0,0,3,0,0,0,0,-1.0
12,2016-11-20,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.5,Location.HOME,ATLANTA_HAWKS,0,14,2287,6,13,2,3,0,0,1,4,5,2,0,2,11.5
13,2016-11-22,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.3,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,1592,2,8,0,4,1,1,1,3,3,1,1,1,4.2
14,2016-11-25,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.4,Location.HOME,CHARLOTTE_HORNETS,3,12,2260,4,10,2,4,2,2,1,1,2,2,0,1,9.2
15,2016-11-26,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.9,Location.AWAY,CHARLOTTE_HORNETS,3,14,1822,5,9,4,7,0,0,0,2,3,0,0,0,10.8
16,2016-11-28,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,13,2181,5,10,3,5,0,0,0,2,1,2,0,0,10.5
17,2016-11-30,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,7,473,3,3,1,1,0,0,0,1,3,0,0,0,8.1
18,2016-12-06,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,MIAMI_HEAT,15,9,1784,4,7,1,1,0,0,1,6,1,0,0,2,6.5
19,2016-12-07,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.9,Location.HOME,CLEVELAND_CAVALIERS,5,15,1884,5,10,3,7,2,2,1,1,5,2,0,1,14.7
20,2016-12-09,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.3,Location.AWAY,SACRAMENTO_KINGS,25,8,1980,3,7,2,3,0,1,1,3,1,0,0,0,5.4
21,2016-12-11,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.5,Location.AWAY,LOS_ANGELES_LAKERS,13,16,2089,4,6,3,4,5,5,0,0,1,1,0,0,14.3
22,2016-12-13,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.4,Location.AWAY,PHOENIX_SUNS,23,14,1745,6,8,2,3,0,0,1,1,2,2,0,0,14.0
23,2016-12-15,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,9,1953,4,11,0,3,1,2,0,4,3,0,1,0,6.1
24,2016-12-17,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.7,Location.AWAY,DENVER_NUGGETS,7,10,2146,4,11,2,3,0,0,1,0,1,0,0,0,2.9
25,2016-12-20,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.3,Location.HOME,INDIANA_PACERS,11,7,2199,2,7,1,3,2,2,1,3,1,1,0,1,4.8
26,2016-12-22,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25.1,Location.HOME,ORLANDO_MAGIC,21,10,1720,4,7,2,3,0,0,1,2,3,2,1,2,10.4
27,2016-12-25,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.6,Location.HOME,BOSTON_CELTICS,1,11,2060,4,9,2,6,1,2,1,2,0,0,2,0,7.4
28,2017-01-02,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.6,Location.HOME,ORLANDO_MAGIC,21,14,2030,6,11,1,4,1,1,1,2,0,1,0,2,8.2
29,2017-01-04,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.9,Location.HOME,MILWAUKEE_BUCKS,16,11,2276,4,9,3,5,0,0,1,1,3,1,1,0,10.7
30,2017-01-06,leeco01,Courtney Lee,458,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.9,Location.AWAY,MILWAUKEE_BUCKS,16,11,2090,3,5,2,3,3,4,1,1,3,1,1,1,12.1
