,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-03-13,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,13,1034,4,8,2,4,3,4,0,4,2,1,0,1,10.8
1,2018-03-15,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.9,Location.HOME,CHARLOTTE_HORNETS,3,14,1581,5,8,3,5,1,2,0,2,1,1,0,0,12.3
2,2018-03-17,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.9,Location.AWAY,MILWAUKEE_BUCKS,16,7,1254,2,8,1,4,2,2,1,1,1,1,0,1,2.3
3,2018-03-20,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.7,Location.AWAY,UTAH_JAZZ,28,5,1895,2,6,0,2,1,2,0,6,1,0,0,0,3.7
4,2018-03-22,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.4,Location.AWAY,SACRAMENTO_KINGS,25,13,1349,4,8,0,1,5,5,2,0,4,3,0,2,13.8
5,2018-03-23,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.1,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,1854,4,10,2,6,0,0,0,8,1,1,0,1,7.3
6,2018-03-25,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.5,Location.AWAY,HOUSTON_ROCKETS,10,4,1510,2,9,0,5,0,0,0,5,1,1,0,1,-0.5
7,2018-03-28,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,8,1822,3,6,0,2,2,2,0,4,5,3,1,0,12.6
8,2018-03-30,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.3,Location.HOME,PHILADELPHIA_76ERS,22,20,1935,8,17,2,6,2,4,0,4,1,2,0,0,14.4
9,2018-04-01,leeda03,Damion Lee,460,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.8,Location.HOME,ORLANDO_MAGIC,21,4,1383,2,7,0,2,0,0,1,3,2,0,0,2,0.9
