,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-02-23,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,MIAMI_HEAT,15,0,243,0,3,0,0,0,0,0,0,1,0,0,0,-1.4
1,2018-02-26,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],1.0,Location.HOME,PHOENIX_SUNS,23,2,289,1,1,0,0,0,0,0,0,0,0,0,1,0.3
2,2018-02-28,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,SAN_ANTONIO_SPURS,26,2,319,1,2,0,0,0,0,0,0,0,0,0,0,0.6
3,2018-03-04,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],6.699999999999999,Location.AWAY,DALLAS_MAVERICKS,6,6,535,2,4,1,1,1,2,0,1,1,0,0,2,2.2
4,2018-03-09,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],14.7,Location.HOME,WASHINGTON_WIZARDS,29,7,720,3,6,0,0,1,1,0,1,3,0,1,1,5.3
5,2019-03-30,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],46.8,Location.HOME,TORONTO_RAPTORS,27,19,1862,8,15,0,1,3,5,0,4,6,4,1,1,18.8
6,2019-04-01,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],24.9,Location.AWAY,NEW_YORK_KNICKS,19,6,1840,3,12,0,0,0,1,1,1,5,3,0,0,5.1
7,2019-04-03,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],41.6,Location.AWAY,WASHINGTON_WIZARDS,29,24,1736,11,16,0,0,2,2,0,3,8,2,0,4,20.9
8,2019-04-06,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],29.1,Location.HOME,PHILADELPHIA_76ERS,22,8,1801,4,16,0,2,0,0,0,8,5,2,0,2,3.5
9,2019-04-09,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],15.8,Location.HOME,NEW_YORK_KNICKS,19,9,1093,3,9,0,0,3,3,1,3,2,0,0,1,4.7
10,2019-04-10,lemonwa01,Walt Lemon,461,[<Position.POINT_GUARD: 'POINT GUARD'>],31.200000000000003,Location.AWAY,PHILADELPHIA_76ERS,22,20,1697,9,19,2,2,0,0,2,4,4,0,0,2,12.9
