,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],58.5,Location.AWAY,GOLDEN_STATE_WARRIORS,9,35,1923,10,21,0,3,15,15,3,2,3,5,0,2,31.7
1,2016-10-27,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],55.1,Location.AWAY,SACRAMENTO_KINGS,25,30,2095,11,21,1,5,7,7,0,3,5,5,0,1,26.1
2,2016-10-29,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.3,Location.HOME,NEW_ORLEANS_PELICANS,18,20,1680,6,12,2,4,6,6,0,4,3,2,0,0,18.9
3,2016-10-30,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.4,Location.AWAY,MIAMI_HEAT,15,27,1789,8,16,1,3,10,12,0,2,6,1,1,4,19.5
4,2016-11-01,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],45.4,Location.HOME,UTAH_JAZZ,28,30,2147,10,18,5,7,5,5,0,7,2,2,0,2,24.5
5,2016-11-04,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],53.2,Location.AWAY,UTAH_JAZZ,28,29,1890,9,18,1,5,10,10,4,7,4,1,1,1,27.6
6,2016-11-05,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.7,Location.HOME,LOS_ANGELES_CLIPPERS,12,14,1675,3,13,0,3,8,8,1,5,1,1,1,2,8.3
7,2016-11-09,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],50.9,Location.HOME,HOUSTON_ROCKETS,10,34,2339,11,26,4,6,8,8,2,5,1,1,2,2,23.8
8,2016-11-11,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.3,Location.HOME,DETROIT_PISTONS,8,17,2232,5,18,4,5,3,3,0,4,1,4,0,2,9.9
9,2016-11-12,leonaka01,Kawhi Leonard,463,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.4,Location.AWAY,HOUSTON_ROCKETS,10,20,2258,9,16,0,5,2,2,0,2,0,4,0,2,13.8
