,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-12-07,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.8,Location.HOME,DENVER_NUGGETS,7,0,547,0,3,0,1,0,0,1,3,0,3,0,0,2.5
1,2016-12-10,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.199999999999999,Location.AWAY,SAN_ANTONIO_SPURS,26,2,917,1,5,0,3,0,0,0,1,2,1,0,2,-0.8
2,2016-12-12,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.AWAY,HOUSTON_ROCKETS,10,7,876,2,5,2,4,1,2,1,1,0,0,0,0,4.5
3,2016-12-14,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.8,Location.HOME,LOS_ANGELES_LAKERS,13,3,634,1,3,0,2,1,2,0,4,2,1,0,0,4.5
4,2016-12-16,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.8,Location.AWAY,ORLANDO_MAGIC,21,5,652,2,3,1,2,0,0,0,4,2,1,0,0,6.9
5,2016-12-18,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.7,Location.AWAY,PHILADELPHIA_76ERS,22,2,688,1,3,0,1,0,0,0,1,1,0,0,1,0.3
6,2016-12-20,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.2,Location.AWAY,TORONTO_RAPTORS,27,3,1120,1,6,1,3,0,0,0,1,0,1,0,2,-1.9
7,2016-12-22,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,5,776,2,6,0,1,1,2,0,1,4,0,0,0,4.3
8,2016-12-23,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.4,Location.AWAY,CLEVELAND_CAVALIERS,5,9,1425,2,7,2,5,3,4,1,6,2,1,1,1,8.7
9,2016-12-26,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.7,Location.HOME,CHARLOTTE_HORNETS,3,5,880,2,3,1,2,0,0,0,1,1,0,0,1,2.9
10,2016-12-28,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.9,Location.AWAY,CHICAGO_BULLS,4,3,1217,1,4,1,4,0,0,0,2,1,1,1,0,3.2
11,2016-12-30,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.1,Location.AWAY,WASHINGTON_WIZARDS,29,12,1451,4,5,2,3,2,2,0,3,1,2,0,0,12.5
12,2017-01-02,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,842,0,2,0,2,0,0,0,0,0,0,0,0,-2.2
13,2017-01-05,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.9,Location.AWAY,INDIANA_PACERS,11,6,1274,2,3,2,3,0,0,1,1,1,1,0,0,7.0
14,2017-01-06,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.3,Location.HOME,CLEVELAND_CAVALIERS,5,19,1643,7,12,2,7,3,3,0,4,5,0,0,1,15.9
15,2017-01-08,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.6,Location.HOME,PHILADELPHIA_76ERS,22,6,1266,3,5,0,1,0,1,0,3,2,0,0,2,2.8
16,2017-01-10,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.600000000000001,Location.HOME,ATLANTA_HAWKS,0,11,1382,4,9,1,4,2,3,1,2,2,0,0,2,6.2
17,2017-01-12,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.1,Location.HOME,NEW_ORLEANS_PELICANS,18,10,1528,4,8,1,5,1,2,0,3,1,2,0,0,8.4
18,2017-01-13,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.2,Location.AWAY,TORONTO_RAPTORS,27,3,1110,1,5,1,5,0,0,0,1,0,0,0,2,-2.2
19,2017-01-15,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.4,Location.HOME,HOUSTON_ROCKETS,10,8,1348,2,8,2,6,2,2,0,2,2,1,0,0,6.2
20,2017-01-17,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.6,Location.HOME,TORONTO_RAPTORS,27,14,1396,6,8,2,3,0,0,0,3,4,2,0,1,14.3
21,2017-01-20,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,17,1497,6,6,3,3,2,2,1,4,6,1,1,3,18.8
22,2017-01-21,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.2,Location.AWAY,CHARLOTTE_HORNETS,3,9,1105,2,4,0,2,5,6,0,1,4,2,0,1,10.7
23,2017-01-25,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.2,Location.HOME,MIAMI_HEAT,15,12,1563,4,8,1,5,3,4,0,1,4,0,0,1,9.3
24,2017-01-28,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,11,1645,4,8,1,2,2,3,0,4,1,2,1,1,9.0
25,2017-01-30,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.2,Location.AWAY,MIAMI_HEAT,15,4,1606,2,8,0,2,0,0,3,3,2,2,0,4,1.6
26,2017-02-01,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.8,Location.HOME,NEW_YORK_KNICKS,19,10,1594,4,9,2,4,0,0,0,4,2,2,0,3,6.5
27,2017-02-03,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.5,Location.HOME,INDIANA_PACERS,11,4,1782,1,9,0,4,2,2,0,5,1,1,0,1,-0.5
28,2017-02-08,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.0,Location.HOME,WASHINGTON_WIZARDS,29,9,1570,2,6,1,3,4,6,1,4,0,2,1,1,8.0
29,2017-02-10,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.1,Location.HOME,MIAMI_HEAT,15,9,1114,4,7,1,1,0,1,1,2,1,0,0,2,3.7
30,2017-02-13,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.HOME,MEMPHIS_GRIZZLIES,14,2,1286,1,6,0,4,0,0,0,2,2,0,0,1,-2.0
31,2017-02-15,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.HOME,MILWAUKEE_BUCKS,16,2,806,0,3,0,2,2,2,0,2,4,1,0,2,1.1
32,2017-02-24,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.9,Location.AWAY,DENVER_NUGGETS,7,10,1583,4,9,1,5,1,2,0,2,1,1,0,0,7.2
33,2017-03-01,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.4,Location.AWAY,SACRAMENTO_KINGS,25,13,1479,6,9,1,1,0,0,3,4,2,3,0,2,14.4
34,2017-03-03,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.AWAY,UTAH_JAZZ,28,4,1203,2,6,0,4,0,0,0,2,2,1,0,1,2.2
35,2017-03-04,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,1457,3,7,0,2,1,2,0,2,6,2,0,1,7.9
36,2017-03-06,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,14,1500,5,6,2,3,2,5,1,2,1,0,0,2,9.8
37,2017-03-08,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.6,Location.AWAY,ATLANTA_HAWKS,0,7,1422,3,6,1,4,0,0,0,3,2,1,0,0,6.9
38,2017-03-10,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.6,Location.AWAY,DALLAS_MAVERICKS,6,2,1311,1,5,0,2,0,0,1,2,2,0,0,0,1.2
39,2017-03-12,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.8,Location.HOME,NEW_YORK_KNICKS,19,13,1578,4,4,2,2,3,4,0,4,4,2,0,0,16.6
40,2017-03-14,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,16,1384,4,6,1,2,7,8,1,6,2,2,1,2,16.8
41,2017-03-16,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.4,Location.AWAY,NEW_YORK_KNICKS,19,13,1520,5,9,1,3,2,2,1,6,0,0,0,1,9.4
42,2017-03-17,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.8,Location.HOME,BOSTON_CELTICS,1,5,1496,1,6,1,4,2,2,1,3,2,1,0,0,4.4
43,2017-03-19,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.5,Location.HOME,DALLAS_MAVERICKS,6,5,1523,2,6,1,3,0,0,0,5,1,0,0,1,2.0
44,2017-03-21,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.7,Location.HOME,DETROIT_PISTONS,8,15,1519,5,8,3,4,2,2,0,1,1,1,0,0,13.0
45,2017-03-23,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.100000000000001,Location.HOME,PHOENIX_SUNS,23,8,1229,3,6,1,3,1,3,1,2,3,0,0,2,4.8
46,2017-03-24,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.4,Location.AWAY,WASHINGTON_WIZARDS,29,4,1092,2,4,0,1,0,0,1,1,2,1,0,1,3.2
47,2017-03-26,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.5,Location.AWAY,ATLANTA_HAWKS,0,8,1550,4,9,0,2,0,0,2,3,1,0,0,2,3.9
48,2017-03-28,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.0,Location.HOME,PHILADELPHIA_76ERS,22,9,1580,3,9,2,6,1,2,0,5,0,0,0,2,2.2
49,2017-03-30,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.4,Location.AWAY,DETROIT_PISTONS,8,7,1474,3,9,1,1,0,0,0,7,4,1,0,0,7.0
50,2017-04-01,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.6,Location.HOME,ORLANDO_MAGIC,21,9,1221,4,8,1,4,0,0,0,3,0,0,0,0,5.5
51,2017-04-02,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.9,Location.HOME,ATLANTA_HAWKS,0,9,1093,3,8,1,4,2,2,0,2,1,0,0,0,3.5
52,2017-04-04,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.3,Location.AWAY,PHILADELPHIA_76ERS,22,7,1166,3,5,1,3,0,0,0,4,7,1,1,2,10.1
53,2017-04-06,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.3,Location.AWAY,ORLANDO_MAGIC,21,20,1609,7,12,2,4,4,4,0,4,1,0,0,0,15.9
54,2017-04-08,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.5,Location.HOME,CHICAGO_BULLS,4,19,1526,7,11,4,7,1,4,0,5,1,1,0,2,12.9
55,2017-04-10,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.6,Location.AWAY,BOSTON_CELTICS,1,12,1663,4,12,2,6,2,2,0,3,2,0,1,1,6.4
56,2017-04-12,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.0,Location.AWAY,CHICAGO_BULLS,4,10,1495,5,13,0,5,0,0,0,5,2,1,0,2,4.4
57,2017-10-18,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.4,Location.AWAY,INDIANA_PACERS,11,12,1665,5,15,1,4,1,1,0,2,4,2,1,1,7.4
58,2017-10-20,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.2,Location.HOME,ORLANDO_MAGIC,21,9,1638,4,11,0,4,1,3,0,1,2,2,1,3,2.7
59,2017-10-22,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.2,Location.HOME,ATLANTA_HAWKS,0,16,1803,5,9,0,2,6,9,0,6,4,3,0,4,12.1
60,2017-10-24,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.1,Location.AWAY,ORLANDO_MAGIC,21,15,1757,4,11,2,6,5,5,2,6,5,0,0,2,12.4
61,2017-10-25,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.2,Location.HOME,CLEVELAND_CAVALIERS,5,10,1795,5,14,0,5,0,0,0,1,4,1,0,3,1.7
62,2017-10-27,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.600000000000001,Location.AWAY,NEW_YORK_KNICKS,19,7,1559,2,8,2,5,1,4,0,3,2,1,0,4,-0.9
63,2017-10-29,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.7,Location.HOME,DENVER_NUGGETS,7,8,1468,3,12,2,5,0,0,1,5,3,0,1,0,5.4
64,2017-10-31,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.9,Location.HOME,PHOENIX_SUNS,23,11,1676,4,9,1,5,2,3,1,1,3,0,1,1,8.7
65,2017-11-03,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.8,Location.AWAY,LOS_ANGELES_LAKERS,13,7,1797,2,10,1,5,2,2,0,4,2,1,1,1,2.9
66,2017-11-06,leverca01,Caris LeVert,466,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.8,Location.AWAY,PHOENIX_SUNS,23,4,1376,2,8,0,2,0,0,1,3,0,5,0,3,1.2
