,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.1,Location.HOME,NEW_YORK_KNICKS,19,4,720,2,3,0,0,0,0,0,3,3,0,1,1,5.0
1,2016-10-28,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,TORONTO_RAPTORS,27,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2016-11-01,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,HOUSTON_ROCKETS,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2016-11-03,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
4,2016-11-16,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.9,Location.AWAY,INDIANA_PACERS,11,4,1620,1,2,0,0,2,2,1,1,1,2,0,1,4.9
5,2016-11-18,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.8,Location.HOME,DETROIT_PISTONS,8,4,720,1,3,0,0,2,2,1,3,2,0,0,2,2.1
6,2016-11-23,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,241,1,2,0,0,0,1,0,1,0,0,0,1,-0.1
7,2016-11-25,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.1,Location.HOME,DALLAS_MAVERICKS,6,3,763,1,3,0,0,1,1,1,2,1,1,0,0,3.5
8,2016-11-27,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,PHILADELPHIA_76ERS,22,0,435,0,0,0,0,0,0,0,0,0,1,0,1,-0.4
9,2016-11-29,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,MILWAUKEE_BUCKS,16,3,293,1,2,0,0,1,1,0,0,0,0,0,1,1.0
10,2016-12-05,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.5,Location.AWAY,TORONTO_RAPTORS,27,5,1266,1,2,1,1,2,4,2,3,1,0,0,1,4.0
11,2016-12-07,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.4,Location.AWAY,NEW_YORK_KNICKS,19,6,1240,2,2,2,2,0,0,1,1,2,1,0,0,7.6
12,2016-12-09,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.4,Location.HOME,MIAMI_HEAT,15,5,1542,2,3,0,0,1,2,0,2,2,1,3,0,8.0
13,2016-12-10,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,CHARLOTTE_HORNETS,3,0,900,0,1,0,0,0,0,0,0,1,0,1,3,-3.1
14,2016-12-13,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.0,Location.HOME,MEMPHIS_GRIZZLIES,14,3,1939,1,7,1,3,0,2,1,4,4,2,1,1,3.3
15,2016-12-14,liggide01,DeAndre Liggins,467,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,10,1484,3,9,1,2,3,3,1,2,1,2,0,2,5.7
