,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],54.8,Location.HOME,UTAH_JAZZ,28,39,2125,13,20,4,6,9,9,1,8,6,0,0,4,32.3
1,2016-10-27,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],41.5,Location.HOME,LOS_ANGELES_CLIPPERS,12,29,2171,11,24,2,5,5,7,1,9,3,0,0,4,14.9
2,2016-10-29,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],57.5,Location.AWAY,DENVER_NUGGETS,7,37,2482,15,28,2,8,5,5,1,4,7,2,1,5,27.1
3,2016-11-01,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],37.2,Location.HOME,GOLDEN_STATE_WARRIORS,9,31,1894,8,19,4,10,11,13,0,1,2,1,0,1,20.6
4,2016-11-02,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],41.5,Location.AWAY,PHOENIX_SUNS,23,27,2395,9,22,1,8,8,10,0,5,5,1,0,2,16.4
5,2016-11-04,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],51.8,Location.AWAY,DALLAS_MAVERICKS,6,42,2219,12,18,5,6,13,14,0,4,4,0,0,1,35.2
6,2016-11-06,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],37.9,Location.AWAY,MEMPHIS_GRIZZLIES,14,19,1974,3,11,2,8,11,11,1,6,7,1,0,3,16.7
7,2016-11-08,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],44.5,Location.HOME,PHOENIX_SUNS,23,38,2226,12,23,3,8,11,12,2,3,3,0,0,4,25.1
8,2016-11-09,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],7.699999999999999,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,1667,1,10,0,4,6,6,0,1,1,0,0,3,-1.8
9,2016-11-11,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],42.7,Location.HOME,SACRAMENTO_KINGS,25,36,2545,12,19,5,10,7,9,0,1,7,0,0,5,26.5
10,2016-11-13,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],61.6,Location.HOME,DENVER_NUGGETS,7,32,1989,7,18,3,7,15,15,2,6,6,4,0,1,32.6
11,2016-11-15,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],31.0,Location.HOME,CHICAGO_BULLS,4,19,2306,7,22,1,5,4,4,1,4,4,1,0,3,8.7
12,2016-11-17,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],31.5,Location.AWAY,HOUSTON_ROCKETS,10,18,2030,7,17,1,5,3,5,1,4,5,0,1,3,10.8
13,2016-11-18,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],33.6,Location.AWAY,NEW_ORLEANS_PELICANS,18,27,2141,8,24,4,11,7,7,2,1,2,1,0,3,13.3
14,2016-11-20,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],34.3,Location.AWAY,BROOKLYN_NETS,2,18,1684,8,14,0,5,2,4,0,4,5,1,1,2,14.6
15,2016-11-22,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],38.0,Location.AWAY,NEW_YORK_KNICKS,19,22,2121,8,18,2,6,4,4,0,5,6,2,0,5,14.9
16,2016-11-23,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],62.900000000000006,Location.AWAY,CLEVELAND_CAVALIERS,5,40,2253,13,21,5,7,9,9,0,7,11,0,0,2,36.7
17,2016-11-25,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],50.3,Location.HOME,NEW_ORLEANS_PELICANS,18,27,2155,9,19,3,7,6,7,0,4,11,0,1,1,24.7
18,2016-11-27,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],36.5,Location.HOME,HOUSTON_ROCKETS,10,27,2278,7,20,2,8,11,13,1,4,5,1,0,7,13.6
19,2016-11-30,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],60.0,Location.HOME,INDIANA_PACERS,11,28,2097,11,18,1,6,5,7,0,5,10,4,0,1,29.3
20,2016-12-03,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],33.8,Location.HOME,MIAMI_HEAT,15,19,2114,6,19,2,6,5,6,0,4,6,1,0,2,10.9
21,2016-12-05,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],59.1,Location.AWAY,CHICAGO_BULLS,4,30,2066,11,24,3,6,5,5,0,3,7,2,3,0,26.7
22,2016-12-07,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],45.4,Location.AWAY,MILWAUKEE_BUCKS,16,30,2344,8,18,5,13,9,9,0,7,6,0,0,2,24.5
23,2016-12-08,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],27.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,19,2170,6,18,2,7,5,7,1,2,2,1,0,1,8.7
24,2016-12-10,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],48.1,Location.AWAY,INDIANA_PACERS,11,33,2205,10,24,5,14,8,9,1,2,9,0,0,2,23.8
25,2016-12-12,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],46.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,24,2241,7,17,4,7,6,6,0,5,8,1,1,2,20.9
26,2016-12-13,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],32.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,17,1802,7,13,1,5,2,2,2,0,9,1,0,3,16.0
27,2016-12-15,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],53.6,Location.AWAY,DENVER_NUGGETS,7,40,2273,13,22,4,8,10,11,0,3,10,0,0,5,31.5
28,2016-12-17,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],24.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,20,1807,8,15,1,3,3,3,0,2,1,1,0,2,12.6
29,2016-12-20,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],52.8,Location.AWAY,SACRAMENTO_KINGS,25,24,2310,6,20,1,10,11,12,0,4,16,0,0,0,24.0
30,2016-12-21,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],35.6,Location.HOME,DALLAS_MAVERICKS,6,29,2347,10,23,3,9,6,6,0,3,4,1,0,6,15.6
31,2016-12-23,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],38.0,Location.HOME,SAN_ANTONIO_SPURS,26,16,2249,7,19,1,5,1,2,0,5,10,1,0,2,11.4
32,2017-01-05,lillada01,Damian Lillard,468,[<Position.POINT_GUARD: 'POINT GUARD'>],40.0,Location.HOME,LOS_ANGELES_LAKERS,13,21,2156,7,14,4,10,3,4,0,5,10,0,0,2,18.9
