,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-25,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,123,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
1,2019-11-08,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.6,Location.HOME,BROOKLYN_NETS,2,8,1124,3,5,0,0,2,2,1,2,0,1,1,0,7.1
2,2019-11-10,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.4,Location.HOME,ATLANTA_HAWKS,0,0,396,0,3,0,1,0,0,0,2,0,0,0,0,-1.5
3,2019-11-12,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,350,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
4,2019-11-13,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.0,Location.HOME,TORONTO_RAPTORS,27,7,1364,3,10,1,5,0,0,2,3,0,1,1,1,2.6
5,2019-11-16,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.100000000000001,Location.AWAY,SAN_ANTONIO_SPURS,26,5,1910,2,8,1,5,0,0,2,6,1,0,0,1,1.5
6,2019-11-18,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23.4,Location.AWAY,HOUSTON_ROCKETS,10,11,1752,4,10,0,4,3,6,2,5,2,1,0,2,5.3
7,2019-11-19,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],31.700000000000003,Location.AWAY,NEW_ORLEANS_PELICANS,18,12,1352,5,6,2,2,0,2,4,7,1,1,1,1,13.7
8,2019-11-21,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.2,Location.AWAY,MILWAUKEE_BUCKS,16,12,997,3,5,1,2,5,6,1,0,0,0,0,0,9.6
9,2019-11-23,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.2,Location.AWAY,CLEVELAND_CAVALIERS,5,0,768,0,2,0,1,0,0,2,4,0,1,1,0,2.5
10,2019-11-25,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.7,Location.AWAY,CHICAGO_BULLS,4,3,1028,1,2,0,1,1,2,2,4,1,0,0,1,3.9
11,2019-11-27,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,613,1,2,0,1,0,0,0,0,1,0,0,0,1.3
12,2019-11-29,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.9,Location.HOME,CHICAGO_BULLS,4,2,655,1,2,0,1,0,0,0,2,1,0,0,1,0.9
13,2019-12-03,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,967,0,3,0,2,0,0,0,3,0,1,0,1,-2.4
14,2019-12-04,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.199999999999999,Location.HOME,SACRAMENTO_KINGS,25,4,725,2,3,0,1,0,0,0,1,0,1,0,1,3.0
15,2019-12-06,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.5,Location.HOME,LOS_ANGELES_LAKERS,13,2,655,1,2,0,1,0,0,0,0,1,0,2,0,2.7
16,2019-12-08,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.0,Location.HOME,OKLAHOMA_CITY_THUNDER,20,8,734,3,7,0,2,2,2,3,2,0,0,1,0,6.5
17,2019-12-10,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.4,Location.HOME,NEW_YORK_KNICKS,19,6,686,2,5,0,1,2,2,1,1,4,1,0,0,7.7
18,2019-12-21,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,593,1,1,0,0,0,0,0,3,0,0,0,0,1.8
19,2019-12-23,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.4,Location.HOME,NEW_ORLEANS_PELICANS,18,1,460,0,1,0,0,1,2,1,1,0,0,0,0,0.9
20,2019-12-26,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,UTAH_JAZZ,28,0,643,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
21,2019-12-28,littlna01,Nassir Little,470,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.5,Location.HOME,LOS_ANGELES_LAKERS,13,1,679,0,0,0,0,1,2,0,0,1,0,0,0,1.3
