,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],6.4,Location.HOME,SAN_ANTONIO_SPURS,26,2,774,1,3,0,1,0,0,0,2,0,1,0,1,0.9
1,2016-10-28,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,914,2,3,0,0,0,0,0,1,1,0,0,1,1.9
2,2016-10-30,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.AWAY,PHOENIX_SUNS,23,4,816,2,3,0,0,0,1,0,1,1,0,0,1,1.5
3,2016-11-01,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],17.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,6,1089,2,3,0,0,2,2,0,1,5,2,0,3,6.7
4,2016-11-03,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],9.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,6,1041,3,4,0,0,0,0,1,1,1,0,0,0,5.3
5,2016-11-04,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],17.2,Location.AWAY,LOS_ANGELES_LAKERS,13,11,1211,5,5,0,0,1,1,1,0,4,0,0,1,11.6
6,2016-11-07,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],7.6,Location.HOME,NEW_ORLEANS_PELICANS,18,4,1025,2,4,0,0,0,0,1,2,0,0,0,0,2.5
7,2016-11-09,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,DALLAS_MAVERICKS,6,1,1230,0,2,0,0,1,4,0,0,1,0,0,1,-2.7
8,2016-11-10,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.AWAY,DENVER_NUGGETS,7,6,1083,3,4,0,0,0,0,0,2,0,1,0,1,3.8
9,2016-11-13,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],15.3,Location.HOME,PHOENIX_SUNS,23,6,1176,3,5,0,0,0,2,3,1,3,0,0,0,6.6
10,2016-11-16,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],15.6,Location.AWAY,TORONTO_RAPTORS,27,3,1101,1,1,0,0,1,1,1,2,4,1,0,0,7.4
11,2016-11-18,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],16.4,Location.AWAY,BOSTON_CELTICS,1,3,1072,1,2,0,0,1,2,0,2,2,1,2,1,3.8
12,2016-11-19,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],9.6,Location.AWAY,MILWAUKEE_BUCKS,16,3,926,1,5,0,0,1,2,2,1,2,0,0,0,2.2
13,2016-11-21,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],11.1,Location.AWAY,INDIANA_PACERS,11,4,954,1,2,0,0,2,2,1,2,3,0,0,1,5.0
14,2016-11-23,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.HOME,LOS_ANGELES_LAKERS,13,6,1037,3,4,0,0,0,0,0,2,2,0,0,0,6.4
15,2016-11-25,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],4.9,Location.AWAY,LOS_ANGELES_LAKERS,13,2,896,1,4,0,0,0,0,0,2,1,0,0,1,-0.5
16,2016-11-26,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],8.1,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1398,2,7,0,0,0,0,1,2,1,0,0,1,0.1
17,2016-11-28,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],11.9,Location.HOME,ATLANTA_HAWKS,0,6,939,3,5,0,0,0,0,0,2,1,1,0,1,4.6
18,2016-12-01,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],15.1,Location.HOME,HOUSTON_ROCKETS,10,4,1185,2,4,0,0,0,0,1,2,3,1,0,0,5.6
19,2016-12-03,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],9.3,Location.HOME,PHOENIX_SUNS,23,4,1052,2,3,0,0,0,1,0,4,1,0,0,1,2.8
20,2016-12-05,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],9.4,Location.HOME,INDIANA_PACERS,11,4,824,2,2,0,0,0,0,0,2,2,0,0,0,4.6
21,2016-12-07,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,5,1049,2,2,0,0,1,2,0,1,2,1,0,2,4.7
22,2016-12-10,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],7.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,1107,3,4,0,0,0,1,0,0,1,0,1,3,1.6
23,2016-12-11,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],18.3,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,9,1132,4,5,0,0,1,1,0,4,1,1,0,0,9.6
24,2016-12-13,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],7.9,Location.AWAY,NEW_ORLEANS_PELICANS,18,4,1024,2,5,0,0,0,0,0,2,1,0,0,0,2.2
25,2016-12-15,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],18.7,Location.HOME,NEW_YORK_KNICKS,19,10,1127,5,8,0,0,0,0,0,1,3,0,1,0,8.7
26,2016-12-17,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],13.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,8,982,3,5,0,0,2,2,0,2,1,1,0,1,7.0
27,2016-12-20,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.HOME,UTAH_JAZZ,28,2,1104,1,4,0,0,0,0,1,1,4,0,0,0,1.4
28,2016-12-22,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.AWAY,BROOKLYN_NETS,2,4,1067,2,4,0,0,0,0,0,2,0,2,0,2,1.8
29,2016-12-23,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],14.2,Location.AWAY,DETROIT_PISTONS,8,4,914,2,5,0,0,0,0,0,1,2,2,0,0,4.2
30,2016-12-25,livinsh01,Shaun Livingston,471,[<Position.POINT_GUARD: 'POINT GUARD'>],12.1,Location.AWAY,CLEVELAND_CAVALIERS,5,2,1055,0,2,0,0,2,2,0,3,3,0,1,1,2.9
