,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],18.1,Location.HOME,BOSTON_CELTICS,1,8,1648,3,8,0,0,2,4,6,2,1,0,0,1,6.5
1,2016-10-29,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],28.2,Location.HOME,INDIANA_PACERS,11,12,1124,5,7,0,0,2,2,2,4,2,0,2,0,13.3
2,2016-10-31,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],19.0,Location.AWAY,BROOKLYN_NETS,2,4,1165,1,5,0,0,2,2,2,3,2,0,2,0,5.6
3,2016-11-02,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],18.0,Location.AWAY,BOSTON_CELTICS,1,8,850,3,6,0,0,2,4,3,2,0,0,2,2,5.9
4,2016-11-04,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],18.7,Location.HOME,NEW_YORK_KNICKS,19,5,1719,2,6,0,0,1,2,4,2,1,0,2,1,4.9
5,2016-11-05,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],25.4,Location.AWAY,INDIANA_PACERS,11,12,1625,6,8,0,0,0,0,3,4,0,0,2,1,12.1
6,2016-11-07,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],19.4,Location.HOME,ORLANDO_MAGIC,21,8,1462,4,7,0,0,0,0,3,4,0,0,1,0,7.9
7,2016-11-09,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],13.5,Location.AWAY,ATLANTA_HAWKS,0,6,1785,3,4,0,0,0,0,1,4,1,0,0,0,5.8
8,2016-11-10,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],28.799999999999997,Location.AWAY,MIAMI_HEAT,15,16,2253,8,20,0,0,0,0,7,2,0,0,1,1,9.2
9,2016-11-12,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],31.1,Location.HOME,WASHINGTON_WIZARDS,29,10,2280,5,16,0,0,0,0,6,7,1,0,2,2,6.0
10,2016-11-15,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],30.7,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,13,1762,6,15,0,1,1,1,3,8,1,0,1,0,10.0
11,2016-11-17,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],30.4,Location.AWAY,UTAH_JAZZ,28,10,2297,5,16,0,0,0,0,7,5,0,0,2,0,7.8
12,2016-11-19,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],20.2,Location.AWAY,LOS_ANGELES_CLIPPERS,12,10,1535,5,6,0,0,0,0,3,3,0,1,0,0,10.6
13,2016-11-20,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],34.2,Location.AWAY,LOS_ANGELES_LAKERS,13,12,1664,6,11,0,0,0,0,4,7,2,0,2,0,14.4
14,2016-11-22,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],44.1,Location.AWAY,DENVER_NUGGETS,7,12,2121,6,12,0,0,0,0,4,4,1,1,6,0,15.1
15,2016-11-25,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],18.5,Location.AWAY,PHILADELPHIA_76ERS,22,10,1371,4,11,0,0,2,2,3,2,1,0,1,2,5.6
16,2016-11-30,lopezro01,Robin Lopez,476,[<Position.CENTER: 'CENTER'>],47.3,Location.HOME,LOS_ANGELES_LAKERS,13,10,1940,4,12,0,0,2,2,4,5,1,1,8,2,11.6
