,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],47.4,Location.HOME,NEW_YORK_KNICKS,19,23,1498,6,15,2,6,9,12,2,10,2,3,0,2,19.3
1,2016-10-28,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],39.0,Location.AWAY,TORONTO_RAPTORS,27,18,2139,6,15,2,5,4,4,2,8,2,1,1,0,16.0
2,2016-10-29,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.0,Location.HOME,ORLANDO_MAGIC,21,19,1968,6,17,0,5,7,7,3,2,0,0,1,4,6.5
3,2016-11-01,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],37.0,Location.HOME,HOUSTON_ROCKETS,10,24,1832,9,16,1,2,5,5,1,4,0,2,1,2,18.6
4,2016-11-03,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.6,Location.HOME,BOSTON_CELTICS,1,26,1983,5,15,4,8,12,13,2,6,0,0,0,1,19.3
5,2016-11-05,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],35.7,Location.AWAY,PHILADELPHIA_76ERS,22,20,2259,8,16,2,5,2,3,1,10,1,0,1,2,14.3
6,2016-11-08,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],49.9,Location.HOME,ATLANTA_HAWKS,0,24,2290,7,17,0,4,10,11,6,6,3,3,0,2,22.0
7,2016-11-11,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34.7,Location.AWAY,WASHINGTON_WIZARDS,29,14,2016,4,12,0,1,6,9,7,9,1,1,0,3,10.7
8,2016-11-13,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.2,Location.HOME,CHARLOTTE_HORNETS,3,17,1563,6,10,2,3,3,4,4,7,4,1,0,1,18.5
9,2016-11-15,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],42.1,Location.HOME,TORONTO_RAPTORS,27,19,2075,5,16,1,7,8,9,4,9,1,0,3,3,14.3
10,2016-11-16,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],45.7,Location.AWAY,INDIANA_PACERS,11,27,2005,11,23,4,10,1,4,3,13,1,0,0,2,18.8
11,2016-11-18,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.1,Location.HOME,DETROIT_PISTONS,8,12,1620,5,10,0,1,2,2,1,12,1,0,0,4,7.6
12,2016-11-23,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],59.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,40,1911,12,20,8,12,8,8,4,4,3,1,1,1,36.8
13,2016-11-25,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],53.0,Location.HOME,DALLAS_MAVERICKS,6,27,1709,8,14,7,9,4,4,1,9,4,3,0,1,28.2
14,2016-11-27,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],38.7,Location.AWAY,PHILADELPHIA_76ERS,22,25,1674,6,13,4,8,9,9,3,8,1,0,0,1,22.5
15,2016-11-29,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.6,Location.AWAY,MILWAUKEE_BUCKS,16,13,1858,3,10,2,7,5,7,1,12,2,1,0,1,11.3
16,2016-12-01,loveke01,Kevin Love,477,[<Position.POWER_FORWARD: 'POWER FORWARD'>],17.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,16,1470,7,11,2,5,0,0,0,4,0,0,0,3,8.1
