,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.AWAY,DALLAS_MAVERICKS,6,3,254,1,1,1,1,0,0,0,1,1,0,0,0,2.9
1,2017-10-20,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,CHARLOTTE_HORNETS,3,0,410,0,1,0,0,0,0,0,0,1,0,0,0,-0.4
2,2017-10-22,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.AWAY,BROOKLYN_NETS,2,0,205,0,0,0,0,0,0,0,0,1,0,0,0,0.7
3,2017-10-26,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,CHICAGO_BULLS,4,2,237,0,0,0,0,2,2,0,0,0,0,0,0,2.0
4,2017-10-29,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.HOME,MILWAUKEE_BUCKS,16,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2017-11-22,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],16.3,Location.HOME,LOS_ANGELES_CLIPPERS,12,4,905,1,4,0,1,2,2,1,3,5,0,0,0,6.7
6,2017-11-24,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],5.5,Location.HOME,NEW_YORK_KNICKS,19,2,800,1,2,0,0,0,0,0,0,3,0,0,1,2.1
7,2017-11-25,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],17.2,Location.HOME,TORONTO_RAPTORS,27,2,1001,1,4,0,2,0,0,0,1,6,2,0,1,3.9
8,2018-01-20,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],9.5,Location.HOME,CHICAGO_BULLS,4,8,292,2,2,2,2,2,2,0,0,1,0,0,0,8.1
9,2018-02-26,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.HOME,LOS_ANGELES_LAKERS,13,0,283,0,1,0,1,0,0,0,1,4,1,0,0,3.4
10,2018-03-06,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],3.5,Location.AWAY,TORONTO_RAPTORS,27,0,155,0,0,0,0,0,0,0,0,1,1,0,1,0.7
11,2018-03-09,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],10.2,Location.AWAY,INDIANA_PACERS,11,0,925,0,1,0,0,0,0,0,1,6,0,0,0,3.4
12,2018-03-11,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],20.4,Location.HOME,CHICAGO_BULLS,4,7,1315,2,6,1,3,2,2,1,1,8,0,0,1,9.2
13,2018-03-22,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],12.1,Location.AWAY,SACRAMENTO_KINGS,25,5,1327,2,6,1,2,0,0,0,3,3,0,0,1,3.2
14,2018-03-25,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],11.9,Location.AWAY,HOUSTON_ROCKETS,10,0,976,0,4,0,3,0,0,0,2,5,1,0,1,0.1
15,2018-03-28,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],16.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,1587,1,4,1,2,0,0,0,1,5,2,0,1,4.2
16,2018-04-01,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],12.9,Location.HOME,ORLANDO_MAGIC,21,5,1130,2,6,1,4,0,0,0,2,5,0,0,2,3.3
17,2018-04-04,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],15.2,Location.HOME,MIAMI_HEAT,15,5,1130,2,4,1,1,0,0,0,1,2,1,1,0,6.0
18,2019-11-01,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],9.7,Location.HOME,MILWAUKEE_BUCKS,16,4,336,2,4,0,0,0,0,1,0,1,1,0,0,4.4
19,2019-11-20,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],5.7,Location.AWAY,TORONTO_RAPTORS,27,0,124,0,1,0,0,0,0,0,1,1,1,0,0,1.3
20,2019-12-04,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],-0.7999999999999998,Location.HOME,PHOENIX_SUNS,23,1,155,0,1,0,0,1,2,0,1,0,0,0,3,-2.8
21,2019-12-28,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],2.0,Location.AWAY,MILWAUKEE_BUCKS,16,2,108,1,1,0,0,0,0,0,0,0,0,0,0,1.7
22,2020-01-01,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,136,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
23,2020-01-04,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],-1.0,Location.HOME,UTAH_JAZZ,28,0,44,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
24,2020-01-08,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],6.7,Location.HOME,WASHINGTON_WIZARDS,29,2,335,1,2,0,1,0,0,0,1,1,1,0,1,1.2
25,2020-01-10,magetjo01,Josh Magette,489,[<Position.POINT_GUARD: 'POINT GUARD'>],11.4,Location.AWAY,PHOENIX_SUNS,23,3,1035,1,5,1,3,0,0,0,2,2,0,1,0,1.8
