,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-24,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,246,0,0,0,0,0,0,0,1,0,0,0,0,-0.5
1,2019-10-26,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,PHOENIX_SUNS,23,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2019-10-28,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,CHARLOTTE_HORNETS,3,0,72,0,0,0,0,0,0,0,1,0,0,0,1,-0.7
3,2019-10-30,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.1,Location.AWAY,UTAH_JAZZ,28,4,600,2,3,0,0,0,0,1,2,5,1,0,1,7.1
4,2019-11-03,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,UTAH_JAZZ,28,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,2019-11-11,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,TORONTO_RAPTORS,27,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2019-11-13,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,HOUSTON_ROCKETS,10,2,24,1,1,0,0,0,0,0,0,0,0,0,0,1.7
7,2019-11-14,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.399999999999999,Location.AWAY,NEW_ORLEANS_PELICANS,18,5,1499,2,6,1,3,0,0,0,2,4,1,0,3,2.2
8,2019-11-16,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.200000000000003,Location.HOME,ATLANTA_HAWKS,0,13,2000,6,8,0,0,1,1,0,6,8,0,0,2,13.6
9,2019-11-18,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,3,1246,0,5,0,2,3,4,0,3,0,0,0,0,-0.8
10,2019-11-20,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2019-11-24,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,NEW_ORLEANS_PELICANS,18,0,200,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
12,2019-11-26,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,180,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
13,2019-11-27,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,6,824,2,3,0,1,2,2,0,0,0,2,0,0,5.5
14,2019-11-29,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.7,Location.AWAY,SAN_ANTONIO_SPURS,26,0,227,0,0,0,0,0,0,0,1,1,0,1,0,1.7
15,2019-12-01,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.600000000000001,Location.HOME,WASHINGTON_WIZARDS,29,7,893,3,4,0,0,1,1,1,2,0,1,1,2,5.2
16,2019-12-03,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.2,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,5,621,2,5,1,3,0,0,1,0,2,0,0,1,3.4
17,2019-12-06,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.AWAY,MILWAUKEE_BUCKS,16,2,607,1,1,0,0,0,0,0,1,0,1,0,1,1.6
18,2019-12-08,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,632,0,2,0,0,0,0,0,0,2,0,0,1,-1.8
19,2019-12-11,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,TORONTO_RAPTORS,27,0,181,0,0,0,0,0,0,0,0,1,0,0,0,0.7
20,2019-12-13,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.9,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,1059,0,0,0,0,0,0,0,2,3,0,1,0,2.2
21,2019-12-14,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.2,Location.AWAY,CHICAGO_BULLS,4,5,975,2,3,0,0,1,2,0,1,2,0,0,0,4.2
22,2020-01-10,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,2020-01-12,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DENVER_NUGGETS,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,2020-01-14,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.19999999999999996,Location.HOME,CLEVELAND_CAVALIERS,5,0,720,0,4,0,1,0,0,1,0,0,0,0,1,-3.5
25,2020-01-16,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,ORLANDO_MAGIC,21,0,248,0,1,0,0,0,0,0,1,1,0,0,0,0.3
26,2020-01-18,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,2020-01-22,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.0,Location.AWAY,ATLANTA_HAWKS,0,1,923,0,1,0,0,1,2,0,0,2,0,2,1,0.9
28,2020-01-26,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.AWAY,ORLANDO_MAGIC,21,0,298,0,0,0,0,0,0,0,1,1,0,0,0,0.2
29,2020-02-01,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,0,132,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
30,2020-02-08,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,3,911,1,2,1,1,0,0,0,1,5,1,0,0,5.2
31,2020-02-09,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.9,Location.AWAY,CLEVELAND_CAVALIERS,5,0,720,0,2,0,0,0,0,0,2,1,1,0,0,0.5
32,2020-02-11,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,PHILADELPHIA_76ERS,22,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0.3
33,2020-02-13,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,BOSTON_CELTICS,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
34,2020-02-22,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,SACRAMENTO_KINGS,25,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,2020-08-01,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.HOME,NEW_ORLEANS_PELICANS,18,3,694,1,5,1,1,0,0,2,1,2,1,0,0,3.2
36,2020-08-06,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,2020-08-08,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,1,707,0,1,0,1,1,2,0,1,2,0,0,0,1.6
38,2020-08-09,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.6,Location.HOME,BROOKLYN_NETS,2,14,1390,6,7,2,3,0,0,0,3,0,0,0,0,11.2
39,2020-08-12,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,DENVER_NUGGETS,7,0,134,0,0,0,0,0,0,0,1,2,0,0,1,0.7
40,2020-08-14,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],58.3,Location.HOME,OKLAHOMA_CITY_THUNDER,20,25,2514,8,12,1,3,8,13,4,10,9,2,0,3,26.9
41,2020-08-17,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,DALLAS_MAVERICKS,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,2020-08-19,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,DALLAS_MAVERICKS,6,0,88,0,0,0,0,0,0,0,1,0,0,0,0,-0.1
43,2020-08-21,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0,Location.AWAY,DALLAS_MAVERICKS,6,0,33,0,0,0,0,0,0,0,0,0,1,0,0,1.0
44,2020-08-23,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,2020-08-25,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.0999999999999996,Location.HOME,DALLAS_MAVERICKS,6,0,861,0,0,0,0,0,0,0,3,1,0,0,2,-1.6
46,2020-08-30,mannte01,Terance Mann,492,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.AWAY,DALLAS_MAVERICKS,6,0,96,0,0,0,0,0,0,0,1,0,0,0,0,0.3
