,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],4.2,Location.AWAY,TORONTO_RAPTORS,27,0,303,0,1,0,0,0,0,0,1,0,1,0,0,-0.2
1,2016-10-28,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],2.0,Location.HOME,ORLANDO_MAGIC,21,2,148,1,2,0,0,0,0,0,0,0,0,0,0,1.0
2,2016-11-05,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],3.2,Location.HOME,DENVER_NUGGETS,7,2,148,1,2,0,0,0,0,0,1,0,0,0,0,1.3
3,2016-11-07,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],9.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,7,505,1,4,0,0,5,5,2,0,0,0,0,0,5.6
4,2016-11-14,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],14.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,4,739,2,6,0,0,0,0,0,4,0,0,2,0,2.4
5,2016-11-18,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],10.0,Location.AWAY,CLEVELAND_CAVALIERS,5,2,369,1,4,0,0,0,0,2,3,0,0,1,1,1.2
6,2016-11-23,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],1.2,Location.HOME,MIAMI_HEAT,15,0,205,0,3,0,0,0,0,1,0,0,0,0,0,-1.4
7,2016-11-29,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],1.2,Location.AWAY,CHARLOTTE_HORNETS,3,0,129,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
8,2016-12-02,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],5.4,Location.AWAY,ATLANTA_HAWKS,0,3,228,1,1,0,0,1,2,1,1,0,0,0,0,2.9
9,2016-12-09,marjabo01,Boban Marjanović,493,[<Position.CENTER: 'CENTER'>],0.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,0,242,0,0,0,0,0,0,0,0,0,0,0,0,-0.4
