,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-25,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.3,Location.HOME,MINNESOTA_TIMBERWOLVES,17,4,1041,1,4,0,2,2,2,0,4,1,2,0,0,5.1
1,2019-10-27,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.AWAY,LOS_ANGELES_LAKERS,13,3,104,1,1,0,0,1,2,0,0,0,0,0,0,2.3
2,2019-10-28,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,224,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
3,2019-10-30,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.0,Location.AWAY,SACRAMENTO_KINGS,25,0,291,0,0,0,0,0,0,0,0,0,1,0,0,1.0
4,2019-11-02,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.AWAY,GOLDEN_STATE_WARRIORS,9,1,268,0,0,0,0,1,2,1,1,0,0,1,0,2.3
5,2019-11-05,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],19.7,Location.HOME,INDIANA_PACERS,11,0,2008,0,2,0,0,0,0,2,9,3,1,0,1,3.2
6,2019-11-07,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.1,Location.HOME,BOSTON_CELTICS,1,7,986,2,4,0,1,3,3,0,3,3,2,0,0,9.6
7,2019-11-09,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.6,Location.HOME,NEW_ORLEANS_PELICANS,18,9,1268,4,7,0,2,1,2,0,3,2,2,0,1,7.0
8,2019-11-10,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.0,Location.AWAY,PHILADELPHIA_76ERS,22,5,642,2,3,1,1,0,0,0,0,0,0,0,0,2.1
9,2019-11-13,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.HOME,MEMPHIS_GRIZZLIES,14,6,1267,1,5,0,4,4,4,1,2,1,0,0,1,3.9
10,2019-11-15,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.7,Location.HOME,DETROIT_PISTONS,8,7,1578,2,6,0,2,3,6,3,3,5,3,0,0,11.5
11,2019-11-16,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,NEW_YORK_KNICKS,19,0,106,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
12,2019-11-18,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.AWAY,TORONTO_RAPTORS,27,0,601,0,3,0,3,0,0,0,2,2,1,0,2,-1.9
13,2019-11-23,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.19999999999999996,Location.HOME,CHICAGO_BULLS,4,0,302,0,0,0,0,0,0,0,1,0,0,0,1,-0.7
14,2019-11-25,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.199999999999999,Location.AWAY,MIAMI_HEAT,15,4,370,2,2,0,0,0,1,1,0,0,1,0,1,3.3
15,2019-11-27,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.5,Location.HOME,DETROIT_PISTONS,8,0,301,0,3,0,1,0,0,0,0,1,0,0,0,-1.8
16,2019-12-08,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.0,Location.HOME,ATLANTA_HAWKS,0,2,180,1,1,0,0,0,0,0,0,0,0,0,0,1.7
17,2019-12-11,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.8,Location.AWAY,BROOKLYN_NETS,2,6,1420,2,7,1,3,1,1,1,3,4,0,1,2,3.8
18,2019-12-13,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6.4,Location.AWAY,CHICAGO_BULLS,4,3,957,1,2,1,2,0,0,0,2,0,1,0,2,1.6
19,2019-12-15,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.7,Location.AWAY,INDIANA_PACERS,11,9,1656,2,4,1,1,4,6,1,5,1,1,1,1,8.6
20,2019-12-17,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.7,Location.HOME,SACRAMENTO_KINGS,25,7,1513,3,4,1,1,0,1,1,5,3,0,0,1,7.1
21,2019-12-18,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.4,Location.AWAY,CLEVELAND_CAVALIERS,5,5,1714,2,6,0,2,1,1,0,2,4,3,0,0,7.6
22,2019-12-21,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.3,Location.HOME,UTAH_JAZZ,28,11,1293,5,7,1,1,0,0,0,4,1,1,1,0,10.1
23,2019-12-22,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.9,Location.AWAY,BOSTON_CELTICS,1,6,1249,1,4,1,2,3,4,0,2,1,0,0,0,2.9
24,2019-12-27,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,10,1301,3,8,0,3,4,5,1,5,0,2,0,1,6.8
25,2019-12-29,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,1,909,0,2,0,1,1,2,1,2,1,1,0,1,0.8
26,2019-12-31,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],10.1,Location.HOME,BOSTON_CELTICS,1,7,1078,3,7,1,4,0,0,3,0,1,0,0,2,4.1
27,2020-01-04,martico01,Cody Martin,496,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,DALLAS_MAVERICKS,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0
