,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-23,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.AWAY,DALLAS_MAVERICKS,6,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0.7
1,2019-10-25,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.7000000000000002,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,784,0,2,0,2,0,0,0,1,1,0,0,1,-2.6
2,2019-12-14,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,3,304,1,1,1,1,0,0,0,1,0,0,0,1,2.0
3,2019-12-16,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.0,Location.AWAY,DETROIT_PISTONS,8,4,648,1,2,1,2,1,1,0,0,0,0,0,0,1.8
4,2019-12-18,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.8,Location.HOME,CHICAGO_BULLS,4,5,739,1,3,0,2,3,3,1,3,0,0,0,0,4.9
5,2019-12-20,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.AWAY,TORONTO_RAPTORS,27,6,989,2,4,2,4,0,0,2,0,2,0,0,0,5.6
6,2019-12-21,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.AWAY,PHILADELPHIA_76ERS,22,2,405,0,0,0,0,2,3,0,0,0,0,1,0,1.9
7,2019-12-23,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.1,Location.AWAY,NEW_YORK_KNICKS,19,6,1117,2,5,2,5,0,0,1,2,1,1,0,1,5.3
8,2019-12-26,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.1,Location.AWAY,DETROIT_PISTONS,8,4,504,1,2,1,2,1,1,0,3,1,1,0,2,3.2
9,2019-12-28,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.2,Location.HOME,NEW_YORK_KNICKS,19,0,529,0,2,0,1,0,0,0,1,0,0,0,0,-1.9
10,2019-12-30,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.799999999999997,Location.HOME,MIAMI_HEAT,15,28,1750,6,9,4,7,12,13,1,3,0,0,0,1,22.3
11,2020-01-01,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.7,Location.HOME,ORLANDO_MAGIC,21,10,1022,2,4,1,3,5,5,1,0,1,0,0,1,7.2
12,2020-01-03,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,18,1483,6,9,5,7,1,1,0,2,1,0,0,0,14.6
13,2020-01-04,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.2,Location.HOME,DENVER_NUGGETS,7,7,1237,1,6,1,5,4,5,0,1,0,0,0,0,1.9
14,2020-01-06,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.0,Location.HOME,BOSTON_CELTICS,1,0,238,0,1,0,1,0,0,0,0,2,1,0,0,1.7
15,2020-02-07,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,DALLAS_MAVERICKS,6,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,2020-03-08,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.2,Location.HOME,MIAMI_HEAT,15,0,1024,0,3,0,2,0,0,0,1,0,5,0,1,0.6
17,2020-03-10,mathega01,Garrison Mathews,502,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.0,Location.HOME,NEW_YORK_KNICKS,19,5,513,1,3,1,2,2,2,0,0,0,0,0,0,2.5
