,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.5,Location.AWAY,INDIANA_PACERS,11,13,2377,3,16,2,10,5,6,0,5,3,3,0,1,6.6
1,2016-10-28,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.3,Location.HOME,HOUSTON_ROCKETS,10,13,2244,4,14,1,8,4,4,0,4,1,1,0,1,5.5
2,2016-10-30,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],39.3,Location.AWAY,HOUSTON_ROCKETS,10,25,2446,9,25,3,15,4,4,1,3,3,2,0,1,13.4
3,2016-11-02,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.2,Location.AWAY,UTAH_JAZZ,28,12,2142,4,9,3,5,1,1,0,1,2,0,1,1,7.9
4,2016-11-04,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.5,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,7,1726,1,6,1,2,4,5,0,0,1,0,0,3,-1.5
5,2016-11-06,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.7,Location.HOME,MILWAUKEE_BUCKS,16,9,2619,3,17,3,14,0,0,0,1,1,3,0,2,-0.9
6,2016-11-08,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.1,Location.AWAY,LOS_ANGELES_LAKERS,13,9,2289,4,10,1,4,0,0,1,2,7,2,0,1,10.0
7,2016-11-14,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.5,Location.AWAY,NEW_YORK_KNICKS,19,8,2042,3,9,2,5,0,0,0,5,1,2,0,1,5.3
8,2016-11-16,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.6,Location.AWAY,BOSTON_CELTICS,1,22,2253,7,15,6,13,2,3,0,3,0,2,0,1,15.4
9,2016-11-18,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.9,Location.HOME,MEMPHIS_GRIZZLIES,14,9,1886,3,10,2,7,1,1,0,2,1,1,0,1,4.5
10,2016-11-19,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.8,Location.AWAY,ORLANDO_MAGIC,21,13,2158,4,11,3,6,2,2,0,4,2,0,0,2,7.5
11,2016-11-21,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.0,Location.AWAY,SAN_ANTONIO_SPURS,26,20,2392,6,13,3,7,5,7,1,4,4,1,0,4,13.0
12,2016-11-23,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,18,1827,6,10,3,3,3,3,0,4,2,0,1,5,10.9
13,2016-11-25,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.9,Location.AWAY,CLEVELAND_CAVALIERS,5,6,1727,2,8,2,7,0,0,0,2,3,1,0,4,0.9
14,2016-11-27,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.1,Location.HOME,NEW_ORLEANS_PELICANS,18,21,2336,7,14,6,8,1,2,1,2,3,0,0,1,15.2
15,2016-11-30,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.9,Location.HOME,SAN_ANTONIO_SPURS,26,26,2196,8,19,5,11,5,6,0,2,1,2,1,1,18.1
16,2016-12-01,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.6,Location.AWAY,CHARLOTTE_HORNETS,3,14,2366,4,15,1,11,5,5,0,3,2,0,0,1,5.6
17,2016-12-03,matthwe02,Wesley Matthews,504,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.6,Location.HOME,CHICAGO_BULLS,4,26,2094,9,17,7,11,1,1,0,3,2,2,0,3,17.4
