,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.6,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,1,1020,0,2,0,0,1,2,1,2,0,0,1,0,1.2
1,2016-10-30,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.3,Location.HOME,UTAH_JAZZ,28,3,982,1,5,0,2,1,2,4,0,1,0,0,1,2.0
2,2016-10-31,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.7,Location.HOME,PHOENIX_SUNS,23,2,1198,1,3,0,1,0,1,0,1,1,1,0,0,1.9
3,2016-11-02,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.2,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,1436,0,1,0,1,2,4,0,1,0,2,0,0,2.8
4,2016-11-04,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.2,Location.AWAY,MEMPHIS_GRIZZLIES,14,4,1101,2,2,0,0,0,0,0,1,0,3,1,2,5.0
5,2016-11-05,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.7,Location.AWAY,SAN_ANTONIO_SPURS,26,13,1462,5,9,2,4,1,1,0,1,1,1,0,1,8.9
6,2016-11-07,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.4,Location.HOME,DETROIT_PISTONS,8,4,1481,2,3,0,0,0,0,0,2,0,2,1,1,4.6
7,2016-11-09,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.0,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,3,1401,1,2,1,1,0,2,1,4,0,0,0,0,2.3
8,2016-11-11,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,7,1883,3,6,1,2,0,0,2,4,0,2,1,1,7.5
9,2016-11-12,mbahalu01,Luc Mbah a Moute,505,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,15,2036,6,8,2,3,1,1,1,0,0,1,1,0,13.4
