,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-01,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.2,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,5,531,2,3,0,0,1,2,0,1,0,0,0,0,3.6
1,2016-11-03,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.5,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,423,0,2,0,0,0,0,0,0,1,0,1,0,0.0
2,2016-11-04,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2016-11-09,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,DALLAS_MAVERICKS,6,0,243,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
4,2016-11-18,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,BOSTON_CELTICS,1,2,454,1,1,0,0,0,0,0,0,0,0,0,0,1.7
5,2016-11-21,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.4,Location.AWAY,INDIANA_PACERS,11,0,498,0,4,0,0,0,0,1,1,0,0,0,0,-1.8
6,2016-11-25,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.0,Location.AWAY,LOS_ANGELES_LAKERS,13,2,116,1,1,0,0,0,0,0,0,0,0,1,0,2.4
7,2016-12-01,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.9,Location.HOME,HOUSTON_ROCKETS,10,4,499,2,2,0,0,0,0,0,2,1,1,0,0,5.3
8,2016-12-05,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.6,Location.HOME,INDIANA_PACERS,11,2,472,1,2,0,1,0,1,0,3,0,0,1,2,-0.2
9,2016-12-07,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,174,0,1,0,0,0,2,0,2,0,0,0,1,-2.3
10,2016-12-10,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,2,484,1,1,0,0,0,0,0,0,0,0,0,0,1.3
11,2016-12-15,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,NEW_YORK_KNICKS,19,0,155,0,0,0,0,0,0,0,1,0,0,0,0,0.3
12,2016-12-17,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.7000000000000002,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,0,513,0,1,0,1,0,0,0,1,1,0,0,1,-0.7
13,2016-12-22,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,BROOKLYN_NETS,2,0,151,0,1,0,0,0,0,0,0,0,0,0,0,-1.1
14,2017-01-10,mcadoja01,James Michael McAdoo,506,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,MIAMI_HEAT,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0
