,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.0,Location.AWAY,ATLANTA_HAWKS,0,7,253,3,4,1,2,0,0,0,0,0,2,0,0,7.4
1,2016-10-30,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2016-11-09,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.5,Location.HOME,BOSTON_CELTICS,1,2,179,1,2,0,1,0,0,0,0,1,0,0,0,1.7
3,2016-11-11,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,CLEVELAND_CAVALIERS,5,2,720,1,5,0,3,0,0,0,1,0,0,0,0,-0.8
4,2016-11-12,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.9,Location.AWAY,CHICAGO_BULLS,4,15,2122,5,9,1,1,4,5,1,1,1,0,0,0,11.2
5,2016-11-16,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.9,Location.AWAY,PHILADELPHIA_76ERS,22,6,1228,2,7,0,3,2,2,1,1,1,2,0,1,3.4
6,2016-11-26,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2016-12-21,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.9,Location.AWAY,CHICAGO_BULLS,4,7,1156,2,3,0,0,3,4,0,2,1,0,1,0,6.9
8,2016-12-23,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.AWAY,MILWAUKEE_BUCKS,16,6,1363,1,5,0,3,4,4,0,2,2,0,0,0,4.1
9,2016-12-28,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],1.5,Location.HOME,INDIANA_PACERS,11,0,444,0,0,0,0,0,0,0,0,1,0,0,0,0.7
10,2016-12-30,mcclesh01,Sheldon Mac,509,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.2,Location.HOME,BROOKLYN_NETS,2,8,1452,2,6,1,2,3,3,0,1,2,1,0,1,5.9
