,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.9,Location.HOME,UTAH_JAZZ,28,25,2076,8,16,2,2,7,7,1,1,3,1,0,3,16.9
1,2016-10-27,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29.799999999999997,Location.HOME,LOS_ANGELES_CLIPPERS,12,16,2281,5,12,1,1,5,6,0,4,2,3,0,3,11.0
2,2016-10-29,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],55.5,Location.AWAY,DENVER_NUGGETS,7,23,2477,10,24,2,5,1,1,3,7,3,3,3,2,18.0
3,2016-11-01,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22.8,Location.HOME,GOLDEN_STATE_WARRIORS,9,16,1575,6,12,2,5,2,2,1,3,2,1,0,4,9.2
4,2016-11-02,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35.8,Location.AWAY,PHOENIX_SUNS,23,24,2342,8,18,3,6,5,5,0,4,4,0,1,2,15.7
5,2016-11-04,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.0,Location.AWAY,DALLAS_MAVERICKS,6,9,1386,4,11,1,5,0,1,1,4,2,0,0,1,2.8
6,2016-11-06,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],49.8,Location.AWAY,MEMPHIS_GRIZZLIES,14,37,2347,13,23,6,12,5,6,0,4,2,1,1,1,27.4
7,2016-11-08,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],56.7,Location.HOME,PHOENIX_SUNS,23,33,2249,11,18,4,6,7,8,0,6,7,2,1,3,30.0
8,2016-11-09,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.8,Location.AWAY,LOS_ANGELES_CLIPPERS,12,8,1568,4,11,0,2,0,0,1,3,0,1,0,2,1.3
9,2016-11-11,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],50.7,Location.HOME,SACRAMENTO_KINGS,25,31,2368,13,24,2,8,3,4,0,1,5,4,0,1,23.8
10,2016-11-13,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],34.6,Location.HOME,DENVER_NUGGETS,7,21,2125,9,23,2,5,1,2,2,1,4,1,1,2,11.1
11,2016-11-15,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.3,Location.HOME,CHICAGO_BULLS,4,17,1999,7,17,3,6,0,0,1,3,3,1,0,3,8.4
12,2016-11-17,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.6,Location.AWAY,HOUSTON_ROCKETS,10,26,2095,11,19,1,4,3,3,2,1,4,0,0,4,16.8
13,2016-11-18,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],36.3,Location.AWAY,NEW_ORLEANS_PELICANS,18,24,2178,7,18,4,8,6,6,1,3,5,1,0,3,15.3
14,2016-11-20,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],40.3,Location.AWAY,BROOKLYN_NETS,2,33,1889,12,19,6,10,3,3,0,4,5,0,0,5,22.2
15,2016-11-22,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.5,Location.AWAY,NEW_YORK_KNICKS,19,16,2142,6,17,1,3,3,3,1,4,5,0,0,1,10.1
16,2016-11-23,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.2,Location.AWAY,CLEVELAND_CAVALIERS,5,13,1965,5,12,1,4,2,2,0,1,2,1,0,1,7.5
17,2016-11-25,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.7,Location.HOME,NEW_ORLEANS_PELICANS,18,24,2184,9,19,4,8,2,2,0,1,3,2,1,1,17.6
18,2016-11-27,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],47.1,Location.HOME,HOUSTON_ROCKETS,10,28,2230,9,19,4,10,6,6,0,3,7,2,0,1,23.5
19,2016-11-30,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38.5,Location.HOME,INDIANA_PACERS,11,19,2051,7,18,2,6,3,3,3,2,5,2,0,0,17.0
20,2016-12-03,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.8,Location.HOME,MIAMI_HEAT,15,17,2000,7,18,1,5,2,3,2,2,4,0,2,1,11.2
21,2016-12-05,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.9,Location.AWAY,CHICAGO_BULLS,4,24,1810,10,19,4,7,0,0,1,1,5,0,0,2,16.4
22,2016-12-07,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.1,Location.AWAY,MILWAUKEE_BUCKS,16,23,2302,9,15,4,7,1,2,0,3,5,0,0,3,16.7
23,2016-12-08,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],27.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,24,2084,7,13,4,4,6,6,0,0,1,1,0,1,18.0
24,2016-12-10,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],50.8,Location.AWAY,INDIANA_PACERS,11,34,2247,12,22,7,11,3,3,1,3,4,0,3,3,26.5
25,2016-12-12,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.5,Location.AWAY,LOS_ANGELES_CLIPPERS,12,25,1969,9,17,2,4,5,5,0,5,3,0,0,4,13.9
26,2016-12-13,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.8,Location.HOME,OKLAHOMA_CITY_THUNDER,20,15,1788,6,13,1,3,2,3,1,3,4,1,1,3,10.6
27,2016-12-15,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.6,Location.AWAY,DENVER_NUGGETS,7,23,2088,8,17,1,4,6,6,0,3,4,0,2,1,16.8
28,2016-12-17,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],18.6,Location.AWAY,GOLDEN_STATE_WARRIORS,9,10,1516,5,12,0,4,0,0,2,1,2,0,1,1,6.0
29,2016-12-20,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.4,Location.AWAY,SACRAMENTO_KINGS,25,36,2327,13,22,2,7,8,10,1,1,4,0,1,2,26.3
30,2016-12-21,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.4,Location.HOME,DALLAS_MAVERICKS,6,13,2469,5,16,0,4,3,3,0,2,2,0,2,3,2.6
31,2016-12-23,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],30.700000000000003,Location.HOME,SAN_ANTONIO_SPURS,26,16,1799,5,16,3,8,3,4,3,3,3,2,0,3,9.7
32,2016-12-26,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.1,Location.HOME,TORONTO_RAPTORS,27,29,2032,12,23,3,7,2,2,2,1,7,1,0,4,19.7
33,2016-12-28,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.9,Location.HOME,SACRAMENTO_KINGS,25,20,2098,6,18,2,6,6,7,0,2,7,1,0,2,13.9
34,2016-12-30,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.9,Location.AWAY,SAN_ANTONIO_SPURS,26,29,1992,10,19,1,4,8,8,0,2,1,1,0,3,17.8
35,2017-01-01,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],62.5,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,43,2354,16,25,3,6,8,9,1,4,3,3,1,3,35.0
36,2017-01-04,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],54.3,Location.AWAY,GOLDEN_STATE_WARRIORS,9,35,2280,13,31,4,11,5,5,2,7,5,0,2,5,20.3
37,2017-01-05,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],43.3,Location.HOME,LOS_ANGELES_LAKERS,13,27,2127,11,21,3,11,2,2,1,3,7,1,0,2,20.6
38,2017-01-08,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],52.6,Location.HOME,DETROIT_PISTONS,8,35,2663,16,28,3,9,0,0,0,3,6,1,1,1,27.6
39,2017-01-10,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.2,Location.AWAY,LOS_ANGELES_LAKERS,13,25,2017,10,18,2,5,3,4,0,1,4,2,0,1,19.3
40,2017-01-11,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],45.8,Location.HOME,CLEVELAND_CAVALIERS,5,27,1926,11,20,5,10,0,0,0,4,2,1,3,1,20.9
41,2017-01-13,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42.6,Location.HOME,ORLANDO_MAGIC,21,26,2194,10,21,4,6,2,2,1,2,2,1,3,2,17.5
42,2017-01-16,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24.4,Location.AWAY,WASHINGTON_WIZARDS,29,12,1352,5,12,1,3,1,2,1,1,2,2,1,2,7.1
43,2017-01-18,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.9,Location.AWAY,CHARLOTTE_HORNETS,3,18,1934,7,18,2,6,2,2,0,2,1,4,1,4,9.0
44,2017-01-20,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28.799999999999997,Location.AWAY,PHILADELPHIA_76ERS,22,16,2120,5,18,2,8,4,4,0,4,4,2,0,4,7.0
45,2017-01-21,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],50.9,Location.AWAY,BOSTON_CELTICS,1,35,2739,11,21,3,6,10,13,0,2,3,3,0,0,28.4
46,2017-01-25,mccolcj01,CJ McCollum,510,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33.6,Location.HOME,LOS_ANGELES_LAKERS,13,24,1982,9,16,2,3,4,4,0,3,4,0,0,0,18.9
