,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],17.9,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,969,0,0,0,0,0,0,0,2,7,2,0,1,5.3
1,2016-10-29,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],13.6,Location.HOME,ATLANTA_HAWKS,0,6,1142,2,5,0,1,2,3,1,2,2,1,0,2,3.8
2,2016-11-01,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],13.7,Location.HOME,ORLANDO_MAGIC,21,2,959,1,3,0,1,0,0,0,1,7,0,0,0,4.3
3,2016-11-02,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],21.2,Location.AWAY,CHARLOTTE_HORNETS,3,4,1339,2,7,0,3,0,0,0,1,6,3,0,2,4.6
4,2016-11-05,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],13.1,Location.HOME,CLEVELAND_CAVALIERS,5,6,992,3,5,0,0,0,0,1,2,3,0,0,1,5.7
5,2016-11-07,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],10.4,Location.HOME,UTAH_JAZZ,28,0,1217,0,2,0,0,0,0,0,2,4,1,0,1,1.6
6,2016-11-09,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],18.7,Location.AWAY,INDIANA_PACERS,11,9,1278,4,7,0,3,1,2,0,1,5,1,0,2,7.3
7,2016-11-11,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],13.3,Location.HOME,INDIANA_PACERS,11,6,1141,1,2,1,1,3,4,0,4,3,0,0,2,5.5
8,2016-11-12,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],13.0,Location.AWAY,ATLANTA_HAWKS,0,2,1367,1,2,0,0,0,0,0,0,6,1,0,1,4.4
9,2016-11-14,mccontj01,T.J. McConnell,511,[<Position.POINT_GUARD: 'POINT GUARD'>],14.899999999999999,Location.AWAY,HOUSTON_ROCKETS,10,4,1254,2,4,0,1,0,0,1,1,3,2,0,2,4.7
