,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.AWAY,BOSTON_CELTICS,1,2,219,1,2,0,0,0,0,2,0,0,0,0,0,2.4
1,2016-10-31,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.5999999999999996,Location.HOME,CHICAGO_BULLS,4,0,614,0,2,0,1,0,0,1,2,0,0,0,0,-0.1
2,2016-11-09,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.19999999999999996,Location.AWAY,NEW_YORK_KNICKS,19,0,197,0,2,0,0,0,0,1,0,0,0,0,1,-2.1
3,2016-11-14,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.1,Location.AWAY,LOS_ANGELES_CLIPPERS,12,13,720,6,9,1,2,0,0,3,0,1,0,2,0,12.5
4,2016-11-18,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,2,225,1,2,0,0,0,0,0,0,0,0,0,0,0.6
5,2016-11-23,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,BOSTON_CELTICS,1,0,119,0,1,0,0,0,0,0,1,0,0,0,0,-0.4
6,2016-11-25,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.6,Location.AWAY,INDIANA_PACERS,11,7,435,3,4,0,0,1,1,1,2,0,0,0,0,6.7
7,2016-11-27,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.HOME,SACRAMENTO_KINGS,25,0,215,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
8,2016-12-01,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,MILWAUKEE_BUCKS,16,0,206,0,1,0,0,0,0,0,0,0,0,0,1,-1.7
9,2016-12-23,mcculch01,Chris McCullough,513,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.9,Location.AWAY,CLEVELAND_CAVALIERS,5,2,437,1,2,0,1,0,0,0,2,1,0,0,0,1.9
