,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2019-10-25,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.HOME,MINNESOTA_TIMBERWOLVES,17,2,164,1,2,0,0,0,0,1,0,0,0,0,0,1.7
1,2019-12-15,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2.0,Location.AWAY,INDIANA_PACERS,11,2,227,1,3,0,1,0,0,0,0,0,0,0,0,0.3
2,2020-02-08,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.4,Location.HOME,DALLAS_MAVERICKS,6,5,1115,2,4,0,1,1,1,0,2,0,1,0,0,4.6
3,2020-02-10,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.6,Location.AWAY,DETROIT_PISTONS,8,8,1005,2,3,2,3,2,2,0,3,0,0,0,0,6.4
4,2020-02-12,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.7,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,10,1362,4,4,2,2,0,0,1,5,1,2,0,0,12.9
5,2020-02-20,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.AWAY,CHICAGO_BULLS,4,2,964,0,0,0,0,2,2,0,2,0,0,0,0,1.0
6,2020-02-22,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.299999999999997,Location.HOME,BROOKLYN_NETS,2,7,1378,3,9,1,3,0,1,2,7,1,0,0,1,3.1
7,2020-02-25,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.0,Location.AWAY,INDIANA_PACERS,11,4,1146,1,5,1,3,1,2,1,4,0,2,0,2,2.4
8,2020-02-26,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.7,Location.HOME,NEW_YORK_KNICKS,19,5,1330,2,3,0,0,1,2,0,6,1,1,0,2,3.2
9,2020-02-28,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26.9,Location.AWAY,TORONTO_RAPTORS,27,9,1437,3,9,1,4,2,2,2,5,1,1,2,1,7.7
10,2020-03-01,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.7,Location.HOME,MILWAUKEE_BUCKS,16,2,561,1,2,0,1,0,0,0,1,1,0,1,0,2.3
11,2020-03-03,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24.299999999999997,Location.HOME,SAN_ANTONIO_SPURS,26,6,1630,3,7,0,1,0,0,5,4,5,0,0,0,8.5
12,2020-03-05,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.4,Location.HOME,DENVER_NUGGETS,7,7,1054,3,5,0,0,1,1,2,0,0,0,0,0,4.9
13,2020-03-07,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.HOME,HOUSTON_ROCKETS,10,4,797,2,3,0,1,0,0,0,2,0,0,0,2,0.5
14,2020-03-09,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20.3,Location.AWAY,ATLANTA_HAWKS,0,11,1692,4,8,1,3,2,2,1,3,1,1,0,0,9.1
15,2020-03-11,mcdanja01,Jalen McDaniels,514,[<Position.POWER_FORWARD: 'POWER FORWARD'>],12.2,Location.AWAY,MIAMI_HEAT,15,5,1736,1,3,1,1,2,2,0,6,2,0,0,3,2.7
