,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-26,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.6,Location.AWAY,ORLANDO_MAGIC,21,6,1417,1,3,0,1,4,5,1,2,0,2,0,1,4.6
1,2016-10-28,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.9,Location.HOME,CHARLOTTE_HORNETS,3,9,1215,3,9,3,5,0,0,1,1,1,0,1,0,5.5
2,2016-10-30,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,SAN_ANTONIO_SPURS,26,0,971,0,2,0,1,0,0,0,0,0,0,0,0,-2.2
3,2016-11-01,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.7,Location.HOME,SACRAMENTO_KINGS,25,0,818,0,0,0,0,0,0,1,0,1,0,0,0,1.4
4,2016-11-04,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4.4,Location.AWAY,TORONTO_RAPTORS,27,2,338,1,2,0,1,0,0,1,1,0,0,0,0,2.0
5,2016-11-07,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,4,265,1,1,1,1,1,2,0,1,1,0,0,0,4.3
6,2016-11-12,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.4,Location.HOME,UTAH_JAZZ,28,14,1309,5,6,3,4,1,2,0,2,2,0,0,0,13.0
7,2016-11-14,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.4,Location.AWAY,SAN_ANTONIO_SPURS,26,2,1092,1,2,0,1,0,0,0,2,0,2,1,0,4.3
8,2016-11-15,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.3,Location.HOME,ATLANTA_HAWKS,0,8,2206,4,11,0,3,0,0,3,1,3,2,0,0,7.2
9,2016-11-17,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.4,Location.HOME,MILWAUKEE_BUCKS,16,2,1123,1,4,0,3,0,0,1,1,0,1,0,0,1.2
10,2016-11-19,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.6,Location.AWAY,WASHINGTON_WIZARDS,29,6,1152,2,5,0,1,2,3,0,3,0,1,0,2,1.2
11,2016-11-21,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.9,Location.AWAY,PHILADELPHIA_76ERS,22,5,1098,2,5,1,4,0,2,4,3,1,1,0,1,5.1
12,2016-11-23,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15.8,Location.AWAY,DETROIT_PISTONS,8,12,1875,5,8,2,4,0,0,3,1,0,0,0,1,9.0
13,2016-11-25,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],19.6,Location.AWAY,MEMPHIS_GRIZZLIES,14,10,1930,4,10,2,6,0,0,1,2,2,1,1,3,4.4
14,2016-11-26,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.8,Location.HOME,MEMPHIS_GRIZZLIES,14,11,2012,5,10,1,4,0,0,2,2,2,0,1,1,8.3
15,2016-11-28,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],14.0,Location.HOME,BOSTON_CELTICS,1,11,2285,4,7,1,3,2,2,2,3,0,1,0,6,3.4
16,2016-11-30,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],20.4,Location.AWAY,DENVER_NUGGETS,7,3,1505,1,6,1,2,0,0,4,3,0,3,0,0,4.7
17,2016-12-01,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.0,Location.AWAY,UTAH_JAZZ,28,9,2163,2,4,1,2,4,4,1,4,2,0,1,0,10.2
18,2016-12-03,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13.8,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,2325,3,9,1,4,0,0,1,3,2,0,0,1,3.1
19,2016-12-06,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23.2,Location.HOME,NEW_YORK_KNICKS,19,5,2103,2,11,1,4,0,0,3,3,4,1,1,1,3.8
20,2016-12-07,mcgruro01,Rodney McGruder,518,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.5,Location.AWAY,ATLANTA_HAWKS,0,11,1854,3,8,2,5,3,5,3,2,5,2,1,1,13.3
