,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-25,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2.0,Location.HOME,NEW_YORK_KNICKS,19,2,350,1,4,0,0,0,0,0,0,0,0,0,0,-0.8
1,2016-11-03,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,BOSTON_CELTICS,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,2016-11-11,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.AWAY,WASHINGTON_WIZARDS,29,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2016-11-13,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.9,Location.HOME,CHARLOTTE_HORNETS,3,2,817,1,4,0,2,0,0,0,2,3,0,0,0,1.9
4,2016-11-15,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3.2,Location.HOME,TORONTO_RAPTORS,27,0,621,0,1,0,0,0,0,0,1,0,1,0,1,-1.2
5,2016-11-16,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.AWAY,INDIANA_PACERS,11,9,1426,3,12,2,3,1,2,0,0,0,0,1,1,1.1
6,2016-11-18,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.9,Location.HOME,DETROIT_PISTONS,8,7,912,2,7,1,1,2,2,0,2,3,0,0,1,4.2
7,2016-11-23,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.6,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,873,1,9,0,2,0,0,1,2,0,1,0,0,-2.4
8,2016-11-25,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.4,Location.HOME,DALLAS_MAVERICKS,6,7,828,3,7,0,2,1,1,0,2,0,0,0,0,3.1
9,2016-11-29,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.AWAY,MILWAUKEE_BUCKS,16,9,656,4,7,1,2,0,0,2,1,0,0,0,0,7.0
10,2016-12-01,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.7,Location.HOME,LOS_ANGELES_CLIPPERS,12,3,357,1,3,1,1,0,0,0,1,1,1,0,0,3.3
11,2016-12-09,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],8.0,Location.HOME,MIAMI_HEAT,15,2,372,1,3,0,1,0,0,0,0,2,0,1,0,2.4
12,2016-12-10,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,CHARLOTTE_HORNETS,3,0,75,0,1,0,1,0,0,0,0,0,0,0,0,-0.7
13,2016-12-13,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5.2,Location.HOME,MEMPHIS_GRIZZLIES,14,2,202,1,1,0,0,0,0,0,1,0,1,0,1,1.6
14,2016-12-14,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.4,Location.AWAY,MEMPHIS_GRIZZLIES,14,9,985,3,9,0,3,3,3,0,2,0,0,0,0,4.1
15,2016-12-17,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0.0,Location.HOME,LOS_ANGELES_LAKERS,13,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,2016-12-21,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.HOME,MILWAUKEE_BUCKS,16,8,1051,3,6,1,1,1,3,0,3,0,1,0,2,3.3
17,2016-12-23,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],11.0,Location.HOME,BROOKLYN_NETS,2,5,969,1,5,0,1,3,4,0,0,2,0,1,0,3.2
18,2016-12-26,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],9.9,Location.AWAY,DETROIT_PISTONS,8,7,339,1,2,1,1,4,4,0,2,1,0,0,1,5.9
19,2016-12-31,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.3,Location.AWAY,CHARLOTTE_HORNETS,3,20,1875,8,12,3,4,1,1,0,4,1,0,0,0,15.9
20,2017-01-02,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],12.6,Location.HOME,NEW_ORLEANS_PELICANS,18,4,950,1,5,0,3,2,2,0,3,0,2,0,1,2.4
21,2017-01-04,mcraejo01,Jordan McRae,523,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31.6,Location.HOME,CHICAGO_BULLS,4,21,1999,7,15,1,5,6,7,1,2,2,0,2,2,13.4
