,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-12,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.5,Location.HOME,UTAH_JAZZ,28,4,770,2,4,0,1,0,0,0,0,1,0,0,1,0.9
1,2016-11-14,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.1,Location.AWAY,SAN_ANTONIO_SPURS,26,0,839,0,6,0,1,0,0,0,3,3,2,0,0,0.0
2,2016-11-15,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.5,Location.HOME,ATLANTA_HAWKS,0,0,539,0,3,0,0,0,0,1,4,1,0,0,0,-0.3
3,2016-11-21,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.8,Location.AWAY,PHILADELPHIA_76ERS,22,2,701,1,4,0,1,0,0,3,1,0,0,1,1,1.7
4,2016-11-23,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],16.4,Location.AWAY,DETROIT_PISTONS,8,2,939,1,5,0,2,0,0,0,7,2,1,0,0,3.4
5,2016-11-25,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18.5,Location.AWAY,MEMPHIS_GRIZZLIES,14,5,724,2,7,0,0,1,2,1,4,3,0,1,0,4.4
6,2016-11-26,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.9,Location.HOME,MEMPHIS_GRIZZLIES,14,2,775,1,1,0,0,0,0,0,2,1,2,0,0,4.6
7,2016-11-28,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.HOME,BOSTON_CELTICS,1,2,397,1,2,0,0,0,0,1,1,2,0,0,1,2.0
8,2016-11-30,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.1,Location.AWAY,DENVER_NUGGETS,7,1,988,0,4,0,0,1,2,1,2,3,0,1,1,-0.3
9,2016-12-01,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],15.5,Location.AWAY,UTAH_JAZZ,28,10,1412,5,10,0,1,0,0,2,3,1,0,0,2,6.0
10,2016-12-03,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,13,1702,5,9,2,3,1,1,0,2,4,2,0,2,11.7
11,2016-12-06,mcrobjo01,Josh McRoberts,524,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22.1,Location.HOME,NEW_YORK_KNICKS,19,7,1760,2,6,1,2,2,2,3,5,5,0,0,2,7.5
