,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2018-10-22,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],0.0,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,2018-10-31,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],20.9,Location.HOME,SAN_ANTONIO_SPURS,26,7,1183,3,12,1,6,0,0,0,2,1,3,1,2,0.8
2,2018-11-14,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],8.1,Location.HOME,SAN_ANTONIO_SPURS,26,3,622,1,1,1,1,0,0,0,3,1,0,0,0,3.9
3,2018-11-17,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],4.6,Location.HOME,OKLAHOMA_CITY_THUNDER,20,0,575,0,1,0,1,0,0,0,3,0,1,0,2,-1.2
4,2018-11-30,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],1.5,Location.HOME,ORLANDO_MAGIC,21,0,256,0,0,0,0,0,0,0,0,1,0,0,0,0.3
5,2018-12-02,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],9.9,Location.AWAY,LOS_ANGELES_LAKERS,13,3,493,1,3,1,3,0,0,0,2,3,0,0,0,3.6
6,2018-12-04,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],32.9,Location.HOME,SACRAMENTO_KINGS,25,21,1402,9,12,3,4,0,0,1,1,5,1,0,1,19.1
7,2018-12-06,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],24.0,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,7,1544,3,12,0,4,1,2,1,4,4,2,0,1,3.9
8,2018-12-07,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],20.6,Location.HOME,MIAMI_HEAT,15,12,1484,4,9,3,5,1,1,0,3,4,1,0,4,6.8
9,2018-12-10,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],33.8,Location.HOME,LOS_ANGELES_CLIPPERS,12,13,2148,5,16,0,4,3,3,1,3,8,2,0,2,9.8
10,2018-12-11,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],35.4,Location.AWAY,SAN_ANTONIO_SPURS,26,17,1994,7,16,3,7,0,0,1,6,6,2,0,5,11.9
11,2018-12-13,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],14.7,Location.HOME,DALLAS_MAVERICKS,6,0,1281,0,4,0,2,0,0,0,1,1,3,2,3,-1.6
12,2018-12-15,meltode01,De'Anthony Melton,528,[<Position.POINT_GUARD: 'POINT GUARD'>],23.1,Location.HOME,MINNESOTA_TIMBERWOLVES,17,9,1272,4,6,1,2,0,0,0,3,5,2,0,3,8.6
