,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-29,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.9,Location.AWAY,CHARLOTTE_HORNETS,3,3,464,1,3,0,0,1,2,1,1,1,0,0,0,2.6
1,2016-11-02,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],-1.0,Location.HOME,CHICAGO_BULLS,4,0,349,0,1,0,0,0,0,0,0,0,0,0,1,-1.7
2,2016-11-03,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.2,Location.AWAY,CLEVELAND_CAVALIERS,5,2,585,1,2,0,0,0,0,0,1,0,0,0,0,-0.3
3,2016-11-06,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],10.9,Location.HOME,DENVER_NUGGETS,7,8,1144,4,4,0,0,0,1,0,2,1,0,0,1,5.9
4,2016-11-09,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4.4,Location.AWAY,WASHINGTON_WIZARDS,29,2,459,1,2,0,0,0,0,1,1,0,0,0,0,2.0
5,2016-11-11,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.6,Location.HOME,NEW_YORK_KNICKS,19,2,200,1,2,0,0,0,0,2,1,0,0,0,0,2.7
6,2016-11-14,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.3,Location.AWAY,NEW_ORLEANS_PELICANS,18,1,563,0,2,0,0,1,2,1,3,1,1,0,2,-0.3
7,2016-11-18,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.HOME,GOLDEN_STATE_WARRIORS,9,0,185,0,1,0,0,0,0,0,0,0,0,0,0,-0.7
8,2016-12-07,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.6,Location.AWAY,ORLANDO_MAGIC,21,4,107,2,3,0,0,0,0,3,0,0,0,0,0,4.8
9,2017-01-11,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8.9,Location.HOME,WASHINGTON_WIZARDS,29,4,839,1,1,0,0,2,3,1,1,1,0,1,2,3.7
10,2017-01-18,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11.0,Location.HOME,NEW_YORK_KNICKS,19,2,336,0,1,0,0,2,2,0,0,0,1,2,0,3.7
11,2017-01-21,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7.1,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,2,760,1,3,0,0,0,0,2,1,1,0,0,0,2.3
12,2017-01-24,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.4,Location.AWAY,WASHINGTON_WIZARDS,29,0,364,0,1,0,0,0,0,1,1,0,0,0,1,-0.7
13,2017-01-27,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6.4,Location.HOME,ORLANDO_MAGIC,21,4,375,2,3,0,1,0,0,0,2,0,0,0,0,3.3
14,2017-02-08,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,SACRAMENTO_KINGS,25,0,137,0,0,0,0,0,0,0,1,0,0,0,0,0.3
15,2017-02-13,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,DALLAS_MAVERICKS,6,0,66,0,0,0,0,0,0,0,1,0,0,0,0,0.3
16,2017-02-24,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,TORONTO_RAPTORS,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2017-02-27,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.0,Location.HOME,ATLANTA_HAWKS,0,2,204,1,2,0,0,0,0,0,0,0,0,0,1,-0.4
18,2017-03-03,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.0,Location.AWAY,LOS_ANGELES_LAKERS,13,0,170,0,0,0,0,0,0,0,0,0,0,1,0,0.7
19,2017-03-05,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.6,Location.AWAY,PHOENIX_SUNS,23,0,539,0,2,0,0,0,0,1,2,2,0,1,0,1.2
20,2017-03-06,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,LOS_ANGELES_CLIPPERS,12,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,2017-03-08,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1.2,Location.AWAY,GOLDEN_STATE_WARRIORS,9,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0.3
22,2017-03-10,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,DENVER_NUGGETS,7,1,118,0,0,0,0,1,2,0,0,0,0,0,1,-0.4
23,2017-04-05,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],9.4,Location.HOME,CLEVELAND_CAVALIERS,5,1,283,0,1,0,0,1,2,0,2,0,1,1,0,2.2
24,2017-04-06,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0.0,Location.AWAY,ATLANTA_HAWKS,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,2017-10-21,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.2,Location.HOME,INDIANA_PACERS,11,8,810,4,5,0,0,0,1,1,5,0,0,0,1,6.1
26,2017-10-23,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14.2,Location.HOME,ATLANTA_HAWKS,0,2,877,1,4,0,1,0,0,2,4,0,0,2,1,1.4
27,2017-11-19,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5.2,Location.HOME,INDIANA_PACERS,11,4,206,1,1,0,0,2,2,1,0,0,0,0,0,4.4
28,2017-11-29,mickejo01,Jordan Mickey,530,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3.8,Location.AWAY,NEW_YORK_KNICKS,19,0,312,0,1,0,0,0,0,0,4,0,0,0,1,-0.5
