,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-02-08,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],13.4,Location.HOME,MIAMI_HEAT,15,5,893,2,5,0,1,1,2,0,2,2,0,1,0,4.2
1,2017-02-10,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.2,Location.HOME,LOS_ANGELES_LAKERS,13,6,1243,2,7,1,2,1,2,0,1,6,3,0,1,7.2
2,2017-02-13,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.899999999999999,Location.HOME,DETROIT_PISTONS,8,11,1077,4,7,0,0,3,3,0,2,3,0,0,2,6.4
3,2017-02-15,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],42.1,Location.AWAY,BROOKLYN_NETS,2,20,1539,7,13,1,1,5,5,0,3,7,3,0,1,19.5
4,2017-02-24,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],12.6,Location.HOME,UTAH_JAZZ,28,9,1455,2,9,1,2,4,4,1,2,0,0,0,0,4.8
5,2017-02-26,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],15.399999999999999,Location.HOME,PHOENIX_SUNS,23,8,1687,3,8,1,3,1,1,0,7,2,0,0,4,1.9
6,2017-03-01,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.5,Location.HOME,DENVER_NUGGETS,7,21,1832,7,12,3,3,4,5,1,4,5,2,0,3,18.2
7,2017-03-03,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],47.3,Location.HOME,LOS_ANGELES_CLIPPERS,12,19,1988,6,13,1,4,6,6,0,4,9,4,0,2,20.6
8,2017-03-04,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.6,Location.HOME,TORONTO_RAPTORS,27,24,1818,9,14,1,4,5,6,0,3,0,1,0,2,15.7
9,2017-03-06,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30.0,Location.AWAY,PHILADELPHIA_76ERS,22,13,1896,5,10,2,5,1,2,1,4,8,0,1,4,11.0
10,2017-03-08,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.6,Location.HOME,NEW_YORK_KNICKS,19,18,1666,7,9,4,6,0,0,0,3,4,1,1,0,19.1
11,2017-03-10,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.6,Location.HOME,INDIANA_PACERS,11,21,2248,7,14,3,5,4,6,0,3,2,2,0,7,9.7
12,2017-03-11,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.799999999999997,Location.HOME,MINNESOTA_TIMBERWOLVES,17,11,1982,3,9,0,3,5,5,1,8,4,1,0,2,9.6
13,2017-03-13,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.1,Location.AWAY,MEMPHIS_GRIZZLIES,14,11,2077,2,8,2,6,5,6,1,2,3,0,1,1,8.1
14,2017-03-15,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.4,Location.AWAY,LOS_ANGELES_CLIPPERS,12,16,1912,4,8,1,2,7,7,0,7,2,2,0,4,12.7
15,2017-03-17,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.4,Location.AWAY,LOS_ANGELES_LAKERS,13,30,1966,11,18,0,2,8,9,0,2,0,1,0,2,19.0
16,2017-03-18,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],17.9,Location.AWAY,GOLDEN_STATE_WARRIORS,9,11,1751,4,8,2,2,1,1,0,2,5,0,0,3,7.3
17,2017-03-21,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.1,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,26,1955,11,22,3,3,1,1,0,3,3,2,1,4,15.9
18,2017-03-22,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.4,Location.AWAY,SACRAMENTO_KINGS,25,13,1871,5,11,3,6,0,0,0,2,4,2,1,2,11.4
19,2017-03-24,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.1,Location.HOME,ATLANTA_HAWKS,0,6,1903,1,13,0,4,4,4,0,3,3,3,0,3,-1.3
20,2017-03-26,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.2,Location.HOME,CHICAGO_BULLS,4,14,2094,6,17,2,6,0,0,1,5,2,4,0,0,11.3
21,2017-03-28,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.5,Location.AWAY,CHARLOTTE_HORNETS,3,14,2076,4,12,0,5,6,7,0,5,1,0,0,1,6.4
22,2017-03-29,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38.7,Location.AWAY,BOSTON_CELTICS,1,19,2064,8,14,3,3,0,1,1,5,5,2,1,4,14.8
23,2017-03-31,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.3,Location.HOME,DETROIT_PISTONS,8,25,2559,9,16,4,7,3,3,1,8,1,1,0,3,18.4
24,2017-04-02,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.0,Location.HOME,DALLAS_MAVERICKS,6,13,2226,5,15,1,8,2,2,0,5,4,1,0,0,7.8
25,2017-04-04,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.4,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,9,1426,4,11,1,3,0,0,0,2,2,1,0,1,4.5
26,2017-04-06,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.6,Location.AWAY,INDIANA_PACERS,11,10,2023,4,10,1,2,1,1,0,3,4,2,0,3,4.9
27,2017-04-08,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.6,Location.AWAY,PHILADELPHIA_76ERS,22,8,1999,3,11,0,1,2,2,2,6,2,3,0,2,6.3
28,2017-04-10,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.4,Location.HOME,CHARLOTTE_HORNETS,3,15,2138,5,9,4,5,1,1,1,6,6,0,0,4,13.0
29,2017-10-18,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.8,Location.AWAY,BOSTON_CELTICS,1,15,2606,6,17,1,5,2,2,2,7,6,2,0,5,8.6
30,2017-10-20,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],16.1,Location.HOME,CLEVELAND_CAVALIERS,5,8,2119,3,10,0,5,2,2,0,3,5,0,0,3,2.0
31,2017-10-21,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28.9,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,18,1797,6,13,0,1,6,6,0,7,3,0,0,2,11.5
32,2017-10-23,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.7,Location.HOME,CHARLOTTE_HORNETS,3,20,2072,8,19,1,5,3,3,0,6,3,1,1,2,12.3
33,2017-10-26,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.4,Location.HOME,BOSTON_CELTICS,1,15,2109,7,16,1,3,0,0,1,1,2,2,0,3,6.4
34,2017-10-29,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],52.9,Location.AWAY,ATLANTA_HAWKS,0,27,2273,9,19,3,5,6,7,0,7,9,2,0,2,24.5
35,2017-10-31,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,9,1918,3,14,0,6,3,3,1,6,2,2,0,3,2.1
36,2017-11-01,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],59.5,Location.AWAY,CHARLOTTE_HORNETS,3,43,2376,15,28,5,11,8,10,2,3,7,0,0,0,34.2
37,2017-11-03,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.9,Location.AWAY,DETROIT_PISTONS,8,16,2369,7,17,1,4,1,2,2,5,7,0,0,1,11.3
38,2017-11-07,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],51.9,Location.AWAY,CLEVELAND_CAVALIERS,5,20,2471,8,17,2,7,2,2,0,7,11,3,0,2,20.1
39,2017-11-10,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.1,Location.AWAY,SAN_ANTONIO_SPURS,26,13,2297,6,14,0,2,1,3,1,7,1,1,0,5,3.1
40,2017-11-11,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.8,Location.HOME,LOS_ANGELES_LAKERS,13,13,2291,3,13,1,3,6,6,0,4,4,2,0,0,9.5
41,2017-11-13,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21.8,Location.HOME,MEMPHIS_GRIZZLIES,14,17,2289,6,13,4,5,1,1,0,4,2,0,0,3,8.7
42,2017-11-15,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],50.2,Location.HOME,DETROIT_PISTONS,8,27,2405,12,21,3,7,0,0,1,5,8,2,0,2,24.1
43,2017-11-18,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.0,Location.AWAY,DALLAS_MAVERICKS,6,23,1953,9,12,3,5,2,2,0,0,2,1,0,2,16.6
44,2017-11-20,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26.7,Location.HOME,WASHINGTON_WIZARDS,29,15,2321,5,13,0,4,5,6,0,6,3,1,0,3,7.4
45,2017-11-22,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],64.3,Location.AWAY,PHOENIX_SUNS,23,40,2789,14,26,3,9,9,11,1,8,3,4,0,3,31.6
46,2017-11-25,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.8,Location.AWAY,UTAH_JAZZ,28,9,2060,4,15,1,6,0,0,1,3,4,2,0,5,0.3
47,2017-11-28,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.8,Location.AWAY,SACRAMENTO_KINGS,25,12,1412,4,7,2,5,2,3,0,4,2,1,0,2,8.3
48,2017-11-30,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],41.4,Location.AWAY,PORTLAND_TRAIL_BLAZERS,24,26,2116,10,17,4,6,2,2,0,7,4,1,0,2,21.2
49,2017-12-02,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.9,Location.HOME,SACRAMENTO_KINGS,25,25,2065,9,15,3,5,4,5,1,1,1,1,0,4,15.2
50,2017-12-04,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],44.1,Location.AWAY,BOSTON_CELTICS,1,19,2462,6,11,1,3,6,6,0,8,5,2,1,1,20.5
51,2017-12-06,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.0,Location.HOME,DETROIT_PISTONS,8,21,2198,7,10,2,4,5,5,2,3,6,0,0,1,21.9
52,2017-12-08,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.7,Location.HOME,DALLAS_MAVERICKS,6,31,2282,10,18,5,8,6,6,0,1,3,0,0,1,22.6
53,2017-12-09,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.5,Location.HOME,UTAH_JAZZ,28,20,2275,8,13,2,3,2,2,0,5,5,0,0,1,16.1
54,2017-12-13,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],35.0,Location.AWAY,NEW_ORLEANS_PELICANS,18,15,2197,5,19,2,9,3,3,1,4,10,0,0,1,10.8
55,2017-12-15,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],55.2,Location.HOME,CHICAGO_BULLS,4,29,2522,9,19,2,9,9,9,0,6,6,4,0,2,26.5
56,2017-12-16,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.2,Location.AWAY,HOUSTON_ROCKETS,10,23,2043,8,17,3,9,4,4,1,5,2,2,0,2,15.9
57,2017-12-19,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.4,Location.HOME,CLEVELAND_CAVALIERS,5,18,2394,7,15,1,5,3,4,0,2,10,1,0,5,11.9
58,2017-12-22,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],39.1,Location.HOME,CHARLOTTE_HORNETS,3,28,2287,12,22,3,8,1,1,0,3,1,1,1,0,19.9
59,2017-12-23,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],46.0,Location.AWAY,CHARLOTTE_HORNETS,3,31,2428,11,24,4,10,5,5,0,5,4,1,1,3,20.4
60,2017-12-26,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],22.5,Location.HOME,CHICAGO_BULLS,4,16,2360,5,18,3,9,3,5,0,5,3,0,0,4,2.6
61,2017-12-28,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.4,Location.HOME,MINNESOTA_TIMBERWOLVES,17,14,2384,5,11,2,5,2,2,0,7,4,1,0,2,11.0
62,2017-12-29,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36.7,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,20,2343,8,18,3,8,1,2,0,6,3,1,1,1,13.6
63,2018-01-01,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.6,Location.AWAY,TORONTO_RAPTORS,27,18,2608,7,17,0,4,4,4,0,3,2,3,1,2,11.3
64,2018-01-03,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.6,Location.HOME,INDIANA_PACERS,11,27,1772,9,14,3,4,6,6,0,3,2,1,0,2,20.5
65,2018-01-05,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.1,Location.HOME,TORONTO_RAPTORS,27,11,1817,4,10,1,2,2,2,0,3,7,1,0,1,9.8
66,2018-01-06,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27.5,Location.AWAY,WASHINGTON_WIZARDS,29,20,2525,5,14,2,6,8,8,0,5,1,1,0,3,10.8
67,2018-01-08,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31.0,Location.AWAY,INDIANA_PACERS,11,19,1909,6,14,2,6,5,6,0,5,4,1,0,3,12.7
68,2018-01-10,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33.0,Location.HOME,ORLANDO_MAGIC,21,22,2147,9,14,0,3,4,6,0,5,4,0,0,1,17.1
69,2018-01-12,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],18.6,Location.HOME,GOLDEN_STATE_WARRIORS,9,8,2206,2,12,1,5,3,4,0,3,4,1,0,2,1.9
70,2018-01-14,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29.200000000000003,Location.AWAY,MIAMI_HEAT,15,16,1987,3,16,1,8,9,10,1,5,2,2,0,3,7.8
71,2018-01-15,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40.2,Location.AWAY,WASHINGTON_WIZARDS,29,19,2437,9,16,0,1,1,4,0,6,4,3,1,4,13.3
72,2018-01-17,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],37.5,Location.HOME,MIAMI_HEAT,15,25,2435,11,22,3,8,0,0,0,5,3,1,0,1,16.4
73,2018-01-20,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],54.8,Location.AWAY,PHILADELPHIA_76ERS,22,23,2414,9,20,1,5,4,4,2,12,10,1,0,3,21.4
74,2018-01-22,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],50.7,Location.HOME,PHOENIX_SUNS,23,35,2325,13,19,2,4,7,8,1,5,3,2,0,2,30.4
75,2018-01-26,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.6,Location.HOME,BROOKLYN_NETS,2,21,2026,9,14,2,3,1,1,0,3,2,2,0,1,17.3
76,2018-01-28,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],34.9,Location.AWAY,CHICAGO_BULLS,4,20,1924,8,14,1,2,3,4,1,6,5,1,0,4,14.4
77,2018-01-29,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],44.4,Location.HOME,PHILADELPHIA_76ERS,22,19,2276,7,19,2,5,3,4,1,6,6,2,1,1,15.3
78,2018-02-01,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],41.2,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,21,2127,7,20,2,7,5,5,2,4,4,4,0,5,13.0
79,2018-02-02,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24.7,Location.HOME,NEW_YORK_KNICKS,19,9,2173,3,11,0,3,3,3,1,5,5,0,1,2,6.1
80,2018-02-04,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20.3,Location.AWAY,BROOKLYN_NETS,2,16,1876,7,11,2,3,0,2,1,3,1,0,0,2,9.0
81,2018-02-06,middlkh01,Khris Middleton,531,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],32.8,Location.AWAY,NEW_YORK_KNICKS,19,20,2039,8,15,2,4,2,3,0,4,2,1,1,1,15.2
