,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-11-05,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],2.7,Location.AWAY,DETROIT_PISTONS,8,0,232,0,0,0,0,0,0,0,1,1,0,0,0,1.0
1,2016-11-08,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],-1.0,Location.AWAY,MEMPHIS_GRIZZLIES,14,0,4,0,0,0,0,0,0,0,0,0,0,0,1,-1.0
2,2016-11-10,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11.7,Location.HOME,GOLDEN_STATE_WARRIORS,9,9,554,3,4,3,4,0,0,0,1,1,0,0,0,8.0
3,2016-12-02,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.4,Location.HOME,HOUSTON_ROCKETS,10,0,243,0,0,0,0,0,0,0,2,2,0,0,0,2.0
4,2017-01-05,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.7000000000000002,Location.HOME,SAN_ANTONIO_SPURS,26,0,248,0,0,0,0,0,0,0,1,1,0,0,1,0.0
5,2017-01-12,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.19999999999999996,Location.HOME,INDIANA_PACERS,11,0,169,0,1,0,1,0,0,0,1,0,0,0,1,-1.4
6,2017-01-19,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],7.1,Location.AWAY,SAN_ANTONIO_SPURS,26,3,683,1,4,1,2,0,0,1,2,1,0,0,1,1.2
7,2017-01-21,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],5.9,Location.HOME,LOS_ANGELES_CLIPPERS,12,2,300,0,0,0,0,2,2,0,2,1,0,0,0,3.3
8,2017-02-01,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.4,Location.HOME,MEMPHIS_GRIZZLIES,14,0,495,0,1,0,1,0,0,0,2,0,0,0,1,-1.1
9,2017-02-04,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.7000000000000002,Location.AWAY,SAN_ANTONIO_SPURS,26,0,345,0,0,0,0,0,0,0,1,1,0,0,2,-1.0
10,2017-02-06,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.HOME,DALLAS_MAVERICKS,6,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,2017-02-11,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],9.4,Location.AWAY,CLEVELAND_CAVALIERS,5,0,715,0,2,0,2,0,0,0,2,4,1,0,2,0.2
12,2017-02-13,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],8.4,Location.HOME,GOLDEN_STATE_WARRIORS,9,6,652,2,2,2,2,0,0,0,2,0,0,0,0,5.2
13,2017-02-23,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,SACRAMENTO_KINGS,25,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,2017-02-24,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,BROOKLYN_NETS,2,0,151,0,0,0,0,0,0,0,1,0,0,0,0,-0.1
15,2017-02-28,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],0.0,Location.AWAY,CHICAGO_BULLS,4,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,2017-03-26,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3.5999999999999996,Location.HOME,NEW_ORLEANS_PELICANS,18,0,363,0,1,0,1,0,0,0,3,0,0,0,0,0.2
17,2017-04-07,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1.2,Location.HOME,NEW_ORLEANS_PELICANS,18,0,165,0,1,0,1,0,0,0,1,0,0,0,0,-0.4
18,2017-04-11,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25.4,Location.AWAY,DALLAS_MAVERICKS,6,8,1711,3,4,2,3,0,0,0,7,6,1,0,3,9.9
19,2017-04-12,millemi01,Mike Miller,536,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14.6,Location.AWAY,OKLAHOMA_CITY_THUNDER,20,0,1694,0,3,0,3,0,0,1,7,4,0,0,1,2.5
