,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2016-10-27,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],46.4,Location.HOME,WASHINGTON_WIZARDS,29,28,1848,11,20,3,6,3,4,2,5,6,0,1,2,23.8
1,2016-10-29,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28.8,Location.AWAY,PHILADELPHIA_76ERS,22,17,1631,6,14,0,2,5,6,0,4,4,1,0,2,11.0
2,2016-10-31,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],48.6,Location.HOME,SACRAMENTO_KINGS,25,13,1901,5,14,0,1,3,4,5,8,8,3,1,4,14.4
3,2016-11-02,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21.4,Location.HOME,LOS_ANGELES_LAKERS,13,10,2100,3,10,1,4,3,4,1,6,2,1,0,3,4.9
4,2016-11-04,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36.4,Location.AWAY,WASHINGTON_WIZARDS,29,16,1958,5,14,1,3,5,10,1,6,2,4,0,3,9.9
5,2016-11-05,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],59.7,Location.HOME,HOUSTON_ROCKETS,10,23,2032,10,20,0,2,3,5,2,9,5,5,1,2,22.3
6,2016-11-08,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25.5,Location.AWAY,CLEVELAND_CAVALIERS,5,21,2145,7,16,2,4,5,6,1,4,1,0,0,3,9.8
7,2016-11-09,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],41.2,Location.HOME,CHICAGO_BULLS,4,16,2036,5,13,2,3,4,4,0,11,6,1,2,6,11.2
8,2016-11-12,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],13.3,Location.HOME,PHILADELPHIA_76ERS,22,6,1619,3,10,0,2,0,0,0,4,3,0,0,2,1.1
9,2016-11-15,millspa01,Paul Millsap,538,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33.2,Location.AWAY,MIAMI_HEAT,15,15,2073,7,17,0,2,1,2,1,5,4,2,0,1,10.7
