,date,slug,name,player_id,positions,FD_pts_scored,location,opponent,opponent_id,points_scored,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,game_score
0,2017-10-18,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],17.2,Location.HOME,DENVER_NUGGETS,7,10,1564,3,11,0,2,4,4,0,1,4,0,1,3,3.9
1,2017-10-20,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],10.0,Location.AWAY,MINNESOTA_TIMBERWOLVES,17,2,1200,1,7,0,2,0,1,0,0,2,0,2,1,-1.9
2,2017-10-21,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.4,Location.HOME,OKLAHOMA_CITY_THUNDER,20,2,1316,1,7,0,3,0,0,0,2,6,1,0,0,1.7
3,2017-10-24,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21.9,Location.AWAY,LOS_ANGELES_CLIPPERS,12,19,1795,7,20,3,9,2,2,1,1,1,1,0,4,4.9
4,2017-10-25,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],7.699999999999999,Location.AWAY,PHOENIX_SUNS,23,2,766,1,7,0,2,0,0,0,1,1,1,1,3,-4.0
5,2017-10-28,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32.6,Location.HOME,LOS_ANGELES_LAKERS,13,22,1646,9,16,3,6,1,1,2,1,2,3,0,5,13.5
6,2017-10-30,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16.7,Location.HOME,DALLAS_MAVERICKS,6,8,1026,3,8,2,4,0,0,0,1,1,2,0,0,5.8
7,2017-11-01,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37.7,Location.HOME,PORTLAND_TRAIL_BLAZERS,24,28,2097,9,21,4,10,6,7,2,4,3,0,0,2,17.6
8,2017-11-03,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],40.6,Location.HOME,TORONTO_RAPTORS,27,25,1906,9,20,3,7,4,4,0,3,0,2,2,0,17.3
9,2017-11-05,mitchdo01,Donovan Mitchell,542,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26.8,Location.AWAY,HOUSTON_ROCKETS,10,17,1482,6,13,3,7,2,2,1,3,4,1,0,4,10.1
